lat,lon,name,name_ar,category,subcategory,address
24.648064,46.731175,Unnamed,,amenity,parking,
24.650844,46.716417,البريد السعودي المركز الرئيسي,,amenity,post_box,
24.640242,46.718019,ATM,,amenity,atm,
24.645727,46.718361,SJ Supermarket Al Batha,,shop,supermarket,
24.645865,46.715708,زين,,office,telecommunication,
24.647624,46.717124,الزاجل للشحن الجوي و البحري,,amenity,post_office,
24.647221,46.717359,Unnamed,,amenity,place_of_worship,
24.643389,46.729375,خالو عبدالسلام,,amenity,post_office,
24.647955,46.724639,المديفر,,shop,travel_agency,
24.640906,46.719151,Unnamed,,amenity,atm,
24.648859,46.731778,القوات الخاصة للأمن والحماية,,office,government,
24.641107,46.718069,جمال سنتر,,amenity,cinema,
24.644921,46.717291,بالطيف,,shop,jewelry,
24.647562,46.716443,Unnamed,,amenity,restaurant,
24.644429,46.715664,batha hotel,,amenity,fast_food,
24.644765,46.728652,Adeeb Accomodation,,tourism,apartment,
24.650679,46.73265,Unnamed,,amenity,parking,
24.65052,46.731368,Unnamed,,amenity,parking,
24.64981,46.730382,Unnamed,,amenity,parking,
24.64891,46.731243,Unnamed,,amenity,parking,
24.641574,46.720164,Bin Shaihoun Tire shop,,shop,car_repair,
24.646755,46.71985,Gurabi RAM back,,shop,car_parts,
24.649431,46.723829,الدريس,,shop,car_repair,
24.646325,46.716764,aDawliah,,shop,musical_instrument,
24.642848,46.724736,Masdar Technical Supplies,,shop,hardware,
24.645357,46.715255,الطازج,,amenity,restaurant,
24.646207,46.717277,فلاجيو,,shop,mall,
24.644883,46.715404,الكدادين,,amenity,parking,
24.640751,46.727218,Unnamed,,leisure,park,
24.650106,46.716503,Unnamed,,amenity,post_office,
24.650148,46.71663,البريد السعودي المركز الرئيسي,,amenity,post_office,
24.648695,46.727889,الموسسة العامة للتدريب التقني والمهني,,office,government,
24.64941,46.731547,Unnamed,,office,government,
24.649514,46.73106,Unnamed,,amenity,parking_space,
24.649881,46.731941,Unnamed,,amenity,parking_space,
24.648668,46.731957,القوات الخاصة للأمن والحماية,,office,government,
24.647267,46.73276,Unnamed,,leisure,park,
24.648411,46.721605,حديقة عمر بن الخطاب,,leisure,park,
24.644786,46.722464,حديقة العمل,,leisure,park,
24.64413,46.72229,جامع إبراهيم التركي,,amenity,place_of_worship,
24.644125,46.717465,Unnamed,,amenity,parking,
24.650276,46.730237,Unnamed,,amenity,parking_space,
24.650467,46.730819,Unnamed,,amenity,parking_space,
24.650517,46.731383,Unnamed,,amenity,parking_space,
24.648907,46.731179,Unnamed,,amenity,parking_space,
24.6407532,46.7158717,فرتاج,,place,,
24.641002,46.727729,ثليم,ثليم,place,,
24.645917,46.722574,العمل,العمل,place,,
24.6405858,46.7178652,Al fota-Al amal,,place,,
24.6458647,46.7157082,زين,,office,telecommunication,شارع عبد العزيز بن مساعد بن جلوي
24.6447651,46.7286522,Unnamed,,tourism,apartment,
24.6412159,46.7177229,Olaya bound,,place,,
24.64099,46.7177574,Sulaymaniyah bound,,place,,
24.6467553,46.7198501,Unnamed,,shop,car_parts,
24.6465981,46.7260879,شركة تنظيف مطابخ بالرياض 0507240005 - ركن الابداع,,place,,
24.6468456,46.7258258,ارخص شركات تنظيف بالرياض الخرج 0507240005 - ركن الابداع,,place,,
24.6422428,46.71726,Al Batha,,place,,
