lat,lon,parcel_type,parcel_id,landuseagroup,area_sqm
24.730280747,46.638062596,apartment,14347205,متعدد الاستخدام,45023.08147760524
24.728497424,46.637660265,apartment,14346681,متعدد الاستخدام,145729.25782111756
24.743533057,46.646280885,apartment,14657664,متعدد الاستخدام,2255.3429034434225
24.744431922,46.646600068,apartment,14657662,متعدد الاستخدام,1149.6975866425946
24.744151788,46.646457911,apartment,14657657,متعدد الاستخدام,1154.4427987861764
24.74387409,46.646318436,apartment,14657661,متعدد الاستخدام,1164.161569797025
24.743671906,46.646538377,villa,14657685,سكني,300.73634001930947
24.743813192,46.646608114,villa,14657691,سكني,549.3549981606354
24.743971528,46.646688581,villa,14657695,سكني,426.70656941073605
24.744112813,46.646758318,villa,14657696,سكني,424.002791381892
24.744507436,46.646956801,villa,14657693,سكني,284.9792265394187
24.744322304,46.646862924,villa,14657692,سكني,851.3264674903764
24.743891142,46.647206247,villa,14805051,سكني,1840.372772923135
24.744388075,46.647329628,villa,14805053,سكني,539.5757441250561
24.744531795,46.644491851,villa,3527979,سكني,441.5501321653029
24.744107941,46.647439599,villa,14805058,سكني,540.182863846315
24.744446537,46.647608578,villa,14805055,سكني,277.3368605238694
24.744534231,46.647402048,villa,14805057,سكني,276.3571783953429
24.744193199,46.647233069,villa,14805049,سكني,539.5628144315283
24.744300381,46.647536159,villa,14805052,سكني,541.162321683506
24.743135995,46.647179425,apartment,1411624,متعدد الاستخدام,1224.7779428938516
24.743111636,46.647557616,apartment,1411625,متعدد الاستخدام,2298.4988081628185
24.744509872,46.643773019,apartment,1404647,متعدد الاستخدام,537.4909191700052
24.743347924,46.647410095,villa,1411680,سكني,332.6661442379748
24.742989838,46.648268402,apartment,1404550,متعدد الاستخدام,733.0831708810205
24.743438055,46.6471982,villa,1411681,سكني,329.39797670505334
24.74432474,46.644974649,villa,3527974,سكني,444.564470491734
24.74416884,46.645334065,villa,3527976,سكني,441.53749491836163
24.743274845,46.646852195,apartment,1411626,متعدد الاستخدام,1329.4819168891547
24.743903322,46.647892892,apartment,1411627,متعدد الاستخدام,3028.1860472976296
24.743484338,46.64708823,villa,1411685,سكني,327.0599840993104
24.74425897,46.644427478,apartment,3527978,متعدد الاستخدام,734.8233865603195
24.744371023,46.644167304,apartment,3527982,متعدد الاستخدام,848.9059598626292
24.74415666,46.644666195,apartment,3527981,متعدد الاستخدام,737.0818731531535
24.743832679,46.645417213,apartment,3527980,متعدد الاستخدام,907.135926783063
24.744219995,46.645213366,villa,3527968,سكني,440.08265525044874
24.743949605,46.645148993,apartment,3527977,متعدد الاستخدام,735.2516215527218
24.74442705,46.64473325,villa,3527975,سكني,440.08031062937744
24.744051915,46.644907594,apartment,3527973,متعدد الاستخدام,736.08920840655
24.744273586,46.645095348,villa,3527972,سكني,440.113524597154
24.744375895,46.64485395,villa,3527970,سكني,441.5222112599837
24.74448064,46.644612551,villa,3527969,سكني,443.1144657159666
24.742726753,46.648139656,apartment,1404562,متعدد الاستخدام,821.4454108934755
24.744392947,46.648142338,apartment,1411758,متعدد الاستخدام,1500.185004725078
24.743574468,46.647726595,apartment,1411721,متعدد الاستخدام,995.945581061923
24.743530621,46.646980941,villa,1411682,سكني,342.43538681242813
24.743394207,46.647305489,villa,1411686,سكني,320.09257677524533
24.74357934,46.646868289,villa,1411679,سكني,342.41224537404645
24.74407871,46.645543277,apartment,1404391,متعدد الاستخدام,1090.2045071011767
24.726811527,46.63970679,villa,1405269,سكني,376.1571682074776
24.736246898,46.647667587,villa,1405582,سكني,1684.790607528401
24.731140729,46.641182005,villa,1405417,سكني,802.3514807504799
24.728083261,46.641434133,villa,14538654,سكني,421.1117254267683
24.728258671,46.641026437,villa,14544271,سكني,449.7031472875812
24.727040538,46.642721593,apartment,14579781,متعدد الاستخدام,179.66598751006384
24.727291474,46.642847657,apartment,14579783,متعدد الاستخدام,629.2633931319646
24.731674255,46.642466784,villa,14252716,سكني,674.4652494098827
24.731727851,46.641839147,apartment,14252718,متعدد الاستخدام,483.69779671337847
24.731776575,46.642279029,villa,14252722,سكني,667.2708906211565
24.727749493,46.640331745,villa,14695181,سكني,435.11406100582417
24.72792734,46.647115052,apartment,14750078,متعدد الاستخدام,6293.559464525754
24.728962747,46.647643447,apartment,14750079,متعدد الاستخدام,6401.061563345753
24.727362126,46.646828055,apartment,14750077,متعدد الاستخدام,7501.012930397097
24.728441391,46.647377908,apartment,14750076,متعدد الاستخدام,6303.657236275952
24.733684095,46.647852659,villa,14404799,سكني,475.16291072440987
24.733601266,46.648051143,villa,14404801,سكني,626.2212439238517
24.733506256,46.648273766,villa,14404804,سكني,624.7361238967275
24.734232227,46.64146632,apartment,1405203,متعدد الاستخدام,1006.5482591998702
24.729406143,46.641482413,apartment,14473840,متعدد الاستخدام,900.8287705634499
24.733852189,46.648043096,villa,14404800,سكني,962.742064327692
24.728931076,46.646484733,other,1427387,مرافق المواصلات,808.9887022840379
24.736266386,46.646575928,other,1405743,الخدمات الطبية,3226.6451578425986
24.729652202,46.641608477,villa,14473841,سكني,900.0604779605633
24.730100467,46.641841829,villa,14473846,سكني,1202.4520252835875
24.730217406,46.641573608,villa,14473847,سكني,1197.5410109550367
24.737060552,46.645787358,other,1405742,الخدمات الترفيهية,6157.071450487124
24.728502297,46.646264791,other,1399505,الخدمات الترفيهية,6685.978515665743
24.730636434,46.647254527,other,13992001,مرافق المواصلات,931.211239860428
24.726326706,46.6463238,other,9162,الخدمات التعليمية,11242.230967249621
24.72925266,46.645709574,other,1427595,مرافق المواصلات,874.6263598659522
24.729523082,46.641214192,apartment,14473843,متعدد الاستخدام,900.0784254900672
24.729854409,46.641713083,villa,14473844,سكني,600.9834540904178
24.729971347,46.641447544,villa,14473845,سكني,598.1732130713561
24.729766705,46.641340256,villa,14473842,سكني,900.1293038588701
24.728431645,46.64062947,villa,14776461,سكني,420.0261872151233
24.730090722,46.647123098,other,1429836,الخدمات التعليمية,7997.195117890399
24.73173516,46.646597385,apartment,1398729,متعدد الاستخدام,972.6468026073568
24.727030793,46.641916931,villa,13768620,سكني,268.02921172533155
24.728336632,46.641887426,villa,14415774,سكني,448.2865936763785
24.728821445,46.645478904,other,1399507,الخدمات الدينية,7064.1894666665785
24.73540644,46.64761126,other,1405740,الخدمات التعليمية,12597.233635821378
24.731598733,46.64691925,apartment,14861063,متعدد الاستخدام,814.8088501306498
24.731060334,46.646361351,villa,1392947,سكني,893.7738398877581
24.732631674,46.642979085,villa,1411349,سكني,1305.5882007692505
24.73140871,46.64701581,other,14861061,مرافق المواصلات,134.46472353584673
24.731835043,46.6396451,villa,14343602,سكني,41140.737785333295
24.731121239,46.647133827,other,1426498,مرافق المواصلات,628.7254276664705
24.734161579,46.648150384,villa,1404801,سكني,735.00408622409
24.736682959,46.647512019,villa,14498636,سكني,879.8835237840649
24.732699886,46.641278565,villa,1405345,سكني,645.5071694436591
24.732288173,46.645422578,apartment,1405692,متعدد الاستخدام,988.9715165607017
24.728219691,46.640425622,villa,13768590,سكني,938.9939368685406
24.731776575,46.648142338,apartment,1404658,متعدد الاستخدام,764.5974039544741
24.728490116,46.640489995,villa,13768564,سكني,520.018258273568
24.732261375,46.641273201,villa,1405729,سكني,1002.9940269283637
24.734522127,46.647152603,villa,1405366,سكني,999.0971502100829
24.736846177,46.646688581,villa,3999673,سكني,1500.3899462283177
24.730943396,46.646629572,villa,1392942,سكني,922.1476162528346
24.731398965,46.646744907,villa,14861062,سكني,1385.9848230114537
24.730453719,46.646380126,villa,1392945,سكني,887.4108851751628
24.729043143,46.643418968,villa,1411426,سكني,636.0278577075135
24.736890026,46.647613943,villa,3422027,سكني,884.1586681572148
24.727413288,46.643950045,villa,1392916,سكني,904.7947719114277
24.729289203,46.64245069,villa,13901325,سكني,368.4381469578089
24.737153123,46.646844149,villa,3999615,سكني,750.7267298279405
24.733374703,46.641737223,villa,3509819,سكني,1081.0145582393473
24.728346377,46.640825272,villa,13768576,سكني,901.556365323727
24.727776292,46.641450226,villa,13768578,سكني,538.252292396638
24.728124677,46.642378271,villa,13768580,سكني,1049.9344107371678
24.728395102,46.641753316,villa,13768582,سكني,451.4787958339863
24.728597311,46.641283929,villa,13768584,سكني,894.1774586135687
