lat,lon,parcel_type
24.736919,46.639707,villa
24.737589,46.644234,villa
24.737635,46.644342,villa
24.737745,46.644221,villa
24.737192,46.644245,villa
24.73757,46.647432,other
24.740152,46.646281,other
24.737852,46.647289,other
24.738184,46.647273,other
24.738695,46.646879,other
24.738975,46.64674,other
24.739253,46.6466,other
24.739533,46.646458,other
24.739811,46.646318,other
24.740013,46.646538,villa
24.739872,46.646608,villa
24.739713,46.646689,villa
24.739572,46.646758,villa
24.737962,46.647547,villa
24.737679,46.647692,other
24.738464,46.647134,other
24.73899,46.647048,villa
24.739082,46.647002,villa
24.739177,46.646957,villa
24.738897,46.647096,villa
24.738805,46.647142,villa
24.738712,46.647187,villa
24.739363,46.646863,villa
24.738349,46.642617,other
24.738559,46.643102,villa
24.738707,46.642751,other
24.738654,46.643325,villa
24.738593,46.642491,other
24.738802,46.642976,other
24.738461,46.64288,villa
24.7389,46.643199,other
24.737959,46.643121,villa
24.737945,46.642807,other
24.738076,46.642979,villa
24.738132,46.643116,villa
24.739794,46.647206,villa
24.739297,46.64733,villa
24.737404,46.646324,other
24.739153,46.644492,villa
24.738612,46.643781,villa
24.739577,46.64744,villa
24.738629,46.645224,villa
24.737465,46.643902,other
24.739238,46.647609,villa
24.737706,46.643872,other
24.73764,46.643717,other
24.738262,46.645412,villa
24.739104,46.647708,villa
24.739151,46.647402,villa
24.738997,46.647445,villa
24.739492,46.647233,villa
24.738914,46.645079,villa
24.739051,46.647576,villa
24.739385,46.647536,villa
24.737974,46.645559,villa
24.737251,46.644379,villa
24.737302,46.640324,villa
24.737024,46.640466,villa
24.737587,46.640176,other
24.737085,46.640764,villa
24.737784,46.641305,villa
24.737428,46.643065,other
24.738581,46.64479,villa
24.737097,46.639613,villa
24.737372,46.642086,villa
24.73697,46.641335,villa
24.737523,46.64174,villa
24.740549,46.647179,other
24.740573,46.647558,other
24.7389,46.645549,villa
24.737482,46.642338,other
24.737618,46.641965,villa
24.737258,46.641818,villa
24.737143,46.641549,villa
24.737095,46.641273,villa
24.737728,46.642217,other
24.737321,46.641271,villa
24.738067,46.644331,villa
24.738374,46.644175,villa
24.73822,46.644253,villa
24.737219,46.644999,villa
24.739175,46.643773,other
24.738554,46.644084,villa
24.73795,46.644119,villa
24.740337,46.64741,villa
24.737185,46.643188,other
24.737704,46.640444,other
24.738064,46.644063,villa
24.737299,46.639511,other
24.737046,46.645693,villa
24.737287,46.645157,villa
24.740247,46.647198,villa
24.738788,46.644682,villa
24.737728,46.641171,villa
24.737036,46.639972,villa
24.737048,46.647721,other
24.73936,46.644975,villa
24.739516,46.645334,villa
24.74041,46.646852,other
24.739782,46.647893,other
24.737433,46.644806,villa
24.737633,46.645264,villa
24.737063,46.642528,other
24.738179,46.644004,villa
24.736948,46.64226,villa
24.740201,46.647088,villa
24.739068,46.644293,villa
24.737107,46.644047,villa
24.737297,46.643457,villa
24.737889,46.64487,villa
24.737117,46.643548,villa
24.737416,46.639774,other
24.738296,46.643945,villa
24.738118,46.641383,other
24.738715,46.64373,villa
24.737984,46.645098,villa
24.737082,46.644685,villa
24.737845,46.644173,villa
24.738089,46.644768,villa
24.739426,46.644427,other
24.739314,46.644167,other
24.739528,46.644666,other
24.739852,46.645417,other
24.739465,46.645213,villa
24.739735,46.645149,other
24.739258,46.644733,villa
24.739633,46.644908,other
24.739411,46.645095,villa
24.739309,46.644854,villa
24.739204,46.644613,villa
24.737538,46.645047,villa
24.738849,46.643663,villa
24.73738,46.645374,villa
24.737677,46.642942,other
24.737419,46.640592,villa
24.736861,46.64417,villa
24.737543,46.643333,villa
24.737445,46.64156,villa
24.738612,46.647794,villa
24.737986,46.641777,villa
24.737804,46.64446,villa
24.737129,46.639924,villa
24.738184,46.644993,villa
24.737872,46.641507,villa
24.738698,46.64446,villa
24.738488,46.644564,villa
24.738254,46.646077,other
24.739048,46.643561,other
24.738232,46.641654,other
24.737216,46.639876,villa
24.736863,46.640879,villa
24.738003,46.641112,other
24.737653,46.640994,villa
24.739112,46.645441,villa
24.738659,46.645871,other
24.738459,46.643862,villa
24.738978,46.643872,villa
24.74011,46.647727,other
24.737009,46.639659,villa
24.740154,46.646981,villa
24.740291,46.647305,villa
24.737899,46.640868,other
24.738339,46.641909,other
24.738093,46.642032,other
24.738286,46.644666,villa
24.738103,46.643575,other
24.737221,46.640691,villa
24.740106,46.646868,villa
24.736944,46.643312,other
24.737787,46.643207,villa
24.737329,46.644559,villa
24.739606,46.645543,other
24.736939,46.645447,villa
24.73716,46.644865,villa
24.739121,46.645769,other
