lat,lon,parcel_type
24.730280747,46.638062596,apartment
24.728497424,46.637660265,apartment
24.743533057,46.646280885,apartment
24.744431922,46.646600068,apartment
24.744151788,46.646457911,apartment
24.74387409,46.646318436,apartment
24.743671906,46.646538377,villa
24.743813192,46.646608114,villa
24.743971528,46.646688581,villa
24.744112813,46.646758318,villa
24.744507436,46.646956801,villa
24.744322304,46.646862924,villa
24.743891142,46.647206247,villa
24.744388075,46.647329628,villa
24.744531795,46.644491851,villa
24.744107941,46.647439599,villa
24.744446537,46.647608578,villa
24.744534231,46.647402048,villa
24.744193199,46.647233069,villa
24.744300381,46.647536159,villa
24.743135995,46.647179425,apartment
24.743111636,46.647557616,apartment
24.744509872,46.643773019,apartment
24.743347924,46.647410095,villa
24.742989838,46.648268402,apartment
24.743438055,46.6471982,villa
24.74432474,46.644974649,villa
24.74416884,46.645334065,villa
24.743274845,46.646852195,apartment
24.743903322,46.647892892,apartment
24.743484338,46.64708823,villa
24.74425897,46.644427478,apartment
24.744371023,46.644167304,apartment
24.74415666,46.644666195,apartment
24.743832679,46.645417213,apartment
24.744219995,46.645213366,villa
24.743949605,46.645148993,apartment
24.74442705,46.64473325,villa
24.744051915,46.644907594,apartment
24.744273586,46.645095348,villa
24.744375895,46.64485395,villa
24.74448064,46.644612551,villa
24.742726753,46.648139656,apartment
24.744392947,46.648142338,apartment
24.743574468,46.647726595,apartment
24.743530621,46.646980941,villa
24.743394207,46.647305489,villa
24.74357934,46.646868289,villa
24.74407871,46.645543277,apartment
24.726811527,46.63970679,villa
24.736246898,46.647667587,villa
24.731140729,46.641182005,villa
24.728083261,46.641434133,villa
24.728258671,46.641026437,villa
24.727040538,46.642721593,apartment
24.727291474,46.642847657,apartment
24.731674255,46.642466784,villa
24.731727851,46.641839147,apartment
24.731776575,46.642279029,villa
24.727749493,46.640331745,villa
24.72792734,46.647115052,apartment
24.728962747,46.647643447,apartment
24.727362126,46.646828055,apartment
24.728441391,46.647377908,apartment
24.733684095,46.647852659,villa
24.733601266,46.648051143,villa
24.733506256,46.648273766,villa
24.734232227,46.64146632,apartment
24.729406143,46.641482413,apartment
24.733852189,46.648043096,villa
24.728931076,46.646484733,other
24.736266386,46.646575928,other
24.729652202,46.641608477,villa
24.730100467,46.641841829,villa
24.730217406,46.641573608,villa
24.737060552,46.645787358,other
24.728502297,46.646264791,other
24.730636434,46.647254527,other
24.726326706,46.6463238,other
24.72925266,46.645709574,other
24.729523082,46.641214192,apartment
24.729854409,46.641713083,villa
24.729971347,46.641447544,villa
24.729766705,46.641340256,villa
24.728431645,46.64062947,villa
24.730090722,46.647123098,other
24.73173516,46.646597385,apartment
24.727030793,46.641916931,villa
24.728336632,46.641887426,villa
24.728821445,46.645478904,other
24.73540644,46.64761126,other
24.731598733,46.64691925,apartment
24.731060334,46.646361351,villa
24.732631674,46.642979085,villa
24.73140871,46.64701581,other
24.731835043,46.6396451,villa
24.731121239,46.647133827,other
24.734161579,46.648150384,villa
24.736682959,46.647512019,villa
24.732699886,46.641278565,villa
24.732288173,46.645422578,apartment
24.728219691,46.640425622,villa
24.731776575,46.648142338,apartment
24.728490116,46.640489995,villa
24.732261375,46.641273201,villa
24.734522127,46.647152603,villa
24.736846177,46.646688581,villa
24.730943396,46.646629572,villa
24.731398965,46.646744907,villa
24.730453719,46.646380126,villa
24.729043143,46.643418968,villa
24.736890026,46.647613943,villa
24.727413288,46.643950045,villa
24.729289203,46.64245069,villa
24.737153123,46.646844149,villa
24.733374703,46.641737223,villa
24.728346377,46.640825272,villa
24.727776292,46.641450226,villa
24.728124677,46.642378271,villa
24.728395102,46.641753316,villa
24.728597311,46.641283929,villa
24.72871425,46.641015708,villa
24.728141731,46.64129734,villa
24.728843371,46.641409993,villa
24.728726432,46.641678214,villa
24.728957875,46.641141772,villa
24.728251363,46.642088592,villa
24.728370739,46.642504334,villa
24.728482807,46.64155215,villa
24.727997992,46.641629934,villa
24.727142861,46.641021073,villa
24.727330455,46.641120315,villa
24.726982067,46.640610695,villa
24.727259803,46.640752852,villa
24.726706767,46.640465856,villa
24.728828754,46.640747488,villa
24.728494988,46.642214656,villa
24.727637425,46.641772091,villa
24.728611928,46.641946435,villa
24.728200201,46.641160548,villa
24.727452268,46.641182005,villa
24.727520484,46.640889645,villa
24.727513175,46.64206177,villa
24.72664586,46.640763581,villa
24.72919419,46.641970575,villa
24.73197147,46.647686362,apartment
24.733240715,46.644768119,villa
24.730884927,46.642190516,apartment
24.734178632,46.64673686,villa
24.732651163,46.647643447,villa
24.733986177,46.645178497,villa
24.732804642,46.646581292,villa
24.727401106,46.644778848,villa
24.734468532,46.644438207,villa
24.733688967,46.644816399,villa
