name_ar,name_en,type,width_m,length_m
"شارع جويرية بنت الحارث","",tertiary,15,1092.7
"الصباح","Al Sabah",residential,12,803.5
"شارع الأمير نايف بن عبدالعزيز","Al Amir Naif Bin Abdul Aziz Street",tertiary,15,1063.7
"شارع جويرية بنت الحارث","",tertiary,15,1091.4
"شارع الأمير نايف بن عبدالعزيز","Al Amir Naif Bin Abdul Aziz Street",tertiary,15,1068.2
"شارع مروان بن سليمان","",residential,12,263.7
"شارع حمد بن عبدالعزيز","Hamad Bin Abdulziz Street",residential,12,488.5
"الأمير عبدالإله بن عبدالعزيز","Abdulelah Ibn Abdulaziz",residential,12,1059.0
"شارع الأمير حمود بن عبدالعزيز","",residential,12,805.4
"شارع حكيم بن الحارث","",residential,12,408.4
"شارع المثناة","",residential,12,488.9
"أحمد الغافقي","Ahmad Al Ghafqi",residential,12,77.7
"الشيخ عمر بن حسن","Shaikh Omar Ibn Hassan",residential,12,1059.3
"Khalifa Bin Badae","",tertiary,15,841.6
"خليفة بن بديع","Khalifa Bin Badae",tertiary,15,848.1
"عبدالرحمن بن صالح الشبيلي","",residential,12,1033.8
"وادي أبي خشبة","Abi Khashaba Valley",residential,12,89.3
"","",residential,12,63.5
"شارع أبي علي الغالي","",residential,12,115.3
"","",residential,12,38.8
"آل سرحان","Al Sarhan",residential,12,1080.4
"الناصرة","",residential,12,949.1
"عذبة","Azba",residential,12,290.8
"الأرطاوي","Al Artavi",residential,12,169.9
"الأرطاوي","Al Artavi",residential,12,77.6
"عبدالله البيهقي","Abdullah Al Baihaqe",residential,12,268.5
"جبل أبرق راكس","Abraq Rax Mountain",residential,12,185.4
"خليل الخالدي","Khalil Al Khaledi",residential,12,299.3
"أبي القاسم الحربي","Abi Al Qassem Al Harbi",residential,12,325.1
"","",residential,12,225.7
"","",residential,12,403.5
"","",residential,12,215.3
"","",residential,12,398.0
"","",residential,12,106.7
"","",residential,12,99.4
"","",residential,12,153.3
"","",residential,12,163.7
"","",residential,12,211.7
"","",residential,12,173.2
"","",residential,12,175.9
"","",residential,12,119.1
"","",residential,12,158.7
"","",residential,12,153.0
"","",residential,12,163.2
"","",residential,12,164.2
"","",residential,12,360.5
"","",residential,12,155.8
"","",residential,12,157.0
"","",residential,12,161.3
"","",residential,12,154.9
"","",residential,12,295.0
"","",residential,12,163.0
"شارع الحجر","",residential,12,261.9
"","",residential,12,59.3
"شارع عتيك بن قيس","",residential,12,152.8
"شارع أبي الفتح المبارك","",residential,12,98.5
"","",residential,12,55.3
"شارع بني سويف","",residential,12,105.2
"شارع بصوة","",residential,12,106.5
"شارع نبرة","",residential,12,96.8
"شارع دخنة","",residential,12,121.1
"الورد","Al Ward",residential,12,114.4
"شارع أبي عباس الأصبهاني","",residential,12,153.0
"شارع شقراء","",residential,12,93.0
"أبي منصور بن محاوش","Abi Mansour Ibn Makhawesh",residential,12,102.0
"شارع مؤتة","",residential,12,102.9
"شارع أبي نصر الضرير","",residential,12,97.0
"آل سعيد","Al Saeed",residential,12,163.8
"شارع يحيى بن خلدون","",residential,12,169.1
"ابن غانية","Ibn Ghania",residential,12,115.3
"شارع عمرو بن نصر","",residential,12,146.6
"شارع سدوان","",residential,12,108.1
"ممر حقل","",service,6,166.4
"خليفة بن بديع","Khalifa Bin Badae",tertiary,15,232.7
"شارع الصبيحي","",residential,12,93.3
"شارع شقراء","",residential,12,103.0
"شارع يحيى بن خلدون","",residential,12,93.8
"خليفة بن بديع","Khalifa Bin Badae",tertiary,15,221.0
"شارع ذهبان","",residential,12,196.5
"شارع آل سعيد","",residential,12,283.6
"يحيى بن خلدون","Yahya Bin Khaldoun",residential,12,115.1
"شارع محمد بن يسار","Mohammed Ibn Yasar Street",tertiary,15,206.9
"شارع محمد بن يسار","Mohammed Ibn Yasar Street",tertiary,15,206.0
"شارع أبي هلال العسكري","",residential,12,336.5
"شارع إسماعيل الحصين","",residential,12,336.4
"شارع علي بن هارون","",residential,12,336.5
"سعيد التلمساني","",residential,12,336.9
"أدم بن ربيعة","Adam Bin Rabaie",residential,12,285.8
"شارع الورد","",residential,12,338.7
"شارع ابن حزم","",residential,12,350.1
"شارع سليمان العمري","",residential,12,415.1
"شارع يوسف بن أبي إسحاق","",residential,12,489.9
"شارع منجد","",residential,12,97.8
"شارع الحفي","",residential,12,76.7
"محمد السليماني","Mohammed Al Solimani",residential,12,212.5
"أبي محمد بن سفيان","",residential,12,113.6
"أبي المنصور","",residential,12,93.6
"","",tertiary,15,22.2
"شارع نخال","",residential,12,152.6
"شارع أبي نصر الضرير","",residential,12,169.3
"عمرو بن أمامة","Amr Bin Emama",residential,12,113.8
"","",tertiary,15,44.3
"","",tertiary_link,10,39.2
"شارع أبي قاسم العفيف","",residential,12,70.0
"شارع سليمان العمري","",residential,12,79.8
"","",service,6,80.0
"رأس السر","Ras Al Sirr",residential,12,122.9
"","",residential,12,134.1
"طريق التخصصي","Al Takhassousi Road",primary,14.0,1392.8
"","",service,10.0,264.7
"طريق التخصصي","Al Takhassousi Road",primary,14.0,998.6
"","",service,6,25.2
"","",service,6,145.6
"","",service,6,82.3
"","",service,6,148.3
"","",service,6,21.2
"","",service,6,85.0
"","",service,6,167.8
"","",service,6,82.6
"","",pedestrian,5,366.5
"","",pedestrian,5,386.2
"","",pedestrian,4.0,19.8
"","",pedestrian,4.0,24.3
"","",pedestrian,4.0,14.0
"","",pedestrian,4.0,15.7
"","",steps,4.0,11.2
"","",steps,4.0,11.3
"","",steps,4.0,11.2
"","",steps,4.0,12.1
"","",steps,4.0,11.6
"","",pedestrian,4.0,3.5
"","",pedestrian,4.0,3.2
"","",pedestrian,4.0,3.9
"","",pedestrian,4.0,2.5
"","",pedestrian,4.0,4.6
"","",pedestrian,5,131.3
"","",steps,2,8.6
"","",pedestrian,4.0,8.3
"","",pedestrian,4.0,3.2
"","",pedestrian,4.0,4.8
"","",pedestrian,4.0,4.4
"","",steps,4.0,14.4
