EJARID,BORDERNAME,BORDERTYPE,DIMENSIONS,TOP_IMAGE_URL,LANDUSESTATUS,ISACTIVE,DEEDDATEHIJRI,OBJECTID,SUBTYPE,DETAILSLANDUSE,MAINLANDUSE,DATASOURCE,DESCRIPTION,CREATED_DATE,CREATED_USER,LAST_EDITED_DATE,LAST_EDITED_USER,REGION_ID,SECTOR_ID,AMANA_ID,GOVERNORATE_ID,MUNICIPALITY_ID,CITY_ID,DISTRICT_ID,SUBDISTRICTNAME_ID,SUBDIVISIONPLAN_ID,BLOCK_ID,PARCEL_ID,PARCELIDOLD,PARCELSTATUS,MEASUREDAREA,SUBDIVISIONPLANPARTNUMBER,STREET_ID,DEEDNUMBER,SUBDIVISIONPLANNAME_AR,SUBDIVISIONPLANNAME_EN,OWNERSHIPTYPE,SUBDIVISIONPARCELNUMBER,ASBUILTREMARKS,ISLICENSED,ISBUILT,DATEOFLICENSEHIJRI,LICENSENUMBER,NOOFFLOORS,MAINLANDUSEDESCRIPTION,SUBTYPEDESCRIPTION,DETAILSLANDUSEDESCRIPTION,SUBDIVISIONPARCEL_UNIFIED_ID,ISCOMMERCIAL,BUILDINGCONDITION,SUBMUNICIPALITY_ID,LANDUSEDESCRIPTION,GLOBALID,POSTALCODE,AREATYPE,STREETNAME,MUNICIPALITYUNIQUECODE,HEIGHTCONDITION,DATAOWNER,AMANATRACKING,AMANABALADI,MUNICIPALITYBALADI,DISTRICTBALADI,DATEOFLICENSE,BUILDINGCONDITION_ID,PARCELDVELOPED,PARCELINVESTED,PARCELPROPERTY,UNITSNUMBER,PARCELNAME,BLOCKED,UNBLOCKREASON,BLOCKREASON,WATERSERVICE,ELECTRICITYSERVICE,TELECOMESERVICE,WASTEWATERSERVICE,OWNERNAME,BLOCKHDATE,UNBLOCKHDATE,RESIDENTIALUNITS,COMMERCIALUNITS,BUILDINGSTATUS,BUILDINGMATERIAL,RE_PARCELID,IN_PARCELID,FRONTDEFECTION,SIDEDEFECTION,CONSTRUCTIONPERCENTAGE,REARDEFECTION,SHAPE.AREA,SHAPE.LEN
,,,,,,1,,32448977,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,14,14448332,,2,647.58275621,,001000010024434,310103039157,,,,56/1/6,,,,1423,1638,,,,,001000010000116,,,001022008,,{9A019F7A-AA0E-42DA-A036-FF44B8EF962B},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:17:45 \\ FACADES_SINGE 2023-04-08T06:03:08,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113759946214,1137599462140001,,,,,5.77938760025e-08,0.0009752270124862931
,,,,,,1,,32449002,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1578/ب,14,14448333,,2,605.97998937,,001000010024434,,,,,54/1/2,,,,1423,1638,,,,,001000010000191,,,001022008,,{EAC0A106-9411-4368-9A9C-4512AA58D647},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:17:45 \\ FACADES_SINGE 2023-04-08T06:03:11,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113759846234,1137598462340001,,,,,5.40820033815e-08,0.0009487739136159861
,,,,,,1,,32449032,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,14,14448331,,2,610.19794753,,001000010028063,,,,,53/1/1,,,,1423,1638,,,,,001000010000151,,,001022008,,{7BF2CC08-55CC-459F-B321-59B0A1E93984},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:17:44 \\ FACADES_SINGE 2023-04-08T06:03:37,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113759966240,1137599662400001,,,,,5.44511569825e-08,0.0009511051379894821
,,,,,,1,,32449042,101000,101011,100000,AMANA / Parcel,المحضر مفقود تم الإستدلال علية من المحضر رقم 1638 لعام1423,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,14,14448330,,2,3804.52616088,,001000010024434,,,,,57/2,,,,1405,2840,2,,,,001000010000171,,,001022008,,{415FBD04-B713-48D0-95C3-E22431E0B604},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:13:31 \\ FACADES_SINGE 2023-04-08T06:03:18,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113760106198,1137601061980001,,,,,3.3950577158749995e-07,0.0023351623511555
,,,,,,1,,32449044,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,14,14448329,,2,646.64543217,,001000010028063,310103039157,,,,55/1/5,,,,1423,1638,,,,,001000010000173,,,001022008,,{70939B40-DA73-40CF-A3ED-EC1CAB81C127},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:17:44 \\ FACADES_SINGE 2023-04-08T06:03:18,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113760066220,1137600662200001,,,,,5.7698075261e-08,0.000974289834514431
,,,,,1,1,,32449061,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404803,,1,625.01487749,,001000010028769,,,,,,,,,0,0,,,,,001000010000190,,,001022008,,{D9C4C487-0D0E-4885-96E3-6730E1CECBF2},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:04:25 \\ FACADES_SINGE 2023-04-08T06:03:41,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113756145920,1137561459200001,,,,,5.577776484e-08,0.0009462259194699081
,,,,,1,1,,32449071,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404799,,1,475.04303171,,001000010028769,,,,,,,,,0,0,,,,,001000010000211,,,001022008,,{9C7B9C86-F406-49AC-B91C-85204CD79AC9},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:08:14 \\ FACADES_SINGE 2023-04-08T06:03:48,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113755805904,1137558059040001,,,,,4.2391254275e-08,0.000829349974329221
,,,,,1,1,,32449072,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404801,,1,624.97882656,,001000010028769,,,,,,,,,0,0,,,,,001000010000212,,,001022008,,{921BA958-537B-4066-A1D1-9E63CC189314},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T09:46:50 \\ FACADES_SINGE 2023-04-08T06:03:48,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113755905910,1137559059100001,,,,,5.5777999281000005e-08,0.000946227436728116
,,,,,,1,,32449091,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,14,14448334,,2,647.65485805,,001000010024434,310103039157,,,,56/1/4,,,,1423,1638,,,,,001000010000231,,,001022008,,{5EF50B61-ACA8-4A9B-95A5-9528E8030E97},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-11-26T11:16:53 \\ FACADES_SINGE 2023-04-08T06:03:33,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113759886224,1137598862240001,,,,,5.7794319846e-08,0.000975230643937121
,,,,,1,1,,32449095,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404804,,1,625.01487749,,001000010028769,,,,,,,,,0,0,,,,,001000010000235,,,001022008,,{175A3A76-63AF-4137-B52A-08C4950BC908},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:08:14 \\ FACADES_SINGE 2023-04-08T06:58:11,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113756025914,1137560259140001,,,,,5.5777758206499996e-08,0.000946225756724492
