STREETNAMEID,STREETCATAGORY,SHAPE_LENGTH_1,NUMBER_,GLOSSARY_NAME,SPEED,TOP_IMAGE_URL,GLOBALID,PRIORITYAREA,SPATIAL_ID,STREETNAMETITLE,OBJECTID,ROADCENTERLINENAME_AR,DATEOFCONSTRUCTION,DATEOFDESIGN,INSERVICEDATE,OUTSERVICEDATE,LENGTH,WIDTH,REGION_ID,AMANA_ID,SECTOR_ID,GOVERNORATE_ID,CITY_ID,MUNICIPALITY_ID,SUBMUNICIPALITY_ID,DISTRICT_ID,DATASOURCE,CREATED_DATE,CREATED_USER,LAST_EDITED_DATE,LAST_EDITED_USER,ROADCENTERLINETYPE,VIABILITYOFINVESTMENT,SLOPE,LIFECYCLESTATUS,IMPEDANCE,CAPACITY,NOOFLANES,ROADDIRECTION,SURFACETYPE,TRAFFICVOLUME,SPEEDCLASS,PLANEDWITH,ROADCENTERLINENAME_EN,ROADCENTERLINE_ID,ROADCENTERLINESTATUS,ARABICFUNCTIONALCLASS,LIGHTED,DRAWINGNO,LEVELOFSERVICE,DATEOFLASTINSPECTION,DATEOFINSPECTION,PAVEMENTCONDITION,DRAWINGNAME,ROADNO,DIVIDED,TREE,PAVED,AREATYPE,ROADCENTERLINE_UNIFIED_ID,LENGTH_KM,FORMOFWAY,GLOSSARYID,STREETEDGEID,ROADLEVEL,AMMANAHRECVDATE,AMMANAHUPDDATE,UPDATEUSER,UPDATESTATUS,STREET_ID,PROPOSED_NAMES,SUBTYPE,ST_NUMBER_AR,ST_NUMBER_EN,MOT,ST_NUMBER,ARABICNAME,ENGLISHNAME,MAINSTANDARDQC,SUBSTANDARDQC,VERIFICATIONSTATUS,CORRECTIONSTATUS,REVIEWRESULTS,QCUSER,QCDATE,PROD_CREATIONUSER,PROD_CREATIONDATE,PROD_LASTUSER,PROD_DATEMODIFIED,STREETTEMPID,SPEEDLIMIT,DESCRIPTION,SHAPE.LEN
1007,0,0.00451433,,,,,{1E394BB8-6D04-4332-AF16-9498BC85BCDC},,113757506464,,921805,ابن مشرف,,,,,492,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061001000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Ibn Meshref,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010000923,,,,,0,,,,,,,,,,,,,,,,,,0.00451432517096007
10184,0,0.0027876,,,,,{EFE95948-86C9-4DBA-934D-AAF6A1711EC0},,113759066630,,921921,عبدالعزيز بن رباح,,,,,286,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061002000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Abdulaziz Bin Rabah,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009354,,,,,0,,,,,,,,,,,,,,,,,,0.0027876038459935205
10528,0,0.00072741,,,,,{3F8BE124-89BD-420A-8317-89D1B64AE4B9},,113759445726,,922261,عبدالله بن يربوع,,,,,453,10,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061006000,JALALKHAN,6,0,,2,,,1,2,1,,,1,Abdullah Bin Yarboua,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009663,,,,,0,,,,,,,,,,,,,,,,,,0.00441209458698492
10635,0,0.00147744,,,,,{C31DE0F0-3388-4B1F-918B-C3DFF918BC9A},,113757946534,,922374,زهر اللؤلؤ,,,,,161,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061007000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Zahr Al LoLo,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009768,,,,,0,,,,,,,,,,,,,,,,,,0.0014774429759979101
10688,0,0.00142858,,,,,{FF5922EB-CCBE-470C-A724-B7EB10FC99B4},,113757906216,,922427,عتيك بن قيس,,,,,156,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061007000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Ateek Bin Qais,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009816,,,,,0,,,,,,,,,,,,,,,,,,0.00142858499052584
107,0,0.0031761,,,,,{02A75EF0-A16A-49A2-AD1B-820053FABBB1},,113754606110,,922438,إبراهيم الحديثي,,,,,346,20,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061008000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Ibrahim Al Hedeithi,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010000098,,,,,0,,,,,,,,,,,,,,,,,,0.0031760974467662
10729,0,0.0013198,,,,,{07DE30D1-251A-497C-B3DA-6CC766B57776},,113758446432,,922471,عثمان بن عوف,,,,,144,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061008000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Othman Bin Owf,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009855,,,,,0,,,,,,,,,,,,,,,,,,0.0013197971940757999
10748,0,0.00259489,,,,,{9ECCFDEE-DFDB-4560-8578-FEA4B54A3715},,113756985790,,922491,عدي بن الربيع,,,,,266,12,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061008000,JALALKHAN,5,0,,2,,,1,2,1,,,1,Adi Bin Al Rabie,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010009873,,,,,0,,,,,,,,,,,,,,,,,,0.0025948865494483
10919,0,0.00451689,,,,,{1C772CC7-0BE8-4518-92B0-2A5B1FBFD695},,113756305674,,922658,علي الظفري,,,,,492,20,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061010000,JALALKHAN,6,0,,2,,,1,2,1,,,1,Ali Al Thafri,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010010022,,,,,0,,,,,,,,,,,,,,,,,,0.0045168858657788705
11049,0,0.00314188,,,,,{040F7CC2-BD72-426D-97E2-573326F67AEB},,113756466158,,922791,علي بن هارون,,,,,342,20,001,00101,,101,00100001,00100100,001022008,00100001063,StreetUpdate,1669026187000,SA,1717061013000,JALALKHAN,6,0,,2,,,1,2,1,,,2,Ali Bin Haroun,,4,,,,Normal,,,4,,,2,,1,,,,,,,,,,,,001000010010142,,,,,0,,,,,,,,,,,,,,,,,,0.0031418788363074004
