name_ar,name_en,width_m,length_m,num_lanes,paved,start_lat,start_lng,end_lat,end_lng,center_lat,center_lng,street_id
ابن مشرف,Ibn Meshref,12,492,1,Yes,24.738085623000018,46.65232926200002,24.742122101000007,46.65030788199999,24.74067060466668,46.651034761333335,001000010000923
عبدالعزيز بن رباح,Abdulaziz Bin Rabah,12,286,1,Yes,24.742536425000026,46.65316253100002,24.743617416999996,46.655732004000015,24.743142629857143,46.65460344471428,001000010009354
عبدالله بن يربوع,Abdullah Bin Yarboua,10,453,1,Yes,24.725896282999997,46.65297832300001,24.72709040799998,46.655593361,24.726764124666673,46.65496867891667,001000010009663
زهر اللؤلؤ,Zahr Al LoLo,12,161,1,Yes,24.74069982100002,46.652553642999976,24.742015148999997,46.651880775999985,24.741151079,46.65232279866666,001000010009768
عتيك بن قيس,Ateek Bin Qais,12,156,1,Yes,24.73499023300002,46.652394851999986,24.736265452999987,46.65175090399998,24.735630987250005,46.65207129049999,001000010009816
إبراهيم الحديثي,Ibrahim Al Hedeithi,20,346,1,Yes,24.732360286000016,46.64625093500001,24.73519448000002,46.64481750800002,24.733620102500012,46.64561557075001,001000010000098
عثمان بن عوف,Othman Bin Owf,12,144,1,Yes,24.738911357000006,46.65346883799998,24.74008818599998,46.65287139499998,24.739319334333327,46.65326171933331,001000010009855
عدي بن الربيع,Adi Bin Al Rabie,12,266,1,Yes,24.728454668999973,46.65134558,24.72744302199999,46.64895601799998,24.72778136466665,46.649755200333324,001000010009873
علي الظفري,Ali Al Thafri,20,492,1,Yes,24.723856403000013,46.649803514999974,24.727884632999974,46.64776010600002,24.726419462999985,46.64850192749999,001000010010022
علي بن هارون,Ali Bin Haroun,20,342,1,Yes,24.73600478100002,46.648498647,24.733200764000003,46.64991598099999,24.734507784666665,46.649254723000006,001000010010142
عمر بن العديم,Omar Bin Al Adim,10,117,1,Yes,24.72886996699998,46.653827788,24.72790772899998,46.65430687999998,24.72823546099998,46.65414370433333,001000010010217
