Category,Subtype,Name,Latitude,Longitude
Religious,place_of_worship,Unnamed,24.940014,46.647205
Religious,place_of_worship,Unnamed,24.627143,46.713808
Religious,place_of_worship,Unnamed,24.62905,46.713401
Religious,place_of_worship,Unnamed,24.629471,46.714848
Religious,place_of_worship,Al Manar Mosque,24.730271,46.794992
Religious,place_of_worship,Al Rajhi Mosque,24.707146,46.687128
Religious,place_of_worship,Mosque,24.719374,46.676739
Religious,place_of_worship,Al Ray Mosque,24.696894,46.686764
Religious,place_of_worship,مسجد جامع,24.665285,46.734341
Religious,place_of_worship,Unnamed,24.656285,46.737023
Religious,place_of_worship,Al Rawabi Mosque,24.699547,46.782971
Religious,place_of_worship,Al Rayan Mosque,24.702422,46.777349
Religious,place_of_worship,Unnamed,24.696876,46.781405
Religious,place_of_worship,Al Rayan Mosque,24.701506,46.774055
Religious,place_of_worship,Unnamed,24.708971,46.787141
Religious,place_of_worship,جامع القدس,24.698376,46.785885
Religious,place_of_worship,Unnamed,24.739067,46.768295
Religious,place_of_worship,Unnamed,24.732606,46.770967
Religious,place_of_worship,Unnamed,24.586839,46.680843
Religious,place_of_worship,Unnamed,24.58634,46.682975
Religious,place_of_worship,Unnamed,24.588058,46.677483
Religious,place_of_worship,Al Hudaithy Mosque,24.76015,46.737675
Religious,place_of_worship,Unnamed,24.779867,46.741902
Religious,place_of_worship,Unnamed,24.781085,46.744767
Religious,place_of_worship,Unnamed,24.693652,46.722075
Religious,place_of_worship,Unnamed,24.744695,46.580807
Religious,place_of_worship,Unnamed,24.84011,46.961128
Religious,place_of_worship,Unnamed,24.752783,46.812005
Religious,place_of_worship,Unnamed,24.548097,46.690092
Religious,place_of_worship,Unnamed,24.5559,46.693905
Religious,place_of_worship,Unnamed,24.555205,46.696315
Religious,place_of_worship,Unnamed,24.545714,46.703613
Religious,place_of_worship,Unnamed,24.554572,46.703915
Religious,place_of_worship,Unnamed,24.551603,46.706479
Religious,place_of_worship,Unnamed,24.563944,46.706615
Religious,place_of_worship,Unnamed,24.560414,46.687673
Religious,place_of_worship,Unnamed,24.790155,46.697196
Religious,place_of_worship,Unnamed,24.604052,46.709983
Religious,place_of_worship,Unnamed,24.603358,46.702258
Religious,place_of_worship,ال خالد,24.583896,46.69032
Religious,place_of_worship,العوده,24.582347,46.699377
Religious,place_of_worship,Unnamed,24.700139,46.781132
Religious,place_of_worship,جامع عبد الله المبيريك,24.701043,46.786831
Religious,place_of_worship,Unnamed,24.695214,46.789725
Religious,place_of_worship,Unnamed,24.703941,46.782396
