Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Unnamed,amenity,parking,24.6729921,46.7029441,,,,,,
Kudu,amenity,restaurant,24.6904926,46.7232179,,,,,,
Unnamed,amenity,parking_space,24.7071075,46.674746,,,,,,
Unnamed,amenity,checkpoint,24.4534265,46.9894828,,,,,,
Unnamed,amenity,parking,24.9414776,46.649317,,,,,,
Unnamed,amenity,parking,24.9386058,46.6472485,,,,,,
Unnamed,amenity,parking,24.9390338,46.648081,,,,,,
Unnamed,amenity,parking,24.9408161,46.6488792,,,,,,
Unnamed,amenity,place_of_worship,24.9400144,46.6472055,,,,,,
Unnamed,amenity,place_of_worship,24.6271429,46.7138083,,,,,,
Unnamed,amenity,place_of_worship,24.6290502,46.7134008,,,,,,
Unnamed,amenity,place_of_worship,24.6294714,46.7148484,,,,,,
Firdays,amenity,restaurant,24.7675896,46.7597589,,,,,,
KFC/Hardys,amenity,fast_food,24.7672194,46.7590293,,,,,,
Unnamed,amenity,parking,24.6480637,46.7311751,,,,,,
Unnamed,amenity,parking_entrance,24.9564961,46.702364,,,,,,
Unnamed,amenity,parking_entrance,24.9564339,46.7023994,,,,,,
Unnamed,amenity,parking_entrance,24.9605035,46.6998347,,,,,,
Unnamed,amenity,parking_entrance,24.96077,46.6996827,,,,,,
Unnamed,amenity,parking_entrance,24.9608364,46.6996415,,,,,,
Unnamed,amenity,parking_entrance,24.9610682,46.6994829,,,,,,
Unnamed,amenity,parking_entrance,24.9561973,46.7025811,,,,,,
Unnamed,amenity,parking_entrance,24.9567636,46.7022112,,,,,,
Roma Cafe,amenity,cafe,24.7016088,46.6915377,,,,,,
KFC,amenity,fast_food,24.7118004,46.6969673,,,,,,KFC
البنك الاهلي,amenity,bank,24.7058522,46.6877737,البنك الاهلي,,,,,
Al Muhsen Station,amenity,fuel,24.7342226,46.794444,,,,,,
Al Manar Mosque,amenity,place_of_worship,24.7302712,46.7949925,,,,,,
Unnamed,amenity,pharmacy,24.7276596,46.7922566,,,,,,
Al Manar Police Station,amenity,police,24.7189764,46.8005929,,,,,,
Unnamed,amenity,school,24.7218941,46.7914221,,,,,,
Unnamed,amenity,fuel,24.723658,46.7971406,,,,,,
Indian International School,amenity,school,24.7224116,46.7731502,,,,,,
نفط,amenity,fuel,24.7305293,46.7884466,,,,,,نفط
البنك الأهلي السعودي,amenity,bank,24.730656,46.7884788,البنك الأهلي السعودي,,,,,البنك الأهلي السعودي
Unnamed,amenity,cafe,24.7372141,46.7828676,,,,,,
Unnamed,amenity,fast_food,24.7370192,46.7829964,,,,,,
Unnamed,amenity,taxi,24.7375844,46.7825136,,,,,,
المدارس السعودية (بنات),amenity,school,24.7295377,46.7879813,,,,,,
% Arabica,amenity,cafe,24.7343906,46.7944508,,Khurais Road,,,,% Arabica
Shiraz Restaurant (Iranian),amenity,restaurant,24.7014755,46.6916745,,,,,,
Unnamed,amenity,restaurant,24.6996722,46.6924899,,,,,,
Unnamed,amenity,fast_food,24.699565,46.6922968,,,,,,
Unnamed,amenity,fuel,24.7084055,46.6870396,,,,,,
Al Rajhi Mosque,amenity,place_of_worship,24.7071458,46.6871281,,,,,,
Unnamed,amenity,bank,24.7078207,46.6867929,,,,,,
Al Daleel Station,amenity,fuel,24.691334,46.718527,,,,,,
Unnamed,amenity,car_wash,24.691632,46.71841,,,,,,
Diplomat Rent A Car,amenity,car_rental,24.7338508,46.7940468,,,,,,
زيتي,amenity,fuel,24.6570349,46.7355219,,,,,,
SABB,amenity,bank,24.699294,46.68975,,,,,,
Unnamed,amenity,parking,24.7011604,46.6914353,,,,,,
Al Nokhba Clinics,amenity,hospital,24.6994716,46.6899776,,Tahliya St.,,,,
Unnamed,amenity,cafe,24.702651,46.697639,,,,,,
Hardees,amenity,fast_food,24.7117224,46.6970049,,,,,,
Al Mansaf,amenity,restaurant,24.711061,46.6977886,,,,,,
