lat,lon,category
24.430507,46.713916,apartments
24.445376,46.728046,apartments
24.452425,46.716939,apartments
24.47167,46.523007,apartments
24.477538,46.528379,apartments
24.478374,46.809952,apartments
24.480137,46.530534,apartments
24.480779336204993,46.51924686458267,apartments
24.484393,46.526477,apartments
24.485183668154775,46.53555797967782,apartments
24.485407,46.634541,apartments
24.485652,46.549529,apartments
24.485685,46.549993,apartments
24.48569,46.483293,apartments
24.486041,46.620478,apartments
24.487269,46.525964,apartments
24.488157,46.630235,apartments
24.48858534848508,46.507490924542,apartments
24.488711,46.615679,apartments
24.488816,46.526064,apartments
24.489246,46.528695,apartments
24.489283,46.616674,apartments
24.48956,46.563544,apartments
24.490061,46.491639,apartments
24.49017,46.643276,apartments
24.490391,46.551829,apartments
24.491076,46.530371,apartments
24.49154,46.613289,apartments
24.491714,46.533406,apartments
24.492168,46.641348,apartments
24.492661,46.534073,apartments
24.492917,46.478952,apartments
24.493109,46.536884,apartments
24.49358,46.510501,apartments
24.493719,46.539014,apartments
24.494298,46.530652,apartments
24.494656,46.522739,apartments
24.494707,46.567546,apartments
24.495039,46.613882,apartments
24.495209,46.658443,apartments
24.495216,46.520192,apartments
24.49531,46.614088,apartments
24.495459,46.614156,apartments
24.495625,46.619507,apartments
24.495733,46.619407,apartments
24.495753,46.565769,apartments
24.495858,46.494884,apartments
24.496055,46.620799,apartments
24.496123,46.486575,apartments
24.496209,46.534585,apartments
24.496253,46.61786,apartments
24.496454,46.621886,apartments
24.496595,46.538842,apartments
24.496964,46.524208,apartments
24.497,46.554597,apartments
24.497203,46.535336,apartments
24.497305,46.534527,apartments
24.497389,46.625817,apartments
24.497671,46.486279,apartments
24.497883,46.48462,apartments
24.498111,46.618912,apartments
24.4985,46.639381,apartments
24.498561,46.657649,apartments
24.498713,46.641957,apartments
24.499017,46.556195,apartments
24.499141,46.74197,apartments
24.499361,46.534335,apartments
24.499477,46.659198,apartments
24.499739,46.519423,apartments
24.499828,46.742911,apartments
24.499893,46.736941,apartments
24.499899,46.736951,apartments
24.500006,46.521225,apartments
24.500077,46.735942,apartments
24.500279,46.659376,apartments
24.500334,46.625125,apartments
24.500697,46.541493,apartments
24.500724,46.659568,apartments
24.500846,46.740574,apartments
24.500939,46.678939,apartments
24.500994,46.618961,apartments
24.501043,46.617991,apartments
24.501179,46.493625,apartments
24.501192,46.623088,apartments
24.501246,46.475521,apartments
24.501308,46.534706,apartments
24.501342,46.621363,apartments
24.501412,46.673353,apartments
24.501436,46.680832,apartments
24.501555637368046,46.521475673136855,apartments
24.501631,46.661255,apartments
24.501789,46.739064,apartments
24.501821,46.734046,apartments
24.501833,46.730451,apartments
24.50185,46.520807,apartments
24.501927232035545,46.66548460582521,apartments
24.502045,46.660817,apartments
24.502072,46.534058,apartments
24.502112,46.660841,apartments
24.502206,46.595205,apartments
24.502223,46.487625,apartments
24.502287386861425,46.48726895551216,apartments
24.502309,46.737084,apartments
24.502349,46.661135,apartments
24.502449,46.660882,apartments
24.502608,46.738815,apartments
24.502717,46.675007,apartments
24.50273,46.729543,apartments
24.502759,46.555392,apartments
24.502947,46.623545,apartments
24.502974,46.723652,apartments
24.503119,46.66636,apartments
24.503276,46.662194,apartments
24.503531,46.628728,apartments
24.503623,46.740633,apartments
24.503661,46.740683,apartments
24.503666,46.740664,apartments
24.503678,46.740705,apartments
24.50368,46.740715,apartments
24.50368,46.740719,apartments
24.503701,46.738138,apartments
24.503713,46.740721,apartments
24.503718,46.740722,apartments
24.503834,46.679418,apartments
24.503872,46.660917,apartments
24.503905166104403,46.47492832444364,apartments
24.504043,46.468429,apartments
24.504173,46.666179,apartments
24.504258,46.663031,apartments
24.504293,46.733362,apartments
24.504358,46.670416,apartments
24.50438,46.741803,apartments
24.504469,46.740448,apartments
24.504489,46.741399,apartments
24.504566,46.732218,apartments
24.504607,46.74051,apartments
24.504611,46.740581,apartments
24.504658,46.636883,apartments
24.504682,46.485119,apartments
24.504777,46.62949,apartments
24.504959,46.663413,apartments
24.505071,46.624661,apartments
24.505076,46.474183,apartments
