name,lat,lon,address,category,types,rating
Kudu - Al Malaz,24.6663876,46.72442909999999,"Al Farazdaq Street, Riyadh",Restaurants,"restaurant,meal_delivery,meal_takeaway,food,point_of_interest,establishment",4
Domino's Pizza دومينوز بيتزا,24.654983,46.712067,"Prince Abdulaziz Ibn Musaid Ibn Jalawi Street, Riyadh",Restaurants,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4
Amo Hamza,24.651917,46.708341,"Al Washm Street, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.5
KFC,24.6518213,46.7078897,"Al Washm Street, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.8
Aquarium Boutique Hotel,24.6564725,46.7108184,"Prince Abdulaziz Ibn Musaid Ibn Jalawi Street, Riyadh",Restaurants,"night_club,lodging,cafe,bar,restaurant,food,point_of_interest,establishment",4
Downtown Cairo Cafe,24.64595030000001,46.7023641,"King Fahad Branch Road, Riyadh",Restaurants,"cafe,store,restaurant,food,point_of_interest,establishment",4.1
Falafel Arafah,24.6553162,46.7440301,"Zeid Ibn Al Khattab, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4
Grill And Rice,24.6286034,46.7395277,"Al Kharj Road, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.2
Kabab House-Malaz بيت الكباب-الملز,24.6661736,46.73092189999999,"7402 Ibn Shaddad, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.5
Maestro Pizza,24.6662143,46.7308871,"Salah Ad Din Al Ayyubi Road, Riyadh",Restaurants,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4
مطاعم ركن هاشم الملز - Hashem Rest Malaz,24.6676701,46.73319249999999,"Abdullah Al Hamathani Street, MP9M+378, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.8
KFC,24.6638132,46.706475,"Amer fisal Street Wazarat, الرياض",Restaurants,"restaurant,food,point_of_interest,establishment",3.7
Maestro Pizza,24.6611855,46.70123419999999,"King Fahd Road, Riyadh",Restaurants,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4.1
Subway Murraba,24.661197,46.70113989999999,"King, King Fahad Branch Road, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.9
Al Tazaj,24.6660905,46.71172159999999,"شازع الأمير فيصل بن تركي بن عبدالعزيز ،, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.9
Buffet - Reasturant - بوفيه,24.6473487,46.7238142,Riyadh,Restaurants,"restaurant,food,point_of_interest,establishment",3.6
گجرات مطعم,24.6472117,46.7247065,"Al Farazdaq Street, JPWF+VVP, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",
Sahil,24.6472117,46.7247065,"Al Farazdaq Street, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",
Chef Al Shawya Restaurant,24.6472117,46.7247065,"Al Farazdaq Street, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4
Restaurant of Shaabiyat Al - Sadda,24.6457156,46.7205971,"حي 2549, 2549 عبدالحكيم الجمحي, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.9
dr.CAFE COFFEE‎,24.66068750000001,46.7251875,"Al Jamiah Street, MP6G+73, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",4
Dunkin' Donuts - 10244,24.6288015,46.7101671,"Al Muqaybirah Street, Riyadh",Restaurants,"cafe,bakery,store,food,point_of_interest,establishment",4
Dunkin' - دانكن,24.668699,46.719099,"King Abdulaziz Road, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",3.8
Café Mr. Dainty,24.6637153,46.70360469999999,"Prince Faisal Bin Turki Bin Abdulaziz St Prince Faisal Bin Turki Bin Abdulaziz Street, Riyadh",Restaurants,"cafe,food,point_of_interest,establishment",4.5
Dunkin' - دانكن,24.661731,46.70107600000001,"طريق الملك فهد الفرعي, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",4.3
..,24.6448201,46.7259579,"Al Farazdaq Street, زيد بن سهل, Riyadh",Restaurants,"cafe,food,point_of_interest,establishment",4
ميعاد للمأكولات,24.6425838,46.72311209999999,"شارع أبي جعفر المنصور, JPVF+26Q, Riyadh",Restaurants,"cafe,store,food,point_of_interest,establishment",
