district_en,district_ar,villas,apartments_landuse,apartments_listed,total_residential,villa_percentage,apartment_percentage
Oraid Dist.,حي عريض,55635,2438,40,58073,95.8,4.2
Tuwaiq Dist.,حي طويق,32323,5654,83,37977,85.11,14.89
Al Janadriyah Dist.,حي الجنادرية,30932,1808,39,32740,94.48,5.52
Dahiyat Namar Dist.,حي ضاحية نمار,26809,4701,53,31510,85.08,14.92
Al Arid Dist.,حي العارض,25328,4291,89,29619,85.51,14.49
Al Narjis Dist.,حي النرجس,22557,2631,81,25188,89.55,10.45
Al Rimal Dist.,حي الرمال,22716,1657,36,24373,93.2,6.8
Dhahrat Laban Dist.,حي ظهرة لبن,16980,7024,112,24004,70.74,29.26
Badr Dist.,حي بدر,15570,3310,99,18880,82.47,17.53
Al Nadheem Dist.,حي النظيم,16556,1320,9,17876,92.62,7.38
Al Mahdiyah Dist.,حي المهدية,13062,3831,68,16893,77.32,22.68
Al Khair Dist.,حي الخير,15482,69,51,15551,99.56,0.44
Al Qairawan Dist.,حي القيروان,13410,1813,25,15223,88.09,11.91
Al Malqa Dist.,حي الملقا,12911,1956,102,14867,86.84,13.16
Al Aziziyah Dist.,حي العزيزية,11631,2462,194,14093,82.53,17.47
Al Yasmeen Dist.,حي الياسمين,12729,1325,64,14054,90.57,9.43
Al Zaher Dist.,حي الزاهر,13856,0,36,13856,100.0,0.0
Al Dar Al Baida Dist.,حي الدار البيضاء,10687,1903,76,12590,84.88,15.12
West Oraija Dist.,حي العريجاء الغربي,10608,1980,56,12588,84.27,15.73
Al Munisiyah Dist.,حي المونسية,10647,1924,116,12571,84.69,15.31
West Naseem Dist.,حي النسيم الغربي,10281,1890,77,12171,84.47,15.53
Al Ula Dist.,حي العلا,12157,0,12,12157,100.0,0.0
Al Wasam Dist.,حي الوسام,11072,14,9,11086,99.87,0.13
Al Nahdah Dist.,حي النهضة,8997,1186,157,10183,88.35,11.65
Al Sahab Dist.,حي السحاب,9516,37,5,9553,99.61,0.39
Al Nakhbah Dist.,حي النخبة,9167,0,3,9167,100.0,0.0
Qurtubah Dist.,حي قرطبة,7636,1391,86,9027,84.59,15.41
Al Khaleej Dist.,حي الخليج,7152,1576,126,8728,81.94,18.06
Al Tadamun Dist.,حي التضامن,8656,0,1,8656,100.0,0.0
Dirab Dist.,حي ديراب,6740,1899,54,8639,78.02,21.98
Al Hazm Dist.,حي الحزم,7292,1290,122,8582,84.97,15.03
Al Olaya Dist.,حي العليا,7018,1550,73,8568,81.91,18.09
Al Mashriq Dist.,حي المشرق,7332,1143,36,8475,86.51,13.49
East Naseem Dist.,حي النسيم الشرقي,5846,2270,59,8116,72.03,27.97
Al Marjan Dist.,حي المرجان,8010,95,21,8105,98.83,1.17
Ishbiliyah Dist.,حي اشبيلية,6912,976,76,7888,87.63,12.37
Al Awaly Dist.,حي العوالي,6190,1640,71,7830,79.05,20.95
Al Sholah Dist.,حي الشعلة,7829,0,4,7829,100.0,0.0
Al Yarmuk Dist.,حي اليرموك,5651,1867,97,7518,75.17,24.83
Okaz Dist.,حي عكاظ,6764,700,92,7464,90.62,9.38
Al Rawdah Dist.,حي الروضة,5791,1398,41,7189,80.55,19.45
Irqah,عرقة,6498,525,61,7023,92.52,7.48
Al Shifa Dist.,حي الشفا,5685,1257,88,6942,81.89,18.11
Al Sahafah Dist.,حي الصحافة,5549,1307,63,6856,80.94,19.06
Hiteen Dist.,حي حطين,6028,806,49,6834,88.21,11.79
Al Misfat Dist.,حي المصفاة,6312,517,41,6829,92.43,7.57
Al Bayan Dist.,حي البيان,6248,556,55,6804,91.83,8.17
