DISTRICTNAME_AR,DISTRICTNAME_EN,DISTRICT_ID,CITY
1023 مخطط رقم,Subdivision 1023,00105001010,
1029 مخطط رقم,Subdivision 1029,00105001028,
1041/1043 مخطط رقم,Subdivision 1041/1043,00105001027,
1045 مخطط رقم,Subdivision 1045,00105001040,
1051 مخطط رقم,Subdivision 1051,00105001009,
1075 مخطط رقم,Subdivision 1075,00105001005,
1077 مخطط رقم,Subdivision 1077,00105001022,
1101 مخطط رقم,Subdivision 1101,00105001016,
1النخيل,Al Nakhil1,00120001040,
517 مخطط رقم,Subdivision 517,00105001034,
638 مخطط رقم,Subdivision 638,00105001004,
665 مخطط رقم,Subdivision 665,00105001019,
آل حمد,Al Hamad,00122222012,
آل حميضان,Al Humaydan,00106001016,
آل عريمة,Al Arima,00106001033,
آل عويمر,Al Awaimer,00106001040,
آل مجلى,Al Mijali,00106001006,
آل معني,Al Maeni,00106001026,
آل ناهش,Al Nahsh,00106001025,
أبو سليم,Abu Sleem,00105001039,
أحد,Ohod,00100001065,
أحد,Ohod,00122002004,
أحد,Ohod,00108001030,
أحد,Ohod,00102002031,الخرج
أم الحمام الشرقي,Umm Al Hamam Eastern,00100001133,
أم الحمام الغربي,Umm Al Hamam Western,00100001005,
أم السلم,Umm Asalam,00102007008,
أم الشعال,Umm Al Shaeal,00100001020,
أم رضمة,Umm Radhama,00103082011,
أم سريحة,Umm Sariha,00105001025,
أم سريحة,Umm Sariha,00107017017,
أم سليم,Umm Selim,00100001142,
أم سليم,Umm Selim,00103023006,ساجر
أم سمرة,Umm Samra,00106001012,
أم عنيق,Umm Aneq,00104004008,
إشبيلية,Ishbiliyah,00108001043,
إشبيلية,Ishbiliyah,00100001184,
إشبيلية,Ishbiliyah,00111001003,عفيف
اسفل الباطن,Asfil Al Batin,00110001010,
اسفل الباطن الجنوبي,Asfil Al Batin Southern,00110001016,
اسفل الباطن الشمالي,Asfil Al Batin North,00110001009,
ال دحيم,Al Dahim,00107024013,
ال راشد وال شايع,Al Rashid and Shaye,00107024009,
ال سالم,Al Salem,00107024018,
ال طهيف وال هديب,Al Tahyif and Al Hadeeb,00107024008,
ال ظافر,Al Zafer,00107024005,
ال غضاب,Al Ghidab,00107024001,
ال فهد,Al Fahd,00122222015,
ال قاران,Al Qaran,00107024003,
ال هذال,Al Hadhal,00107024015,
ال هشام,Al Hisham,00107024006,
ال هويمل,Al Hoymel,00122002006,
ال وحيد,Al Wahid,00107017012,
ال وقيان,Al Waqian,00107024016,
الأمير سلطان,Prince Sultan,00107017009,
الأمير سلطان,Prince Sultan,00103236019,
الأمير سلطان,Prince Sultan,00101002004,
الأمير سلطان بن عبدالعزيز,Prince Sultan bin Abdulaziz,00104001022,
الأمير نايف,Prince Naif,00104001010,
الأندلس,Al Andalus,00104004013,
الأندلس,Al Andalus,00100001055,
الأندلس,Al Andalus,00119001007,
الأندلس,Al Andalus,00107017013,
الأندلس,Al Andalus,00104001003,
الأندلس,Al Andalus,00104007001,
الأندلس,Al Andalus,00113001021,
الأندلس,Al Andalus,00122222019,
الأندلس,Al Andalus,00114001015,
الأندلس,Al Andalus,00107001026,
الأندلس,Al Andalus,00108001039,
الأندلس,Al Andalus,00103023016,ساجر
الإزدهار,Al Izdihar,00100001054,
الإزدهار,Al Izdihar,00108001027,
الإزدهار,Al Izdihar,00111114002,
الإزدهار,Al Izdihar,00121001011,
الإزدهار,Al Izdihar,00115001008,
الإزدهار,Al Izdihar,00107017021,
الإزدهار,Al Izdihar,00102002030,الخرج
الإسكان,Al Iskan,00100001106,
الإسكان,Al Iskan,00104001011,
الإسكان,Al Iskan,00119001008,
الإسكان الخيري,Al Iskan Al Khairi,00120001008,
الادارية شرق,East Administrative,00107001001,
الادارية غرب,West Administrative,00107001017,
الاذاعة,Al Idhaah,00107001030,
الاصفير,Al Usfayr,00122222013,
الاقرن,Al Aqarn,00122222005,
البجادية,Al Bajadia,00122222008,
البدائع,Al Badai',00122002017,
البدع,Al Bada,00102002013,الخرج
البديع الشرقى,Al Badi Al Sharqi,00113001009,
البديع الغربي,Al Badi Al Gharbi,00113001005,
البديعة,Al Badiah,00103236015,
البديعة,Al Badiah,00100001072,
البديعة,Al Badiah,00122222011,
البرقة,Al Barqah,00107017018,
البرية,Al Bariyah,00100001167,
البساتين,Al Basatin,00100001052,
البساتين,Al Basatin,00105001047,
البساتين,Al Basatin,00102002022,الخرج
البساتين,Al Basatin,00109001013,شقراء
البساتين,Al Basatin,00118001006,الحريق
البستان,Al Bustan,00119001018,
البصيرة,Al Basirah,00104001005,
البطحاء,Al Batha,00100001078,
البطين,Al Batiyn,00113001011,
البكر,Al Bakr,00107017010,
البلد,Al Balad,00103236016,
البلدة القديمة,Down Town,00104005001,
البليدا,Al Blaida,00101001013,
البيان,Al Bayan,00100001191,
التسعين,Ninety,00103236002,
التضامن,Al Tadamun,00103236017,
التضامن,Al Tadamun,00110001002,
التضامن,Al Tadamun,00100001165,
التعاون,At Taawun,00100001108,
التعاون,At Taawun,00107001022,
التعاون,At Taawun,00115001015,
التعاون,At Taawun,00102002049,الخرج
التعاون,At Taawun,00104006010,روضة سدير
التعاون,At Taawun,00104021002,تمير
التقنية,Al Tiqniya,00106001015,
التوباد,Al Tuwbad,00107001006,
الثليما,Al Thilaima ,00101001016,
الثليماء,Althalima',00102002043,الخرج
الثمالة,Ath-Thamalah,00103082017,
الجامعة,Al Jamiah,00107001011,
الجامعة,Al Jamiah,00103001003,
الجامعة,Al Jamiah,00114001024,
الجامعة,Al Jamiah,00116001020,
الجامعة,Al Jamiah,00102002010,الخرج
الجامعة,Al Jamiah,00109001009,شقراء
الجامعيين,Al Jamiyin,00104001016,
الجرادية,Al Jarradiyah,00100001062,
الجزر,Al Jazur,00104005011,
الجزيرة,Al Jazirah,00105001018,
الجزيرة,Al Jazirah,00104001009,
الجزيرة,Al Jazirah,00107001015,
الجزيرة,Al Jazirah,00110001015,
الجزيرة,Al Jazirah,00104038001,
الجزيرة,Al Jazirah,00100001041,
الجزيرة,Al Jazirah,00111001018,عفيف
الجفونية,Al Jaffuniyyah,00105001044,
الجفيدرية,Al Jufaidariyah,00107001004,
الجمالين,Jamalin,00115001014,
الجنادرية,Al Janadriyah,00100001117,
الجنادرية,Al Janadriyah,00116001021,
الحائر,Al Haer,00100001121,
الحديدية,Al Hadidia,00106001035,
الحرمين,Al Haramain,00103001030,
الحزم,Al Hazm,00117001008,
الحزم,Al Hazm,00107024007,
الحزم,Al Hazm,00100001035,
الحزم,Al Hazm,00114001025,
الحزم,Al Hazm,00105001032,
الحزم,Al Hazm,00110001027,
الحزم,Al Hazm,00120001026,
الحزم,Al Hazm,00104006005,روضة سدير
الحزم,Al Hazm,00103023009,ساجر
الحزم,Al Hazm,00111001013,عفيف
الحزيمية,Al Hazimia,00114001012,
الحلة,Al Hilah,00110001008,
الحلة,Al Hilah,00107024004,
الحلة الطالعية,Al Hilah Al Taalieia,00104004009,
الحلوة,Al Hulwa,00110001017,
الحلوة,Al Holwah,00103082018,
الحمراء,Al Hamra,00108001021,
الحمراء,Al Hamra,00100001111,
الحمراء,Al Hamra,00122222018,
الحنابجة,Al Hanabija,00107024002,
الحنابجة,Al Hanabija,00106001036,
الحنو,Al Hunu,00122002023,
الخالدية,Al Khalidiyah,00106001023,
الخالدية,Al Khalidiyah,00107001002,
الخالدية,Al Khalidiyah,00105073004,
الخالدية,Al Khalidiyah,00113001001,
الخالدية,Al Khalidiyah,00108001001,
الخالدية,Al Khalidiyah,00120001002,
الخالدية,Al Khalidiyah,00109006004,
الخالدية,Al Khalidiyah,00100001146,
الخالدية,Al Khalidiyah,00103001031,
الخالدية,Al Khalidiyah,00121001018,
الخالدية,Al Khalidiyah,00105001033,
الخالدية,Al Khalidiyah,00101001011,
الخالدية,Al Khalidiyah,00116001013,
الخالدية,Al Khalidiyah,00102002047,الخرج
الخالدية,Al Khalidiyah,00104021011,تمير
الخالدية الشرقي,Al Khalidiyah East,00116001015,
الخرائق,Al Kharayiq,00105131002,
الخزامى,Al Khuzama,00113001003,
الخزامى,Al Khuzama,00100001008,
الخزامى,Al Khuzama,00119001012,
الخزامى,Al Khuzama,00108001005,
