Name,Subtype,Latitude,Longitude
Unnamed,school,24.721894,46.791422
Indian International School,school,24.722412,46.77315
المدارس السعودية (بنات),school,24.729538,46.787981
Unnamed,school,24.719404,46.679142
Al Rayah School,school,24.708512,46.709455
Unnamed,school,24.69503,46.6951
Unnamed,school,24.701795,46.691216
Secondary School,school,24.658559,46.742983
High School,school,24.658608,46.744013
Elementary School,school,24.657945,46.743004
Girls Secondary School 77,school,24.701506,46.777167
School 281 - Girls,school,24.701077,46.776673
Ibn Hajar Boys School,school,24.73704,46.768199
Unnamed,school,24.58434,46.676152
Unnamed,school,24.584723,46.676459
Unnamed,school,24.584459,46.676652
Unnamed,school,24.777276,46.735218
Unnamed,school,24.584421,46.771909
جامعة الملك سعود,college,24.717099,46.619397
international indian school,school,24.751234,46.813893
International Indian Public School (IIPS),school,24.691083,46.704829
المعهد العلمي بالدرعية,college,24.771885,46.562514
Academic Campus,college,24.855872,46.719039
King Abdullah Petroleum Studies and Research Center,university,24.871935,46.710701
Unnamed,library,24.681721,46.62236
Creche,kindergarten,24.688388,46.619814
KSAU-HS,university,24.757076,46.85719
Unnamed,school,24.576836,46.668709
مدرسة خبيب بن عدي الابتدائية,school,24.581101,46.662842
Unnamed,school,24.669497,46.789441
Unnamed,school,24.760753,46.757317
Unnamed,school,24.756184,46.746518
Unnamed,school,24.757167,46.743164
Unnamed,school,24.802374,46.764388
Unnamed,school,24.804609,46.756531
Unnamed,school,24.801427,46.75786
Unnamed,school,24.795485,46.745821
Unnamed,school,24.793428,46.740532
Unnamed,school,24.808446,46.754667
Unnamed,school,24.810615,46.759733
Unnamed,school,24.807491,46.794576
Unnamed,school,24.782677,46.782276
Unnamed,school,24.787575,46.773631
Unnamed,school,24.795438,46.793845
Unnamed,school,24.72325,46.844934
Unnamed,school,24.723301,46.842272
Unnamed,school,24.72157,46.850874
Unnamed,school,24.721825,46.853088
Unnamed,school,24.71199,46.805233
Unnamed,school,24.717213,46.817417
Unnamed,school,24.710985,46.815143
Unnamed,school,24.700063,46.8063
Unnamed,school,24.701008,46.813567
Unnamed,school,24.702679,46.816316
Unnamed,school,24.783307,46.707717
Pakistan International School 1,school,24.651914,46.686833
Pakistan International School 2,school,24.653752,46.683693
Unnamed,library,24.799659,46.784295
Unnamed,library,24.807036,46.780659
المعهد العلمي في الدرعية,school,24.772258,46.56244
Unnamed,library,24.792693,46.805528
مدرسة سمر بن جندب,school,24.575225,46.780452
ثانوية أضواء الرياض الأهلية,school,24.793177,46.795145
مكتبة ربوع القلم,library,24.805307,46.793408
دار القلم,school,24.707525,46.813773
مكتبه خالد,library,24.621711,46.759026
المدرسة الاثيوبية العالمية بالرياض,school,24.65318,46.705105
مكتبة الملك عبدالعزيز العامة,library,24.643036,46.710986
al oruba international school,school,24.643406,46.657531
Al Hussan International School,school,24.804515,46.734711
مكتب حمد محمد بن سعيدان للعقارات,library,24.777273,46.591304
الابداع,school,24.79705,46.87658
مدرسة المواهب الأهلية للبنين,school,24.628568,46.681605
المدرسة الفرنسية الدولية بالرياض,school,24.802781,46.690582
الهيئة السعودية للمحاسبين القانونيين,library,24.656969,46.716302
مدرسة موسى بن نصير الثانوية,school,24.581911,46.664168
مكتبة انغام,library,24.583003,46.671301
home Malaz,school,24.660211,46.719695
مدرسة ابن الهيثم الابتدائية,school,24.61383,46.699238
مدرسة المتوسطة 156,school,24.498415,46.632727
مدارس الرشد ابتدائي بنين,school,24.57815,46.680601
ثانوية حي الشفاء,school,24.56785,46.702449
Unnamed,school,24.701849,46.710135
مدارس الجودة الأهلية,school,24.765292,46.723296
مدرسة عبدالقاهر الجرجاني,school,24.7273,46.832994
الجامعة الإلكترونية,college,24.794172,46.677072
مدارس الأمجاد الأهلية والعالمية-القبول والتسجيل,school,24.773835,46.755173
مجمع الشيخ صالح الراجحي (رحمه الله) لتحفيظ القرآن الكريم,school,24.740047,46.784139
Unnamed,school,24.586704,46.532635
Unnamed,school,24.579018,46.551463
مدرسة بنات,school,24.699188,46.787842
Middle school,school,24.653442,46.739208
كلية المجتمع الجديده,college,24.662935,46.732344
ابتدائية جعفر بن أبي طالب,school,24.597703,46.657244
Unnamed,school,24.595369,46.675525
Unnamed,school,24.594667,46.67451
Unnamed,school,24.556724,46.762907
متوسطة جعفر بن الزبير,school,24.673384,46.792715
Unnamed,school,24.74033,46.751821
Unnamed,college,24.652012,46.581789
مدرسة يزيد بن نعيم الابتدائية,school,24.651663,46.573603
مدرسة سليم بن عيسى لتحفيظ القرآن الكريم,school,24.651774,46.573879
Prince Sultan University,university,24.734613,46.698225
Library of Al-Yamamah University,library,24.862425,46.590517
PSU Library,library,24.734603,46.697436
PSU Kindergarden,kindergarten,24.734671,46.696895
Library,library,24.857685,46.592249
al yamamah university kindergarten,kindergarten,24.860477,46.587847
مدرسة أبي عمرو البصري رحمة الله تعالى,school,24.691962,46.762972
متوسطة مجاهد,school,24.691752,46.762141
Unnamed,school,24.752905,46.707872
مكتبة الجامعة,library,24.788931,46.86156
كلية العلوم الإستراتيجية,college,24.78956,46.86232
كلية العدالة الجنائية,college,24.78952,46.8618
كلية العلوم الإدارية,college,24.78937,46.86216
كلية علوم الحاسب,college,24.789554,46.862757
