latitude,longitude,name,category
24.8127937,46.7728427,Furnished Apartments,apartments
24.6624514,46.7429484,%D8%B9%D9%85%D8%A7%D8%B1%D8%A9 %D8%A7%D9%84%D8%AA%,apartments
24.6912373,46.7028315,%D9%81%D9%88%D9%8A%D8%A7%D8%AC %D9%84%D9%84%D8%B4%,apartments
24.7539701,46.678807,%D9%85%D9%86%D8%AF%D8%B1%D9%8A%D9%86 %D8%A7%D9%84%,apartments
24.6915943,46.7103515,violet furnished apartments,apartments
24.7004068,46.709797,PILO Serviced Apartments %7C %D8%B4%D9%82%D9%82 %D,apartments
24.7622968,46.719655,Ajwaa Al Msaa Apartments,apartments
24.7907667,46.6437041,%D9%86%D8%B2%D9%84 %D8%A7%D9%84%D9%83%D8%A8%D8%B1%,apartments
24.7326774,46.6660922,Farnas Furnished Apartment,apartments
24.7809577,46.7071587,%D8%B1%D8%AC%D8%A7%D8%AF %D9%84%D9%84%D9%88%D8%AD%,apartments
24.7504409,46.7509648,Manazilna Apartments Riyadh,apartments
24.7631723,46.6117488,Luxury Park,apartments
24.6651317,46.7027201,E-Hotel Riyadh,apartments
24.6763187,46.7009309,Almather Housing Complex,apartments
24.7518692,46.6701952,Merfal Monthly Apartments,apartments
24.785579,46.7357643,%D8%B1%D8%A7%D8%AD%D8%AA%D9%89 %D9%87%D9%88%D9%85 ,apartments
24.7217935,46.8114193,Riyadh properties Apartment,apartments
24.7034831,46.7136275,Roof Garden Compound,apartments
24.7514935,46.6699245,Al Muruj Hotel Apartments,apartments
24.710919,46.6775142,Array suites,apartments
24.600792,46.697682,Al Qasr Mall,shops
24.6977216,46.6836943,Centria Mall,shops
24.7360767,46.6313014,U Walk,shops
24.7118668,46.6753758,Kingdom Centre,shops
24.7371379,46.7833072,Riyadh Mall,shops
24.7400274,46.682203,Sahara Mall,shops
24.664412,46.703309,Malabar Gold and Diamonds - Avenue Mall - Riyadh,shops
24.7114961,46.6765387,Rubaiyat AlOlaya St. - %D8%B1%D8%A8%D8%A7%D8%B9%D9,shops
24.8385323,46.732319,Roshn Front,shops
24.7424667,46.6580068,The Face Shop,shops
24.74385,46.656983,Splash - Riyadh Gallery Mall,shops
24.6929404,46.6709629,Panorama Mall,shops
24.74304,46.658516,Diane von Furstenberg,shops
24.7236772,46.6649343,Royal Mall,shops
24.7582749,46.6299714,Carrefour Riyadh Park,shops
24.7127755,46.6837364,%D9%87%D8%AF%D8%A7%D9%8A%D8%A7 %D9%85%D9%8A%D8%B1%,shops
24.6289429,46.7121915,Souk Al Zal,shops
24.6629868,46.7035022,Riyadh Avenue Mall,shops
24.7813982,46.7301076,Granada Mall,shops
24.8413865,46.7332576,Roshn Front - Shopping Area,shops
24.7143718,46.6767119,CARVE COFFEE BAR,cafes
24.6452452,46.7010774,Best coffee,cafes
24.683796,46.7020156,Dear You,cafes
24.681526,46.6916574,First Series Coffee,cafes
24.7713919,46.720106,ADAB cafe,cafes
24.7884919,46.7332947,Andarena Cafe,cafes
24.6993244,46.6684054,%D9%86%D8%B3%D8%AA%D8%B1%D9%8A%D8%AA%D9%88 %D9%83%,cafes
24.7360284,46.6481283,KERNEL,cafes
24.6855165,46.7062272,dr.CAFE COFFEE,cafes
24.70794,46.7116967,versai cafe riyadh,cafes
24.7629547,46.6390169,Ralph%27s Coffee %28KAFD%29,cafes
24.6941888,46.6833986,IDMI COFFEE ROASTERS,cafes
24.7287734,46.6679097,Latitude 24,cafes
24.7553626,46.7075626,Knot - Yaletown,cafes
24.7342147,46.6112765,Elixir Bunn Coffee Roasters,cafes
24.6661327,46.6868778,Elemont cafe,cafes
24.7512639,46.6707557,9th Street Coffee Roasters,cafes
24.6957467,46.6843262,Ch%C3%A8rie,cafes
24.7257824,46.6435797,Social Cafe %26 Roastery,cafes
24.7118894,46.6745525,%D8%AC%D9%88%D9%84%D8%AA JOLT%E2%80%AD,cafes
24.771959,46.668189,Cenomi Tala Mall,malls
24.600792,46.697682,Al Qasr Mall,malls
24.6977216,46.6836943,Centria Mall,malls
24.7118668,46.6753758,Kingdom Centre,malls
24.7371379,46.7833072,Riyadh Mall,malls
24.785664,46.6343605,Arriyadh Gate,malls
24.7400274,46.682203,Sahara Mall,malls
24.6856632,46.7754282,Othaim Mall,malls
24.6916755,46.7059446,City wonders,malls
24.6929404,46.6709629,Panorama Mall,malls
24.7236772,46.6649343,Royal Mall,malls
24.7535047,46.5835,Thaghr Plaza,malls
24.695957,46.728578,Cenomi The View Mall,malls
24.8273124,46.7276293,Park Avenue Mall,malls
24.6629868,46.7035022,Riyadh Avenue Mall,malls
24.7813982,46.7301076,Granada Mall,malls
24.8413865,46.7332576,Roshn Front - Shopping Area,malls
24.6929931,46.8084868,sky mall,malls
24.7376333,46.796766,%D8%AE%D8%B1%D9%8A%D8%B5 %D9%85%D9%88%D9%84%E2%80%,malls
24.6743159,46.6683804,Arcadia Square,malls
24.6671392,46.6252019,Scott%27s,restaurants
24.6904438,46.6840971,La Brasserie %D9%84%D8%A7%D8%A8%D8%B1%D8%A7%D8%B3%,restaurants
24.6977201,46.6863305,Vidro %7C %DA%A8%D9%8A%D8%AF%D8%B1%D9%88%E2%80%AD,restaurants
24.7065098,46.6774133,The Med Restaurant - Cantonal Hotel by Warwick Riy,restaurants
24.6962747,46.7293794,Zafran Indian Kitchen - The View Mall,restaurants
24.6653654,46.6310103,Al Orjouan,restaurants
24.7925578,46.6321393,JW Glass Garden,restaurants
24.6667314,46.6253258,Gymkhana,restaurants
24.7038642,46.7061858,KAYZ%C5%8C,restaurants
24.7426129,46.7046987,Najd Village,restaurants
24.6667731,46.6264881,Les Deux Magots,restaurants
24.6896047,46.7175263,Silk Road Restaurant,restaurants
24.6978109,46.6835542,Yokari,restaurants
24.690014,46.6864312,Yauatcha Riyadh,restaurants
24.7037615,46.7021494,Karam Beirut Restaurant - Riyadh Tahlia Street,restaurants
24.6978193,46.6834524,Lusin Restaurant,restaurants
24.7043124,46.705969,Beefbar,restaurants
24.7502856,46.6140988,Sultan%27s Steakhouse Riyadh,restaurants
24.75628,46.656871,%D8%A8%D9%8A%D8%AA %D8%A7%D9%84%D8%B4%D8%A7%D9%88%,restaurants
24.6999984,46.7048876,MYAZU Riyadh,restaurants
24.7320113,46.6728896,SASCO,gas stations
24.7083125,46.6733125,Aldrees,gas stations
24.669543,46.7064243,Aldrees,gas stations
24.7959269,46.7785431,Aldrees,gas stations
24.7149167,46.6599736,SASCO,gas stations
24.781505,46.7066182,Aldrees,gas stations
24.7084485,46.6870509,Aldrees,gas stations
24.7102526,46.6668744,R001-Liter Gas Station %7C %D9%85%D8%AD%D8%B7%D8%A,gas stations
24.7248097,46.6532726,Aldrees,gas stations
24.6671073,46.7010741,Aldrees,gas stations
24.6882888,46.6875219,SASCO,gas stations
24.7796184,46.7638075,Aldrees,gas stations
24.8466487,46.7337531,SASCO,gas stations
24.6755123,46.6672182,Mosam Petrol Station,gas stations
