Name,Subtype,Latitude,Longitude
البنك الاهلي,bank,24.705852,46.687774
البنك الأهلي السعودي,bank,24.730656,46.788479
Unnamed,bank,24.707821,46.686793
SABB,bank,24.699294,46.68975
البنك السعودي الفرنسي,bank,24.711986,46.696544
Inmaa Bank,atm,24.717407,46.681231
Unnamed,atm,24.713819,46.675355
Unnamed,bank,24.719501,46.672501
Al Rajhi,atm,24.710758,46.693449
Riyad Bank,bank,24.71061,46.692766
Unnamed,bank,24.768124,46.759369
Al Rajhi ATM,atm,24.708265,46.686938
Unnamed,atm,24.700565,46.678263
Riyad Bank,bank,24.724837,46.779142
NCB,bank,24.725345,46.779967
بنك الرياض,atm,24.737438,46.797257
Unnamed,bank,24.737292,46.797198
Unnamed,atm,24.737336,46.797455
الجزيرة,atm,24.585599,46.68352
Alrajhi,atm,24.586391,46.680116
الاهلي,atm,24.585525,46.685399
SABB Bank,bank,24.722741,46.776026
Unnamed,atm,24.75272,46.743084
البنك السعودي الفرنسي,bank,24.747484,46.711968
Al Rahji Banmk,bank,24.70464,46.746708
Riyad Bank,bank,24.725405,46.755451
Unnamed,bank,24.800147,46.738501
Unnamed,bank,24.576215,46.86183
Unnamed,bank,24.578039,46.862667
Al Araby Bank ATM,atm,24.686153,46.689245
Unnamed,atm,24.747358,46.8155
Unnamed,atm,24.752142,46.818987
مصرف الراجحي,atm,24.58739,46.667641
Riyadh bank,bank,24.684948,46.725242
البنك العربي الوطني,atm,24.670785,46.730252
Unnamed,atm,24.699906,46.779888
Unnamed,atm,24.704548,46.782505
Al Rajhi Bank,bank,24.768743,46.711816
Al-Rajhi Bank,bank,24.56708,46.838077
Unnamed,atm,24.568056,46.83628
Unnamed,atm,24.568797,46.837825
HSBC,atm,24.560764,46.849012
Saudi Hollandi Bank,bank,24.706109,46.678412
صراف البنك الاول,bank,24.649808,46.711815
ATM,atm,24.640242,46.718019
صراف البنك الاهلي,atm,24.651673,46.707243
Unnamed,bank,24.827491,46.769367
ساب,bank,24.805449,46.781371
Unnamed,atm,24.795698,46.797622
Unnamed,atm,24.704671,46.702788
Unnamed,atm,24.708255,46.707649
alrajhy bank بنك الراجحي,bank,24.713995,46.63389
مصرف الراجحي,bank,24.735494,46.846202
Unnamed,atm,24.658553,46.705163
Unnamed,atm,24.572386,46.78109
Unnamed,atm,24.584786,46.780184
Unnamed,atm,24.575764,46.779483
مصرف الراجحي,bank,24.601662,46.749059
Unnamed,atm,24.652498,46.704279
البنك السعودي الفرنسي,bank,24.8033,46.793886
البنك الأهلي,bank,24.803485,46.794363
الصناعية,bank,24.710431,46.84706
بنك الرياض,bank,24.649496,46.714757
Unnamed,atm,24.707896,46.812458
Unnamed,atm,24.620597,46.73364
بنك الاهلي,bank,24.772526,46.7791
Unnamed,atm,24.758747,46.776019
Unnamed,atm,24.669549,46.750786
Unnamed,atm,24.658921,46.711988
Enjaz Bank / Western Union Money Transfer,bank,24.744947,46.678506
بنك الانماء,bank,24.765704,46.706735
Unnamed,atm,24.780865,46.710885
الاستثمار,bank,24.747989,46.786362
صراف الأهلي,bank,24.585674,46.692022
Unnamed,atm,24.643564,46.56156
Unnamed,atm,24.620072,46.750616
Unnamed,atm,24.622429,46.747203
الريست,bank,24.698707,46.722601
مصرف الراجحي,bank,24.697523,46.780835
ساب,bank,24.697733,46.781233
Unnamed,atm,24.704578,46.781655
مصرف الراجحي,bank,24.688977,46.733378
البنك السعودي الفرنسي,bank,24.678879,46.706844
Saudi Francis,bank,24.646618,46.832598
Unnamed,atm,24.599236,46.616318
Unnamed,atm,24.664818,46.842147
انجاز,bank,24.652724,46.816447
Unnamed,atm,24.625053,46.541766
البنك العربي,bank,24.662351,46.703679
مصرف الراجحي,bank,24.728617,46.836625
Unnamed,atm,24.596358,46.79812
Unnamed,atm,24.643059,46.778098
Unnamed,atm,24.579391,46.788403
ساب - الغدير,bank,24.779022,46.663209
بنك الراجحي,bank,24.784045,46.635237
Arab National Bank,atm,24.673716,46.711706
البنك العربي الوطني,bank,24.583112,46.59496
SABB Bank,bank,24.751314,46.819779
البنك السعودي للاستثمار,atm,24.652713,46.702373
Unnamed,atm,24.640906,46.719151
البنك الأهلي التجاري,bank,24.659483,46.723173
Unnamed,atm,24.816205,46.774141
Unnamed,atm,24.763173,46.777535
مصرف الراجحي,bank,24.762491,46.76272
Carrefour,bank,24.782508,46.730733
بنك انجاز,bank,24.615921,46.736476
Unnamed,bank,24.845112,46.829897
Unnamed,atm,24.84503,46.829902
بنك الراجحي,bank,24.687143,46.84681
Unnamed,atm,24.689749,46.852449
Unnamed,atm,24.689038,46.852044
Unnamed,atm,24.690469,46.854996
Unnamed,atm,24.680949,46.85578
بنك الجزيرة,atm,24.851025,46.649699
Unnamed,atm,24.7017,46.802726
بنك الانماء,bank,24.604303,46.704564
Unnamed,atm,24.608683,46.719484
Unnamed,atm,24.815997,46.774105
Unnamed,atm,24.693044,46.847404
Unnamed,bank,24.655589,46.512323
شاورما كلاسك,bank,24.764678,46.802045
Unnamed,bank,24.727092,46.839985
البنك الأهلي السعودي,atm,24.676494,46.677557
Unnamed,atm,24.752118,46.826782
Unnamed,atm,24.759121,46.669107
Unnamed,atm,24.798945,46.713682
Unnamed,atm,24.703193,46.779445
Unnamed,atm,24.765613,46.753055
Unnamed,bank,24.782639,46.792249
Unnamed,atm,24.599515,46.75486
Unnamed,atm,24.591826,46.758929
Unnamed,atm,24.679216,46.823296
Unnamed,atm,24.96146,46.702408
Unnamed,atm,24.961224,46.702983
Unnamed,atm,24.960767,46.702692
Unnamed,atm,24.96352,46.701047
Unnamed,atm,24.964037,46.700656
بنك دويتشة,bank,24.755259,46.65057
بنك الرياض,bank,24.804155,46.694069
Unnamed,atm,24.768783,46.712122
Unnamed,atm,24.760297,46.717126
مصرف الراجحي,bank,24.786582,46.638471
Bank Albilad,bank,24.69226,46.604405
AlAhli NCB Bank,bank,24.692806,46.605823
Unnamed,atm,24.798076,46.797056
Unnamed,atm,24.708109,46.777336
Unnamed,atm,24.588268,46.742258
بنك ساب SABB,bank,24.597883,46.684602
بنك الراجحي,bank,24.596947,46.682973
Unnamed,atm,24.791947,46.878818
Unnamed,atm,24.73604,46.598982
الفرع الاالي,bank,24.707773,46.68678
Unnamed,atm,24.977408,46.581907
Unnamed,atm,24.755779,46.651752
Unnamed,atm,24.790839,46.877454
Unnamed,bank,24.87303,46.823341
مصرف الإنماء,atm,24.692111,46.723907
مصرف الراجحي,bank,24.653606,46.734906
بنك الاستثمار,bank,24.728461,46.836733
البنك الأهلي التجاري,atm,24.598961,46.616895
Unnamed,atm,24.605364,46.612259
مصرف الراجحي,atm,24.586753,46.625339
Unnamed,atm,24.546493,46.665627
Unnamed,atm,24.548891,46.667669
Unnamed,atm,24.553127,46.672358
Unnamed,atm,24.555413,46.674379
Unnamed,atm,24.584558,46.547238
Unnamed,atm,24.58539,46.557585
البنك الأهلي التجاري,atm,24.590181,46.596353
مصرف الراجحي,atm,24.587072,46.598166
مصرف الراجحي,atm,24.607645,46.626037
مصرف الراجحي,atm,24.60767,46.625976
Unnamed,atm,24.572868,46.611007
Unnamed,atm,24.582419,46.588011
Unnamed,atm,24.653422,46.574924
Unnamed,atm,24.574485,46.539423
Saudi British Bank,atm,24.737378,46.575258
مصرف الانماء,bank,24.551027,46.697944
Unnamed,atm,24.661546,46.786655
Unnamed,atm,24.745511,46.679825
Unnamed,atm,24.734832,46.696846
Unnamed,atm,24.734286,46.697238
ATM,atm,24.689381,46.765184
صراف الإنماء,atm,24.687841,46.765161
صرافة البنك الأهلي,atm,24.771282,46.780506
مصرف الإنماء,atm,24.896513,46.908184
Unnamed,atm,24.698465,46.774373
صراف,atm,25.0754,46.7127
Unnamed,bank,24.649278,46.556841
صراف الإنماء,bank,24.815,46.8098
Unnamed,atm,24.813859,46.631828
بنك البلاد,bank,24.818642,46.643337
Unnamed,atm,24.815306,46.645137
رطاب الوطن للتمور,atm,24.811686,46.646237
مصرف الراجحي,bank,24.797941,46.639007
مجمع توكير الطبي,atm,24.796649,46.638331
صراف الإنماء,atm,24.798025,46.641442
البنك السعودي الفرنسي,bank,24.799179,46.644563
البنك الأول,atm,24.79789,46.651352
صراف بنك الجزيرة,atm,24.779194,46.770367
مصرف الإنماء,bank,24.815162,46.688518
البنك السعودي البريطاني,atm,24.692252,46.732473
البنك السعودي البريطاني,bank,24.692349,46.73244
البنك الأهلي السعودي,atm,24.6756,46.676893
Unnamed,atm,24.78258,46.636849
مصرف الراجحي,atm,24.595693,46.619349
Unnamed,atm,24.677708,46.708063
بنك الرياض,atm,24.857212,46.624809
بنك الرياض,atm,24.860284,46.720519
بنك الرياض,atm,24.854922,46.718752
بنك الرياض,atm,24.842191,46.721681
بنك الرياض,atm,24.807887,46.664876
بنك الرياض,atm,24.790462,46.65769
بنك الراجحي,bank,24.805071,46.738169
مصرف الإنماء,atm,24.83997,46.74736
مصرف الإنماء,atm,24.840019,46.747347
مصرف الراجحي,atm,24.747939,46.654378
البنك الأهلي السعودي,atm,24.719214,46.625831
Unnamed,atm,24.791711,46.65181
Unnamed,atm,24.846052,46.75921
البنك السعودي للاستثمار,atm,24.781682,46.742839
البنك السعودي للاستثمار,atm,24.780113,46.738892
البنك السعودي للاستثمار,bank,24.780138,46.73856
البنك العربي الوطني,atm,24.782377,46.744544
صراف ساب SABB,bank,24.801509,46.729788
صراف البنك الاهلي SNB,bank,24.800756,46.730147
Unnamed,atm,24.790038,46.648458
Unnamed,atm,24.789042,46.647955
Al Jazira Bank,bank,24.791251,46.648112
الأهلي SNB,bank,24.747281,46.709029
بنك البلاد,bank,24.676698,46.688067
Unnamed,atm,24.827405,46.735533
Saudi National Bank,atm,24.769025,46.605204
Saudi National Bank,atm,24.767469,46.604425
Unnamed,atm,24.639241,46.715089
Unnamed,atm,24.840852,46.733443
Saudi National Bank,atm,24.764145,46.604152
Saudi National Bank,atm,24.769197,46.604135
Unnamed,bank,24.614121,46.675473
البنك الاهلي السعودي,bank,24.618809,46.676277
Saudi National Bank,atm,24.710105,46.669058
Saudi British Bank,atm,24.70349,46.666428
Saudi National Bank,atm,24.833397,46.650953
صراف الأهلي,atm,24.657992,46.710376
Unnamed,atm,24.750976,46.669549
Unnamed,atm,24.758557,46.663452
الراجحي صراف آلي,atm,24.754856,46.665615
Alrajhi ATM,atm,24.780348,46.61946
Unnamed,bank,24.805101,46.704097
بنك البلاد,bank,24.747623,46.816267
Unnamed,bank,24.827451,46.76924
بنك الجزيرة,bank,24.673948,46.668775
بنك الرياض,bank,24.576137,46.606526
بنك سامبا,bank,24.574552,46.608457
البنك الفرنسي,bank,24.57294,46.610952
Riyadh ATM,atm,24.69814,46.821253
بنك الراجحي,bank,24.58651,46.777968
البنك الأول,bank,24.682088,46.625055
مصرف الإنماء,bank,24.587881,46.76105
Riyad Bank ATM,bank,24.742315,46.580412
Unnamed,bank,24.7483,46.571455
بنك الرياض,bank,24.790317,46.657419
بنك الراجحي,bank,24.764412,46.749166
البنك الأهلي التجاري,bank,24.763667,46.747239
البنك العربي الوطني,bank,24.782645,46.74447
البنك السعودي البريطاني,bank,24.822717,46.617382
مصرف الإنماء,bank,24.779481,46.663026
البنك السعودي الفرنسي,bank,24.778232,46.663604
