Name,Subtype,Latitude,Longitude
Kudu,restaurant,24.690493,46.723218
Firdays,restaurant,24.76759,46.759759
KFC/Hardys,fast_food,24.767219,46.759029
Roma Cafe,cafe,24.701609,46.691538
KFC,fast_food,24.7118,46.696967
Unnamed,cafe,24.737214,46.782868
Unnamed,fast_food,24.737019,46.782996
% Arabica,cafe,24.734391,46.794451
Shiraz Restaurant (Iranian),restaurant,24.701476,46.691674
Unnamed,restaurant,24.699672,46.69249
Unnamed,fast_food,24.699565,46.692297
Unnamed,cafe,24.702651,46.697639
Hardees,fast_food,24.711722,46.697005
Al Mansaf,restaurant,24.711061,46.697789
Shawerma House,restaurant,24.708559,46.687474
ماكدونالدز,fast_food,24.713267,46.673503
Coffee hill cafe,cafe,24.724604,46.68186
Unnamed,fast_food,24.690026,46.686384
Kudu,restaurant,24.689841,46.686448
Urth Caffe,cafe,24.689646,46.686309
Hashim Restaurant,restaurant,24.706236,46.699387
ماكدونالدز,fast_food,24.696811,46.703743
Unnamed,restaurant,24.707201,46.690171
Wooden Bakery,restaurant,24.694013,46.722645
Krispy Kreme,cafe,24.737534,46.797695
Burger King,fast_food,24.73732,46.797351
Unnamed,restaurant,24.737729,46.797609
Krispy Creme,cafe,24.723316,46.774821
Kudu,fast_food,24.710519,46.693732
مطعم باب توما,restaurant,24.710645,46.693098
Burger King,fast_food,24.72976,46.787305
بيتزا هت,fast_food,24.732906,46.677955
Unnamed,restaurant,24.698902,46.68863
Roma Restaurant,restaurant,24.703405,46.682054
بيتزا هت,restaurant,24.705228,46.685498
Makani,restaurant,24.709955,46.691162
Lebanon Al Kabeer,restaurant,24.710442,46.692439
Indonesian,restaurant,24.709896,46.690991
Unnamed,cafe,24.695071,46.682365
The Pizza Company,restaurant,24.702657,46.679982
Chinese Golden Palace,restaurant,24.703473,46.681378
Gulf Royal Chinese Restaurant,restaurant,24.702889,46.681163
Unnamed,restaurant,24.695022,46.682182
Starbucks,cafe,24.693078,46.694869
Unnamed,restaurant,24.700267,46.691645
Urth Caffe,cafe,24.692205,46.670906
مقهى التحلية,cafe,24.70255,46.697356
Unnamed,restaurant,24.702391,46.69687
Kudu,fast_food,24.692001,46.671003
Unnamed,restaurant,24.691786,46.670885
Steak House,restaurant,24.693744,46.697707
Unnamed,cafe,24.698432,46.689382
Unnamed,restaurant,24.697672,46.68759
Unnamed,restaurant,24.698383,46.687386
Chinese restaurant,restaurant,24.694133,46.685273
Pizza Hut,restaurant,24.687817,46.687805
Unnamed,restaurant,24.665667,46.699821
Unnamed,restaurant,24.655254,46.744045
Unnamed,restaurant,24.694523,46.732211
McDonald's,fast_food,24.68678,46.733841
د.كيف,cafe,24.692621,46.732495
Al Rabe'a,restaurant,24.69752,46.780503
Al Yamamah Restaurant,restaurant,24.715966,46.791818
Krispy Kreme,fast_food,24.767607,46.759626
Seatle's Best,cafe,24.767218,46.755764
Donut House,cafe,24.711932,46.675148
Planet Hollywood,restaurant,24.711669,46.675223
Shanghai Express,restaurant,24.712127,46.675094
Aladdin,restaurant,24.711776,46.67504
