Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
OnlineenilnO,office,company,24.6811704,46.6295854,,Diplomatic Quarter Alfazary Suite Unit 66,,http://onlineenilno.com/,,
Crowne Plaza Riyadh Palace,tourism,hotel,24.6646109,46.7117319,,Prince Abdul Rahman Bin Abdul Aziz St.,+966 114-054-444,https://www.ihg.com/crowneplaza/hotels/us/en/riyadh/ruhrp/hoteldetail,,IHG
Unnamed,amenity,parking,24.6729921,46.7029441,,,,,,
Kudu,amenity,restaurant,24.6904926,46.7232179,,,,,,
Unnamed,amenity,parking_space,24.7071075,46.674746,,,,,,
Unnamed,amenity,checkpoint,24.4534265,46.9894828,,,,,,
Unnamed,amenity,parking,24.9414776,46.649317,,,,,,
Unnamed,amenity,parking,24.9386058,46.6472485,,,,,,
Unnamed,amenity,parking,24.9390338,46.648081,,,,,,
Unnamed,amenity,parking,24.9408161,46.6488792,,,,,,
Unnamed,amenity,place_of_worship,24.9400144,46.6472055,,,,,,
تمیمي,shop,supermarket,24.7368857,46.6839908,,,,,,
Unnamed,amenity,place_of_worship,24.6271429,46.7138083,,,,,,
Unnamed,amenity,place_of_worship,24.6290502,46.7134008,,,,,,
Unnamed,amenity,place_of_worship,24.6294714,46.7148484,,,,,,
AlSadhan,shop,supermarket,24.7542175,46.770169,,,,,,
بنده الحمراء,shop,supermarket,24.7680961,46.7575916,,,,,,
Firdays,amenity,restaurant,24.7675896,46.7597589,,,,,,
KFC/Hardys,amenity,fast_food,24.7672194,46.7590293,,,,,,
Unnamed,amenity,parking,24.6480637,46.7311751,,,,,,
Unnamed,amenity,parking_entrance,24.9564961,46.702364,,,,,,
Unnamed,amenity,parking_entrance,24.9564339,46.7023994,,,,,,
Unnamed,amenity,parking_entrance,24.9605035,46.6998347,,,,,,
Unnamed,amenity,parking_entrance,24.96077,46.6996827,,,,,,
Unnamed,amenity,parking_entrance,24.9608364,46.6996415,,,,,,
Unnamed,amenity,parking_entrance,24.9610682,46.6994829,,,,,,
Unnamed,amenity,parking_entrance,24.9561973,46.7025811,,,,,,
Unnamed,amenity,parking_entrance,24.9567636,46.7022112,,,,,,
Jarir Bookstore,shop,books,24.7017967,46.6807661,,,,www.jarirbookstore.com,,
Al Yemni Service Center,shop,car_repair,24.708353,46.7107249,,,,,,
Red Cap,shop,car_parts,24.7085688,46.7075894,,,,,,
Roma Cafe,amenity,cafe,24.7016088,46.6915377,,,,,,
jazeera supermarket,shop,supermarket,24.705956,46.6883297,اسواق الجزيرة,,,,,
Al Sadhan Hypermarket,shop,supermarket,24.7076873,46.6899131,,Mousa Bin Nusair Street,,,,
KFC,amenity,fast_food,24.7118004,46.6969673,,,,,,KFC
Carrefour,shop,supermarket,24.713113,46.6727167,,,,,,Carrefour
البنك الاهلي,amenity,bank,24.7058522,46.6877737,البنك الاهلي,,,,,
بنده,shop,supermarket,24.7198624,46.6904451,بنده,,,,,بنده
Al Muhsen Station,amenity,fuel,24.7342226,46.794444,,,,,,
Al Manar Mosque,amenity,place_of_worship,24.7302712,46.7949925,,,,,,
Unnamed,amenity,pharmacy,24.7276596,46.7922566,,,,,,
Unnamed,shop,supermarket,24.7254766,46.7965374,,,,,,
Al Manar Police Station,amenity,police,24.7189764,46.8005929,,,,,,
Unnamed,amenity,school,24.7218941,46.7914221,,,,,,
Unnamed,amenity,fuel,24.723658,46.7971406,,,,,,
Unnamed,shop,supermarket,24.7262803,46.7970166,,,,,,
Unnamed,shop,supermarket,24.7341154,46.7945513,,,,,,
Unnamed,shop,supermarket,24.7293015,46.79037,,,,,,
Indian International School,amenity,school,24.7224116,46.7731502,,,,,,
Carrefour Hypermarket,shop,supermarket,24.7238199,46.7752209,,,,,,
SACO Store,shop,convenience,24.7295516,46.7840286,,,,,,
نفط,amenity,fuel,24.7305293,46.7884466,,,,,,نفط
Meed,shop,supermarket,24.7305781,46.788629,,,,,,
البنك الأهلي السعودي,amenity,bank,24.730656,46.7884788,البنك الأهلي السعودي,,,,,البنك الأهلي السعودي
Unnamed,shop,supermarket,24.7374188,46.7828032,,,,,,
Unnamed,amenity,cafe,24.7372141,46.7828676,,,,,,
Unnamed,amenity,fast_food,24.7370192,46.7829964,,,,,,
Unnamed,amenity,taxi,24.7375844,46.7825136,,,,,,
Unnamed,shop,supermarket,24.7240122,46.7976158,,,,,,
المدارس السعودية (بنات),amenity,school,24.7295377,46.7879813,,,,,,
% Arabica,amenity,cafe,24.7343906,46.7944508,,Khurais Road,,,,% Arabica
Shiraz Restaurant (Iranian),amenity,restaurant,24.7014755,46.6916745,,,,,,
Unnamed,amenity,restaurant,24.6996722,46.6924899,,,,,,
Unnamed,amenity,fast_food,24.699565,46.6922968,,,,,,
Unnamed,amenity,fuel,24.7084055,46.6870396,,,,,,
Four Seasons Hotel,tourism,hotel,24.711037,46.6733604,,,,,,
Al Rajhi Mosque,amenity,place_of_worship,24.7071458,46.6871281,,,,,,
