Name,Subtype,Latitude,Longitude
Al Yemni Service Center,car_repair,24.708353,46.710725
Al Muhsen Station,fuel,24.734223,46.794444
Unnamed,fuel,24.723658,46.797141
نفط,fuel,24.730529,46.788447
Unnamed,fuel,24.708406,46.68704
Al Daleel Station,fuel,24.691334,46.718527
Unnamed,car_wash,24.691632,46.71841
Unnamed,car_repair,24.691398,46.718688
Diplomat Rent A Car,car_rental,24.733851,46.794047
زيتي,fuel,24.657035,46.735522
Unnamed,car_rental,24.705472,46.717385
Unnamed,fuel,24.688207,46.687386
Unnamed,fuel,24.669528,46.706473
Unnamed,fuel,24.667168,46.701044
Al Hamrani Nissan,car,24.687777,46.733421
Nift,fuel,24.690398,46.688368
الدريس,fuel,24.771309,46.780665
Unnamed,fuel,24.759716,46.788336
Unnamed,fuel,24.757183,46.790278
Unnamed,fuel,24.74746,46.797445
المفتاح,car_rental,24.727699,46.689261
Unnamed,fuel,24.694159,46.701866
Unnamed,car_wash,24.723573,46.797314
الدريس,fuel,24.658108,46.73575
Mercedes Center,car_repair,24.708455,46.686434
Car wash Center,car_wash,24.708811,46.686782
Samaco Agency,car,24.697758,46.687769
Club Car,car,24.700039,46.691423
Unnamed,car,24.719186,46.772168
Unnamed,car_wash,24.734232,46.79472
Unnamed,car,24.733735,46.793379
Al Hamrany Auto Dealer - Nissan,car,24.719215,46.770086
KIA motors,car,24.733277,46.792595
Unnamed,car,24.702017,46.695076
Unnamed,fuel,24.76395,46.785123
Unnamed,car,24.740162,46.801854
Jeep - Chrysler - Dodge,car,24.740668,46.802675
السعدي,fuel,24.585462,46.685249
Unnamed,fuel,24.584102,46.690786
سهل,fuel,24.760293,46.834322
Unnamed,car,24.727119,46.783196
Gulf,fuel,24.705134,46.747476
Sasco Gas Station,fuel,24.742664,46.752469
Unnamed,fuel,24.736686,46.751181
Unnamed,fuel,24.732999,46.753003
Unnamed,fuel,24.752741,46.743176
Unnamed,fuel,24.854633,46.866001
أدنوك,fuel,24.896487,46.907741
Unnamed,car,24.697711,46.734198
Unnamed,car,24.70414,46.744309
Theeb Rent-a-Car,car_rental,24.721112,46.759099
Unnamed,car,24.746777,46.746209
Carwah Rent-a-Car,car_rental,24.705349,46.74779
Unnamed,car_rental,24.699517,46.737289
Unnamed,fuel,24.693607,46.721769
Unnamed,car,24.697832,46.734377
Unnamed,fuel,24.6933,46.724038
بدجت لتأجير السيارات,car_rental,24.749273,46.744993
Hertz Car Rental,car_rental,24.698788,46.735934
Sara Rentacar,car_rental,24.700211,46.738342
Harley Davidson,car,24.772995,46.677308
Gas station,car_repair,24.74988,46.820456
