latitude,longitude,name,category,district
24.7929595,46.6327482,Kitchen On 3,Restaurant,District
24.7021245,46.6479251,The Villa Restaurant,Thai restaurant,PJ2X+R5V
24.7288726,46.6679674,Le Petit Chef - Riyadh,Restaurant,King Abdullah Ibn Abdulaziz Road
24.6739114,46.623539,Nomas,Fine dining restaurant,Abdullah Alsahmi St
24.7013125,46.6763125,Swiss Butter,Restaurant,PM2G+GG3 Century Corner
24.6653654,46.6310103,Al Orjouan,Buffet restaurant,Al Hada Area، طريق مكة المكرمة
24.6671392,46.6252019,Scott's,Seafood restaurant,MJ8G+GM، الطابق العلوي
24.7022789,46.6982272,Goodies Selections - Tahlia Riyadh,Lebanese restaurant,6719 حي
24.702319,46.651586,Shiro,Japanese restaurant,Near King Khaled Mosque، Al Urubah Road
24.6978109,46.6835542,Yokari,Japanese restaurant,Olaya St
24.7830858,46.6516956,L'ami Dave,French restaurant,Ar Rabi
24.7527016,46.6249654,Gold Sushi Club,Japanese restaurant,4228 Northern Ring Br Rd
24.7009306,46.675922,V Restaurant KSA,Italian restaurant,Musa Ibn Nusair St
24.7107782,46.6677711,Saolah Restaurant,Restaurant,DISTRICT
24.732127,46.648933,RUHI Indian Cuisine,Indian restaurant,The Zone
24.6898068,46.6851121,The Globe ذا غلوب,European restaurant,King Fahd Rd
24.690014,46.6864312,Yauatcha Riyadh,Chinese restaurant,Prince Sultan Bin Abdulaziz Rd
24.7059626,46.7065493,Mekan Lounge By Rüya,Turkish restaurant,1224 Prince Muhammad Ibn Abd Al Aziz
24.6916263,46.7018848,Mama Noura,Middle Eastern restaurant,prince faisal
24.7038642,46.7061858,KAYZŌ,Japanese restaurant,2752 Prince Musaid bin Abdulaziz bin Jalawi Street
