latitude,longitude,name,category,rating,address,phone,url
24.7929595,46.6327482,Kitchen On 3,Restaurant,4.7,"District, King Fahad Road, Sahafah, Riyadh 13315, Saudi Arabia",+966 11 511 7890,https://www.google.com/maps/place/Kitchen+On+3/data=!4m7!3m6!1s0x3e2ee3e973dee5c7:0xf8aa01a2904b5064!8m2!3d24.7929595!4d46.6327482!16s%2Fg%2F11sb866rcc!19sChIJx-Xec-njLj4RZFBLkKIBqvg?authuser=0&hl=en&rclk=1
24.7021245,46.6479251,The Villa Restaurant,Thai restaurant,4.1,"PJ2X+R5V, Al Fustuq, Al Raed, Riyadh 12351, Saudi Arabia",+966 11 482 2749,https://www.google.com/maps/place/The+Villa+Restaurant/data=!4m7!3m6!1s0x3e2f1d193a378927:0xc6f595c3219de724!8m2!3d24.7021245!4d46.6479251!16s%2Fg%2F11clyh0cg1!19sChIJJ4k3OhkdLz4RJOedIcOV9cY?authuser=0&hl=en&rclk=1
24.7288726,46.6679674,Le Petit Chef - Riyadh,Restaurant,4.4,"King Abdullah Ibn Abdulaziz Road, Le Meridien Riyadh, Riyadh 11544, Saudi Arabia",+966 11 826 6666,https://www.google.com/maps/place/Le+Petit+Chef+-+Riyadh/data=!4m7!3m6!1s0x3e2f1ddab9739955:0xf714ccf1edc0d12f!8m2!3d24.7288726!4d46.6679674!16s%2Fg%2F11q9893n5t!19sChIJVZlzudodLz4RL9HA7fHMFPc?authuser=0&hl=en&rclk=1
24.6739114,46.623539,Nomas,Fine dining restaurant,4.9,"Abdullah Alsahmi St, Al Safarat, Riyadh 12511, Saudi Arabia",+966 50 325 9990,https://www.google.com/maps/place/Nomas/data=!4m7!3m6!1s0x3e2f1da9f379ec4b:0x1adbf3e15e9984ae!8m2!3d24.6739114!4d46.623539!16s%2Fg%2F11xky1s6dm!19sChIJS-x586kdLz4RroSZXuHz2xo?authuser=0&hl=en&rclk=1
24.7013125,46.6763125,Swiss Butter,Restaurant,4.3,"PM2G+GG3 Century Corner, Al Olaya, Riyadh 12331, Saudi Arabia",+966 53 339 0630,https://www.google.com/maps/place/Swiss+Butter/data=!4m7!3m6!1s0x3e2f036b608c0b01:0xc14ba92e8652d271!8m2!3d24.7013125!4d46.6763125!16s%2Fg%2F11s468c3pk!19sChIJAQuMYGsDLz4RcdJShi6pS8E?authuser=0&hl=en&rclk=1
24.6653654,46.6310103,Al Orjouan,Buffet restaurant,4.1,"Al Hada Area، طريق مكة المكرمة, Al Hada, Riyadh 11493, Saudi Arabia",,https://www.google.com/maps/place/Al+Orjouan/data=!4m7!3m6!1s0x3e2f1c623d7139b9:0xa1b8bc81e4082312!8m2!3d24.6653654!4d46.6310103!16s%2Fg%2F11b781gd62!19sChIJuTlxPWIcLz4REiMI5IG8uKE?authuser=0&hl=en&rclk=1
24.6671392,46.6252019,Scott's,Seafood restaurant,4.7,"MJ8G+GM، الطابق العلوي, Al Hada، حي, Makkah Al Mukarramah Rd, Al Hada، ڤيا, Riyadh 12912, Saudi Arabia",+966 9200 01819,https://www.google.com/maps/place/Scott%27s/data=!4m7!3m6!1s0x3e2f1c66de884e37:0xcf83baeb5cf075f4!8m2!3d24.6671392!4d46.6252019!16s%2Fg%2F11rkj1hsqx!19sChIJN06I3mYcLz4R9HXwXOu6g88?authuser=0&hl=en&rclk=1
24.7022789,46.6982272,Goodies Selections - Tahlia Riyadh,Lebanese restaurant,4.3,"6719 حي, As Sulimaniyah، 4292 طريق الأمير محمد بن عبدالعزيز, Riyadh 12242, Saudi Arabia",+966 53 600 1088,https://www.google.com/maps/place/Goodies+Selections+-+Tahlia+Riyadh/data=!4m7!3m6!1s0x3e2f0311b2c3e94d:0x79fe42f6e116fe6d!8m2!3d24.7022789!4d46.6982272!16s%2Fg%2F11g6xqvzp1!19sChIJTenDshEDLz4Rbf4W4fZC_nk?authuser=0&hl=en&rclk=1
24.702319,46.651586,Shiro,Japanese restaurant,4.4,"Near King Khaled Mosque، Al Urubah Road, Riyadh Saudi Arabia",+966 11 417 9111,https://www.google.com/maps/place/Shiro/data=!4m7!3m6!1s0x3e2f1d18a99b6c21:0x1bd0e683d854bbc0!8m2!3d24.702319!4d46.651586!16s%2Fg%2F11c5rvb_kn!19sChIJIWybqRgdLz4RwLtU2IPm0Bs?authuser=0&hl=en&rclk=1
24.6978109,46.6835542,Yokari,Japanese restaurant,4.3,"Olaya St, Al Olaya, Riyadh 12241, Saudi Arabia",+966 11 288 6999,https://www.google.com/maps/place/Yokari/data=!4m7!3m6!1s0x3e2f033b12722aa9:0x2c7815836fa5919e!8m2!3d24.6978109!4d46.6835542!16s%2Fg%2F11g816v76r!19sChIJqSpyEjsDLz4RnpGlb4MVeCw?authuser=0&hl=en&rclk=1
