Name,Subtype,Latitude,Longitude
OnlineenilnO,company,24.68117,46.629585
Al Manar Police Station,police,24.718976,46.800593
Al Sulaimaniah Police Station,police,24.706802,46.699806
Al Maathar Fire Station,fire_station,24.672567,46.692521
Al Malaz,police,24.674502,46.727148
Tahliya Fire Station,fire_station,24.705299,46.703601
Unnamed,post_office,24.647687,46.737189
الدفاع المدني بحي السفارات,fire_station,24.686144,46.628379
Wared Transport,company,24.766434,46.836243
Saudi Council of Engineers,office,24.800205,46.738678
Unnamed,fire_station,24.583244,46.864927
Malaz post office,post_office,24.670374,46.729389
SURE International Technology,company,24.747307,46.66077
Siemens Saudi Arabia,company,24.807327,46.716313
Microsoft Arabia,company,24.805772,46.71688
Sony,company,24.806003,46.71848
Alcatel,company,24.806275,46.716601
United Nations,diplomatic,24.684283,46.622272
US Ambassador's Residence,diplomatic,24.672455,46.619109
Ambassador's Residence of Yemen,diplomatic,24.678105,46.620455
Unnamed,police,24.680294,46.631954
Arab Urban Development Institute,company,24.676131,46.621637
DHL,post_office,24.673252,46.623189
Passport Office,government,24.681879,46.623999
Unnamed,post_office,24.681967,46.623851
سفارة جيبوتي,diplomatic,24.680371,46.620015
سفارة الكونغو الديمقراطية,diplomatic,24.680405,46.619554
سفارة الغابون,diplomatic,24.680852,46.624277
Embassy of Sierra Leone,diplomatic,24.676657,46.625681
شرطة الديرة,police,24.627323,46.718739
Unnamed,police,24.612729,46.732264
Unnamed,fire_station,24.599404,46.712389
Kf,post_office,24.571987,46.76779
الادارة الاقليميه لشركه العمودى(اطارات تويو و نيكسين),company,24.625719,46.740757
مؤسسه كشف تسربات المياه,company,24.652633,46.80854
OSTAR Holdings - Riyadh,company,24.699793,46.760286
Matt Royal,company,24.717071,46.682758
Unnamed,post_office,24.792739,46.805493
مؤسسة محمد عبدالله مرضاح للتجارة,company,24.640843,46.736619
"Field Epidemiology Training Program, KSA",government,24.747169,46.762328
البريد السعودي ارسال,post_office,24.638728,46.709624
مكتب التاشيرات,company,24.678541,46.654561
الادارة العامة للخدمات الطبية للقوات المسلحة,government,24.736141,46.749906
Saudi Post البريد السعودي,post_office,24.690052,46.651168
الدفاع المدني,fire_station,24.568612,46.771835
Unnamed,fire_station,24.568608,46.771804
مجموعة الفدأ,company,24.703604,46.677038
كتابة العدل الاولى بوسط الرياض,government,24.630618,46.716509
جوازات الرياض,police,24.660559,46.702402
مكتب العمل الاستقدام,government,24.800068,46.78399
وزارة الخارجية,government,24.649084,46.693311
تصديقات وزارة الخارجية,government,24.649123,46.693182
Alfanar HO,government,24.775357,46.680052
Alfanar CoE,government,24.781074,46.662012
الرئاسة العامة للبحوث العلمية والإفتاء,government,24.616114,46.705621
الشركة السعودية للكهرباء,government,24.644024,46.70483
مؤسسة الهضب للتجارة و المقاولات,government,24.799574,46.747128
صناديق البريد - البريد السعودي,post_office,24.732023,46.656092
مجموعة سدر للخدمات الاتصالات,government,24.785538,46.806196
مجموعة الفيصل للتوظيف,government,24.78308,46.80825
الهيئة السعودية للتخصصّات الصحية ( الجديدة ),government,24.811778,46.669611
المجال,company,24.645663,46.70552
شرطة المربع,police,24.645822,46.700329
شئون الوافدين,government,24.635149,46.686588
مستودعات إمارة منطقة الرياض,government,24.638112,46.691791
مؤسسة نجم التسويق,government,24.651777,46.831078
شركة فن المعمار السعودية للصيانة الحدودة,government,24.653012,46.706488
المؤسسة العامة للتقاعد,government,24.651484,46.704802
الشعاع التقني,government,24.650953,46.705142
المؤسسة العامة للتدريب التقني والمهني,government,24.651249,46.703842
الزاجل للشحن الجوي و البحري,post_office,24.647624,46.717124
شركة مخزن الأدوية العربي السعودي المحدودة,company,24.65104,46.707719
مكتب عقارات,government,24.648241,46.706631
مكتب عقارات,government,24.648324,46.706619
مكتب عقارات,government,24.648285,46.706631
شركة زمو للتجارة,company,24.651066,46.708016
شركة الجرس السعودي,company,24.650203,46.707613
البريد الممتاز,post_office,24.695226,46.774142
فيليبس,government,24.682235,46.733879
Saudi Geological Survey,government,24.693935,46.720295
وزارة الصحة,government,24.657085,46.713037
المديرية العامة للجوازات,government,24.670697,46.721438
مديرية صحة الرياض,government,24.699608,46.763104
sago,government,24.593172,46.818427
Olympic Complex,government,24.648152,46.646811
MOI eService Terminal,government,24.775932,46.664961
العقارية الثالثه,government,24.706108,46.679642
زاجل,post_office,24.607799,46.760059
Thabatco,post_office,24.792379,46.633279
هيبة,post_office,24.718931,46.798602
خالو عبدالسلام,post_office,24.643389,46.729375
الاستراحة,post_office,24.821673,46.835819
madam 11/11/16,police,24.872439,46.820967
الاميرسعودبن مشعل,government,24.69646,46.605968
هيئة الاذاعة والتلفزيون,government,24.642975,46.695479
الدفاع المدني,police,24.673438,46.692066
باكس,government,24.686218,46.733193
وزارة المالية الادارة العامة للمقرات و القواعد,government,24.652883,46.709043
مدينة تدريب الأمن العام بالرياض,government,24.784262,46.862464
الدفاع المدني بحي غبيرا,fire_station,24.615249,46.735159
سمسا,post_office,24.767218,46.755801
سمسا,post_office,24.767201,46.755774
القوات الخاصة للأمن والحماية,government,24.648859,46.731778
قطاع الاثار و المتاحف,government,24.645972,46.71112
Unnamed,post_office,24.634281,46.716397
البريد السعودي,post_office,24.673631,46.694151
Lafana Investments,government,24.729444,46.662522
مكتب العمل,government,24.732232,46.786262
"Tatweer 1, King Fahad Road",government,24.729194,46.662374
المديرية العامة لحرس الحدود,police,24.66355,46.713007
صندوق تنمية الموارد البشرية - الادارة العامة,government,24.697447,46.682313
الهيئة الملكية لمدينة الرياض,government,24.682386,46.6242
العمل,government,24.70737,46.758885
Unnamed,police,24.66951,46.783266
وزارة التعليم,government,24.740652,46.694734
وزارة المالية,government,24.652648,46.716399
Saudi food and drug authority,government,24.649958,46.737468
Al Jardan,company,24.828807,46.795439
Navi Saudi,company,24.702108,46.69848
سفارة أوكرانيا,diplomatic,24.734331,46.689957
فرع وزارة العدل ووكالة التنفيذ,government,24.785359,46.639244
Unnamed,police,24.767057,46.663223
العمار المثالي,company,24.821438,46.764366
رافت الامير لتسويق,company,24.81322,46.796102
كتابة العدل الثانيه شرق الرياض,government,24.689415,46.811953
Unnamed,government,24.82426,46.755855
جوازات الملز,government,24.675532,46.731745
شركة ركن البيت لخدمات تنظيف الفلل,company,24.617379,46.686223
شركة ركن البيت لخدمات تنظيف الخزانات,company,24.604558,46.688378
سوار التقنية,company,24.73817,46.658264
Saudi Post Office,post_office,24.691079,46.60533
وكالة دريم للدعاية والاعلام,company,24.631065,46.734605
المركز الاداري بالسلي,government,24.66576,46.788112
الغرفه التجاريه الصناعيه الرياض,government,24.666699,46.707904
السيف للهندسه والمقاولات,company,24.781963,46.748901
البوانى,company,24.670029,46.669426
نسما للمقاولات,company,24.694252,46.680404
الديار السعوديه,company,24.695585,46.721458
الشركة الصينية,company,24.80784,46.637444
العقارية,company,24.70788,46.678483
Cem estro,company,24.817719,46.61791
بروجر,company,24.680631,46.707892
FedEx,post_office,24.775876,46.666016
المؤسسه العامه للتأمينات الأجتماعيه,government,24.69002,46.715883
Ministry of Economy & Planning,government,24.786534,46.727868
Tamkeen Technologies,government,24.708265,46.678536
AbanaHO,company,24.675916,46.665816
alwada,company,24.531915,46.910186
Unnamed,post_office,24.873037,46.823372
شركة المياه الوطنية,company,24.687407,46.683735
مقرالعمل,government,24.694983,46.776043
FLYNAS Office,company,24.804716,46.672035
Flynas office,company,24.798943,46.67525
Unnamed,government,24.748879,46.688356
Unnamed,government,24.747944,46.687541
Unnamed,government,24.663482,46.639872
Schurarat,government,24.662721,46.636543
Unnamed,government,24.656498,46.711616
Unnamed,government,24.657005,46.712045
Unnamed,government,24.657126,46.712545
Unnamed,government,24.655778,46.712409
Unnamed,government,24.655926,46.712887
Unnamed,government,24.656471,46.71341
المعاشات والتقاعد,government,24.652125,46.704678
Boston Consulting Group,company,24.697426,46.682407
Tools & Solutions,company,24.787671,46.658895
مجلس الضمان الصحي التعاوني,government,24.821267,46.616126
AEcom Group,company,24.653339,46.582557
AEcom Group,company,24.653395,46.582637
المركز الوطني لبحوث الزراعة والثروة الحيوانية,government,24.579336,46.718731
الصندوق السعودي للتنمية,government,24.672723,46.692831
مؤسسه دار الناصرة للتجاره,company,24.66068,46.744738
McKinsey & Company,company,24.711181,46.673765
Riyadh Airports Company (RAC),company,24.976626,46.689186
saudi fire station,fire_station,24.862318,46.588554
شركه نظم تقنيه المياه,company,24.565506,46.796305
SFDA الهيئة العامة للغذاء والداء - المبنى الرئيسي,government,24.746671,46.611021
معهد الادارة الرياض الملز,government,24.668075,46.724472
بريد الروضة,post_office,24.730512,46.773699
مصرف الراجحي (مبنى العمليات ),company,24.752734,46.631393
شركة الضحيان,company,24.8273,46.8069
الماجد للعود,company,24.814524,46.645387
مرسية الشركة الوطنية للإسكان,company,24.812736,46.646273
سمسا,post_office,24.808804,46.648389
Unnamed,company,24.802633,46.650263
دي اتش ال,post_office,24.801638,46.648295
شركة إفادة للموارد البشترية,company,24.801165,46.646826
الإدارة العامة للخدمات الطبية,government,24.800905,46.64617
مستودع صيانة طرق الرياض,government,24.798522,46.651346
الرئاسة العامة لهيئة الأمر بالمعروف والنهي عن المنكر,government,24.702313,46.741279
Charity for Orphan Care,government,24.668261,46.78425
Saudi Xerox,company,24.690977,46.73279
الدوائر الإنهائية بمحكمة الأحوال الشخصية بغرب الرياض,government,24.654075,46.579871
Embassy of Bangladesh,diplomatic,24.685791,46.631775
Emigrantz Global Consultancy,government,24.70126,46.679835
وزارة التعليم,government,24.740412,46.695371
شركة العربية للعود,company,24.683116,46.701098
سفارة مالطا,diplomatic,24.712079,46.683008
Globitel Saudi Arabia,company,24.753094,46.625548
سفارة الأوروغواي,diplomatic,24.678479,46.628303
سفارة بيرو,diplomatic,24.687829,46.665494
سفارة تنزانيا,diplomatic,24.727431,46.675245
شركة فؤاد الصالح وخالد الضويلع للاستشارات الهندسية والبيئية,company,24.802024,46.7295
الهيئة العامة للنقل,government,24.788655,46.6374
مجمو عة بوتيك,company,24.686369,46.626554
شركه فحص تسربات ه,company,24.576195,46.767069
Unicharm Gulf Hygienic Industries Ltd.,company,24.546333,46.900779
Unicharm Gulf Hygienic Industries Ltd,company,24.546322,46.900296
ابانا,company,24.67538,46.662036
العثيم القابضة,company,24.782,46.648278
سمسا,post_office,24.819178,46.774881
الراجحي الاستثمارية,company,24.747448,46.709271
shafaq alsharq,company,24.680861,46.7013
Devoteam,company,24.6932,46.702226
المكتب الرئيسي لشركة الوطنية الزراعية,company,24.817396,46.779201
aDawliah,company,24.663881,46.706722
Gulf Factory for metals,company,24.571381,46.883044
شركة السدره للأدوية,company,24.692748,46.723795
وزارة التعليم,government,24.740738,46.69469
SAPTCO passport and visa check,diplomatic,24.596387,46.747057
المنزل البارد للتكييف والتبريد,company,24.88827,46.60933
شركة الطعيس والمعطش وشركاؤهم,company,24.685413,46.675494
شركة ارت,company,24.685353,46.675507
Libg Solutions,company,24.685277,46.675547
مكتب فيصل فهد الحارثي للمحاماة والاستشارات القانونية,company,24.685267,46.675699
