Name,Subtype,Latitude,Longitude
Unnamed,pharmacy,24.72766,46.792257
Al Nokhba Clinics,hospital,24.699472,46.689978
Alshablan Medical Center,clinic,24.716561,46.681536
Unnamed,pharmacy,24.689939,46.687392
المستشفي الوطني,hospital,24.679395,46.727065
Al Kurdi,pharmacy,24.728094,46.689993
Unnamed,pharmacy,24.724562,46.794351
Al Nokhba Pharmacy,pharmacy,24.699569,46.690149
Family Basket,pharmacy,24.696217,46.702835
Eternal Smile Clinic,dentist,24.700804,46.69205
Unnamed,hospital,24.68704,46.797248
مستشفى أستر سند,hospital,24.77919,46.739506
Unnamed,hospital,24.820636,46.921131
دلة,hospital,24.74683,46.652126
Unnamed,hospital,24.583313,46.864015
صيدلية أطلس,pharmacy,24.586782,46.666578
مستوصف عالم الطب,hospital,24.6713,46.733085
Al Rajhi pharmacy,pharmacy,24.670339,46.731432
مركز اباس الطبي,clinic,24.758855,46.735098
وصفات,pharmacy,24.758759,46.734823
مجمع عاجي لطب الاسنان,dentist,24.700701,46.779208
KAL Medical Development Foundation,hospital,24.69339,46.678503
Unnamed,pharmacy,24.569978,46.836607
Dr Soliman Al-Kharashi Medical Center,hospital,24.751337,46.699888
Unnamed,hospital,24.799115,46.783281
صيدلية السعودية,pharmacy,24.808489,46.77893
Unnamed,pharmacy,24.803629,46.782342
Unnamed,pharmacy,24.799889,46.784241
Unnamed,pharmacy,24.812871,46.77673
Unnamed,pharmacy,24.825449,46.771312
فال العافية,hospital,24.798352,46.781948
Unnamed,pharmacy,24.799851,46.783317
Unnamed,pharmacy,24.709122,46.701376
مستشفى الجزيرة,pharmacy,24.714087,46.847342
زهرة الخليج zahrato alkhalej,pharmacy,24.71426,46.625855
مركز فيتامين الطبي,clinic,24.737026,46.830689
مستوصف الشمال الطبي,clinic,24.733558,46.847631
مجمع طب الاسرة 2,hospital,24.610019,46.728076
صيدلية مريم,pharmacy,24.745677,46.845427
وقت الدواء,pharmacy,24.640466,46.708348
صيدلية المتحدة,pharmacy,24.637864,46.708814
مجمع نون الطبي Noon Medical Clinic,clinic,24.689688,46.651181
Unnamed,hospital,24.601837,46.702016
مستشفى المبارك,hospital,24.656666,46.706969
صيدلية همول,pharmacy,24.80652,46.792772
مجمع عيادات اللوتس,hospital,24.80364,46.794766
مستوصف اليرموك,hospital,24.810349,46.790832
الفارابي,hospital,24.78625,46.801982
صيدلية الراية,pharmacy,24.76176,46.780877
مستوصف الراية,clinic,24.761813,46.780951
Hayat National Hospital,hospital,24.694016,46.772785
مستشفى الفلاح,hospital,24.619175,46.729239
Al Malak Dental Clinic,clinic,24.70301,46.805663
مركز العناية للاسنان,dentist,24.64866,46.554955
مركز الطب الحديث للأسنان,dentist,24.758878,46.776228
صيدلية النهدي,pharmacy,24.758718,46.77597
صيدلية النوران الطبية,pharmacy,24.6695,46.750731
Hammadi suwadi,hospital,24.602214,46.703075
صيدلية الدواء,pharmacy,24.585964,46.692815
jmcim ace,clinic,24.748879,46.846375
مستوصف حكومي,hospital,24.777981,46.590406
مجمع الوطن الطبي,clinic,24.605457,46.711163
بشير عبيد لطب الاسنان,clinic,24.645003,46.70379
اتقان الدواء,pharmacy,24.646122,46.707168
مجمع الريان الطبي,clinic,24.704049,46.780786
Nahda Pharmacy,pharmacy,24.689534,46.733249
Jarir Medical Center,clinic,24.673563,46.754905
صيدلية المملكة,pharmacy,24.733635,46.775819
مستوصف الحاير,hospital,24.40096,46.835173
المجمع الطبي,hospital,24.675547,46.661891
الرعايه الأوليه. حي الخليج,hospital,24.768289,46.7899
دان المدينة,pharmacy,24.795296,46.880032
مستشفى الأمام عبدالرحمن الفيصل,hospital,24.528803,46.652714
مختبر البرج الطبي,clinic,24.680794,46.692288
White's Pharmaceutical,pharmacy,24.673332,46.623194
صيدلية يوم الدواء,pharmacy,24.691029,46.796501
Nahdi,pharmacy,24.631902,46.611842
Saqaf,pharmacy,24.630134,46.606989
مستشفى الشميسي,hospital,24.627807,46.690399
مركز الملك فهد الوطني لسرطان الاطفال,hospital,24.828733,46.692132
مركز اشبيليا,clinic,24.799636,46.7898
صيدلية الشافي,pharmacy,24.584158,46.662993
صيدلية الشافي,pharmacy,24.579865,46.666311
دواء الصفوة,pharmacy,24.762435,46.762709
النهدي,pharmacy,24.759377,46.76565
مجمع العالمي الطبي,clinic,24.762177,46.763573
مملكة الصحة,pharmacy,24.762399,46.762635
"Dallah hospital (20,586 patient )",hospital,24.632697,46.710419
مختبر البرج الطبي,clinic,24.680726,46.692245
مستوصف حراء الطبي,hospital,24.603562,46.702908
صيدلية كاريزما,pharmacy,24.576028,46.668995
المستشفى الجامعي لكلية الرياض لطب الاسنان والصيدلة,dentist,24.82066,46.782434
الخلد اخصائي عيون واسنان,clinic,24.685425,46.68498
Unnamed,hospital,24.664032,46.717139
Arkan Warehouse,pharmacy,24.651129,46.777449
مركز الصحي عسير,hospital,24.613839,46.698579
Al Amjaad,pharmacy,24.656401,46.842091
مركز صحي,hospital,24.562336,46.540213
وائل عبدالله,dentist,24.688359,46.779583
وائل عبدالله السلمي,dentist,24.70342,46.802123
صيدلية حي الريان,pharmacy,24.703768,46.780438
مستوصف الخليجي الطبي بشبرا,hospital,24.585927,46.679845
مستوصف الشرق,pharmacy,24.758591,46.793259
exit 16,dentist,24.673749,46.811895
مستشفي عناية العائلة,hospital,24.800972,46.871548
Kunooz Alseha,pharmacy,24.692504,46.605245
مستشفى السلام,hospital,24.703744,46.801768
صيدلية السقاف,pharmacy,24.597804,46.684496
صيدلية بيت الصحة,pharmacy,24.581305,46.658224
النحدي,pharmacy,24.669871,46.735963
صيدلبة الدواء,pharmacy,24.799902,46.738641
صيدلية زهرة الروضة,pharmacy,24.690229,46.723302
صيدليه المتحدة,pharmacy,24.637344,46.693279
مستشفى الملك عبدالعزيز الجامعي,clinic,24.66143,46.720028
صيدلية أركان الرياض الرابعة,pharmacy,24.601279,46.614629
الطوارئ,hospital,24.670893,46.678138
Unnamed,pharmacy,24.653381,46.574734
مستشفى د.سليمان الحبيب,hospital,24.719116,46.656922
مستشفى د.سليمان الحبيب,hospital,24.704359,46.676677
مبنى العيادات الخارجية,hospital,24.671499,46.677519
مبنى عيادة الأورام,hospital,24.671864,46.67673
مركز الأبحاث,hospital,24.672242,46.676437
البرج الشمالي,hospital,24.671922,46.675384
بنك الدم,hospital,24.670453,46.676526
المدخل الرئيسي,hospital,24.669688,46.67735
مستشفى الدارة,hospital,24.663358,46.683216
alhabib hospital,hospital,24.862902,46.587374
صفوة المهيدب - فرع الربوة,hospital,24.678829,46.776056
عيادات سما,hospital,24.694442,46.790222
مركز العلم الطبي,clinic,24.764325,46.761225
صيدلية حمد,pharmacy,24.685804,46.766458
صيدلية الحزيمي,pharmacy,24.685538,46.76664
مستوصف الطب الحديث,hospital,24.68593,46.766424
Future Medical Center,clinic,24.744441,46.704968
عيادات أصداء الصحة الطبي,clinic,24.636336,46.536978
عيادات الصبحي,clinic,24.749026,46.778349
صيدلية اورنج,pharmacy,24.737719,46.665783
أضواء الإبتسامة,dentist,24.812532,46.628681
مراس,clinic,24.814001,46.6322
مركز فيتامين الطبي,clinic,24.814138,46.632515
المسواك لطب الأسنان,dentist,24.817388,46.640267
صفد لطب الأسنان,dentist,24.817527,46.64399
وايت كلينيك,clinic,24.811315,46.646993
رويال أورثوبيدك,clinic,24.811145,46.647078
أسنان مزدانة,dentist,24.806701,46.649325
مجمع توكير الطبي,clinic,24.796604,46.638245
عيادات الماسي,clinic,24.798545,46.643146
Pharmacy,pharmacy,24.695108,46.762666
Pharmacy,pharmacy,24.695474,46.762513
NAMAR MEDICAL COMPLEX,hospital,24.560014,46.585046
NOOR CLINICS,hospital,24.71466,46.677173
كنوز,pharmacy,24.700578,46.673254
مركز الرعايه الصحيه الأوليه (الوادي),hospital,24.788008,46.697308
Unnamed,pharmacy,24.691031,46.710426
