Name,Subtype,Latitude,Longitude
Crowne Plaza Riyadh Palace,hotel,24.664611,46.711732
Four Seasons Hotel,hotel,24.711037,46.67336
Sulaimaniah Hotel,hotel,24.711435,46.695079
Abha Palace,hotel,24.691372,46.718978
Al Mutlaq Hotel,hotel,24.700081,46.71814
Unnamed,hotel,24.69056,46.724299
Boudl Furnished Apartments,hotel,24.68,46.692879
Unnamed,hotel,24.679423,46.693105
Madareem Crown Hotel,hotel,24.80138,46.716776
فندق موفنبيك قاسم,hotel,24.6393,46.6864
فندق مريوت رياض,hotel,24.647,46.714
Alwaha Palace,hotel,24.680951,46.689249
Almuthana,hotel,24.692941,46.682632
"Tulip Inn, Olaya House",hotel,24.685083,46.688801
Neeyaara Hotel,hotel,24.663554,46.730251
"Intercontinental Hotel, Riyadh",hotel,24.667102,46.69131
Novotel Suite Riyadh Olaya,hotel,24.684476,46.690092
Rest Inn Suites,hotel,24.691342,46.703416
فندق هولدي ان الازدهار,hotel,24.787036,46.711738
فندق هولدي ان الازدهار,hotel,24.787754,46.713738
Royal Hotel,hotel,24.734302,46.665051
Marriott Courtyard Riyadh Diplomatic Quarter,hotel,24.666366,46.623449
Holiday Inn Meydan,hotel,24.67857,46.691559
Vivienda Hotel Villas - Granada,hotel,24.789038,46.727067
Unnamed,hotel,24.809006,46.778633
أجنحة اسوار الفندقية-قرطبة,hotel,24.795996,46.728896
BEST WESTERN PLUS Riyadh Hotel,hotel,24.679614,46.702089
Menaa Suites,hotel,24.797408,46.627504
Unnamed,hotel,24.705419,46.677067
المصيف هاوس,hotel,24.775666,46.68388
yarmuk hotel,hotel,24.805162,46.793357
فندق عبدالله عبدالعزيز الراجحي,hotel,24.637134,46.717119
mansour orkida اوركيدا منصور,hotel,24.699509,46.718435
Unnamed,hotel,24.828626,46.800141
Sheraton 4 Points,hotel,24.637475,46.712169
شقق روفان,hotel,24.794549,46.734989
Unnamed,hotel,24.78508,46.822577
شاليهات رانسي,chalet,24.551417,46.596398
Brezeen hotel,hotel,24.69896,46.640041
درر السحاب للشقق المفروشة,hotel,24.764673,46.765857
Rest Night AL-Nafal,hotel,24.782788,46.672831
Macsoora,hotel,24.792179,46.701185
شقق البارقة,hotel,24.611988,46.754424
Rand,hotel,24.698034,46.667996
فندق الضيافة بالرياض,hotel,24.68451,46.703761
Unnamed,hotel,24.765628,46.738948
وسن للشقق الفندقية,hotel,24.61402,46.756368
فندق نزل المها,hotel,24.566103,46.790337
الابل,chalet,24.917449,46.493048
Alfanar housing f11,hotel,24.704619,46.774114
ارياف العارض,chalet,24.972495,46.574165
أرياف العارض,chalet,24.97148,46.575321
رمادي,hotel,24.798611,46.808492
فله,chalet,24.516345,46.7301
فندق التنفيذيين,hotel,24.774335,46.639721
مطار الرياض,hotel,24.9419,46.710887
"Executive hotel, Riyadh",hotel,24.714886,46.669849
My room,hotel,24.807553,46.668025
Mena Hotel,hotel,24.685169,46.688138
House Cris,hotel,24.684084,46.714143
