Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Prince Salman Science Oasis,leisure,sports_centre,24.6788131,46.6311467,,,,,,
منتزه سد وادي نمار,leisure,park,24.5730216,46.6829673,,,,,,
قوة الرياضي,leisure,sports_centre,24.5677679,46.8394232,,,,,,
Unnamed,leisure,playground,24.7613381,46.7214077,,,,,,
Unnamed,leisure,pitch,24.7448661,46.695779,,,,,,
Unnamed,leisure,playground,24.7365078,46.7207861,,,,,,
Unnamed,leisure,playground,24.7538335,46.5682191,,,,,,
Unnamed,leisure,playground,24.7482289,46.5820326,,,,,,
Unnamed,leisure,playground,24.7505326,46.5779133,,,,,,
Unnamed,leisure,playground,24.7544344,46.5739848,,,,,,
Unnamed,leisure,playground,24.7571534,46.570389,,,,,,
Unnamed,leisure,playground,24.8992877,46.4408521,,,,,,
Sports Garden,leisure,sports_centre,24.9590496,46.5770464,,,,https://www.riyadhgolfcourses.com/sports_garden,,
Diplomatic Club Site,leisure,garden,24.6885812,46.619366,,,,,,
Bowling Alley,leisure,pitch,24.6881282,46.6194906,,,,,,
Games Hall,leisure,yes,24.6880344,46.6191192,,,,,,
Unnamed,leisure,playground,24.6171194,46.7714658,,,,,,
Unnamed,leisure,playground,24.5870113,46.8562054,,,,,,
Unnamed,leisure,playground,24.5866963,46.8570816,,,,,,
Unnamed,leisure,playground,24.5865018,46.8580529,,,,,,
Unnamed,leisure,playground,24.5859459,46.8559507,,,,,,
Unnamed,leisure,playground,24.5856864,46.8568608,,,,,,
Unnamed,leisure,playground,24.5855784,46.8577914,,,,,,
Unnamed,leisure,playground,24.5878668,46.8573839,,,,,,
Unnamed,leisure,playground,24.5876907,46.8583042,,,,,,
Unnamed,leisure,playground,24.5874746,46.8594012,,,,,,
Unnamed,leisure,playground,24.5845777,46.8555975,,,,,,
Unnamed,leisure,playground,24.5844017,46.8564974,,,,,,
Unnamed,leisure,playground,24.583676,46.8552476,,,,,,
Unnamed,leisure,playground,24.5834598,46.8563208,,,,,,
Unnamed,leisure,playground,24.584201,46.8574382,,,,,,
Unnamed,leisure,playground,24.5832837,46.8572174,,,,,,
Unnamed,leisure,playground,24.583991,46.8584672,,,,,,
Unnamed,leisure,playground,24.5839045,46.8594861,,,,,,
