Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
OnlineenilnO,office,company,24.6811704,46.6295854,,Diplomatic Quarter Alfazary Suite Unit 66,,http://onlineenilno.com/,,
Wared Transport,office,company,24.7664345,46.8362433,,,,,,
SURE International Technology,office,company,24.7473066,46.6607704,,,+966 11 2050043,https://www.sure.com.sa/,08:30-17:30,
Siemens Saudi Arabia,office,company,24.8073274,46.7163135,,,,,,
Microsoft Arabia,office,company,24.8057724,46.7168804,,,,,,
Sony,office,company,24.8060025,46.7184801,,,,,,
Alcatel,office,company,24.806275,46.7166009,,,,,,
International Energy Forum,office,association,24.671309,46.6268913,,,,https://www.ief.org/,,
United Nations,office,diplomatic,24.6842827,46.622272,,,,,,
US Ambassador's Residence,office,diplomatic,24.6724551,46.6191089,,,,,,
Ambassador's Residence of Yemen,office,diplomatic,24.678105,46.6204553,,,,,,
Arab Urban Development Institute,office,company,24.6761308,46.6216368,,Abdullah Bin Hazafa As-Shami Road 8144,,http://www.araburban.com/,,
قصر الثقافة,office,yes,24.6802073,46.6232136,,,,,,
Passport Office,office,government,24.6818788,46.623999,,,,,,
سفارة جيبوتي,office,diplomatic,24.6803714,46.6200148,,,,,,
سفارة الكونغو الديمقراطية,office,diplomatic,24.6804055,46.6195535,,,,,,
سفارة الغابون,office,diplomatic,24.6808524,46.6242771,,,,,,
Embassy of Sierra Leone,office,diplomatic,24.6766571,46.6256815,,,,,,
Deanship Bldg,office,administrative,24.7555212,46.854676,,,,,,
NGCEBHP,office,educational_institution,24.7557587,46.85432,,,,,,
Postgraduate Training Center,office,educational_institution,24.75527,46.8548092,,,,,,
Admin Bldg,office,administrative,24.7543421,46.8527363,,,,,,
Main Lecture Hall,office,educational_institution,24.7543257,46.8534672,,,,,,
Conference Center,office,educational_institution,24.7546438,46.853229,,,,,,
مؤسسة النظم الثمانية للاتصالات وتقنية المعلومات,office,it,24.8032048,46.7824884,,As-Sahabh Road,,,,
