latitude,longitude,type,name,district
24.7698291,46.799893,Residential - Other,Unnamed,
24.6352945,46.5896626,Residential - Other,Unnamed,
24.6847565,46.7133067,Residential - Other,Unnamed,
24.6846794,46.7131352,Residential - Other,Unnamed,
24.6846029,46.7133901,Residential - Other,Unnamed,
24.6845262,46.713219,Residential - Other,Unnamed,
24.7214993,46.6280919,Residential - Other,Unnamed,
24.7217279,46.6292138,Residential - Other,Unnamed,
24.7221361,46.6279575,Residential - Other,Unnamed,
24.7213771,46.6287485,Residential - Other,Unnamed,
24.7218311,46.6323019,Residential - Other,Unnamed,
24.7227864,46.6314198,Residential - Other,Unnamed,
24.722418,46.6324439,Residential - Other,Unnamed,
24.72287,46.632131,Residential - Other,Unnamed,
24.7222122,46.6312675,Residential - Other,Unnamed,
24.7217546,46.6316092,Residential - Other,Unnamed,
24.7209902,46.6339114,Residential - Other,Unnamed,
24.7215651,46.634602,Residential - Other,Unnamed,
24.7219363,46.6337424,Residential - Other,Unnamed,
24.7220111,46.6342705,Residential - Other,Unnamed,
24.721073,46.6344319,Residential - Other,Unnamed,
24.721409,46.6334362,Residential - Other,Unnamed,
24.6734717,46.6696419,Residential - Other,Unnamed,
24.6739627,46.6696414,Residential - Other,Unnamed,
24.6741757,46.6700743,Residential - Other,Unnamed,
24.6741026,46.670815,Residential - Other,Unnamed,
24.6735388,46.6705012,Residential - Other,Unnamed,
24.6734125,46.6710392,Residential - Other,Unnamed,
24.6733343,46.6716385,Residential - Other,Unnamed,
24.6740772,46.671428,Residential - Other,Unnamed,
24.6739348,46.672032,Residential - Other,Unnamed,
24.6742671,46.672578,Residential - Other,Unnamed,
24.673422,46.6723431,Residential - Other,Unnamed,
24.6350499,46.5895105,Residential - Other,Unnamed,
24.6347819,46.5893185,Residential - Other,Unnamed,
24.6344576,46.5891611,Residential - Other,Unnamed,
24.63407,46.5888807,Residential - Other,Unnamed,
24.6343108,46.5891007,Residential - Other,Unnamed,
24.634214,46.5891511,Residential - Other,Unnamed,
24.6331949,46.5882863,Residential - Other,Unnamed,
24.6329189,46.5886969,Residential - Other,Unnamed,
24.6336029,46.5888225,Residential - Other,Unnamed,
24.6330999,46.5897222,Residential - Other,Unnamed,
24.6334343,46.5893128,Residential - Other,Unnamed,
24.6338869,46.5895838,Residential - Other,Unnamed,
24.634417,46.589778,Residential - Other,Unnamed,
24.6350968,46.590352,Residential - Other,Unnamed,
24.6341699,46.5900962,Residential - Other,Unnamed,
24.6336076,46.5908321,Residential - Other,Unnamed,
24.7474912,46.5705672,Residential - Other,Unnamed,
24.7805682,46.6894574,Residential - Other,Unnamed,
24.781868,46.6882963,Residential - Other,Unnamed,
24.781766,46.6880654,Residential - Other,Unnamed,
24.7816678,46.6878296,Residential - Other,Unnamed,
24.7815668,46.6875871,Residential - Other,Unnamed,
24.7814077,46.6872077,Residential - Other,Unnamed,
24.7817611,46.6886496,Residential - Other,Unnamed,
24.7817093,46.6885052,Residential - Other,Unnamed,
24.7816768,46.6883921,Residential - Other,Unnamed,
24.7816313,46.6882812,Residential - Other,Unnamed,
24.7815842,46.6881677,Residential - Other,Unnamed,
24.7815386,46.6880576,Residential - Other,Unnamed,
24.7814955,46.687948,Residential - Other,Unnamed,
24.7814457,46.687836,Residential - Other,Unnamed,
24.7814038,46.68772,Residential - Other,Unnamed,
24.7813596,46.6876092,Residential - Other,Unnamed,
24.7813089,46.6875007,Residential - Other,Unnamed,
24.7812582,46.6873879,Residential - Other,Unnamed,
24.7812114,46.6872747,Residential - Other,Unnamed,
24.7457651,46.5311397,Residential - Other,Unnamed,
24.7455473,46.5299218,Residential - Other,Unnamed,
24.7461974,46.5300108,Residential - Other,Unnamed,
24.745918,46.5302856,Residential - Other,Unnamed,
24.7457523,46.5302627,Residential - Other,Unnamed,
24.7455542,46.5302628,Residential - Other,Unnamed,
24.7461192,46.5303141,Residential - Other,Unnamed,
24.7463381,46.5309036,Residential - Other,Unnamed,
24.7466333,46.5312328,Residential - Other,Unnamed,
24.7450994,46.5289851,Residential - Other,Unnamed,
24.7451336,46.5287196,Residential - Other,Unnamed,
24.7450807,46.5284944,Residential - Other,Unnamed,
24.7623068,46.7645228,Residential - Other,Unnamed,
24.6804634,46.8606608,Residential - Other,Unnamed,
24.6803653,46.8606605,Residential - Other,Unnamed,
24.6802066,46.8606628,Residential - Other,Unnamed,
24.6801083,46.8606624,Residential - Other,Unnamed,
24.6799483,46.8606651,Residential - Other,Unnamed,
24.67985,46.8606648,Residential - Other,Unnamed,
24.6799488,46.8608548,Residential - Other,Unnamed,
24.6798505,46.8608541,Residential - Other,Unnamed,
24.6802059,46.8608424,Residential - Other,Unnamed,
24.6801076,46.8608417,Residential - Other,Unnamed,
24.6804639,46.8608345,Residential - Other,Unnamed,
24.6803656,46.8608338,Residential - Other,Unnamed,
24.6804624,46.8612829,Residential - Other,Unnamed,
24.6804653,46.8611748,Residential - Other,Unnamed,
24.6804645,46.8616073,Residential - Other,Unnamed,
24.6803663,46.861607,Residential - Other,Unnamed,
24.6802057,46.8616113,Residential - Other,Unnamed,
24.6801076,46.861611,Residential - Other,Unnamed,
24.6799512,46.8616084,Residential - Other,Unnamed,
24.679853,46.8616081,Residential - Other,Unnamed,
24.6798679,46.8611742,Residential - Other,Unnamed,
24.6798671,46.8612824,Residential - Other,Unnamed,
24.6804627,46.8620313,Residential - Other,Unnamed,
