Name,Subtype,Latitude,Longitude
Unnamed,checkpoint,24.453426,46.989483
Unnamed,taxi,24.737584,46.782514
Unnamed,dry_cleaning,24.727668,46.792185
Unnamed,greengrocer,24.658165,46.744734
Unnamed,dry_cleaning,24.723403,46.797962
البريد السعودي المركز الرئيسي,post_box,24.650844,46.716417
Global Store - Apple Premium Reseller,computer,24.701925,46.695789
Global Store - Apple Premium Reseller,computer,24.704571,46.691707
Unnamed,dry_cleaning,24.722387,46.678612
Unnamed,department_store,24.706004,46.688429
Unnamed,motel,24.709625,46.691455
Unnamed,travel_agency,24.706521,46.689167
Jarir Bookstore,department_store,24.767184,46.756139
VIP Barber Shop,hairdresser,24.729632,46.790675
الرفيعة للوحدات السكنية,motel,24.729875,46.79048
Unnamed,hairdresser,24.737623,46.797633
Unnamed,doityourself,24.725379,46.796603
Unnamed,gift,24.737799,46.798131
Unnamed,toilets,24.737789,46.798035
Axiom Telecom,mobile_phone,24.737706,46.797777
Tokyo Games,toys,24.737399,46.797563
Unnamed,taxi,24.686297,46.711926
Zahid Tractors,tractors,24.767714,46.835851
Sakr al Jazeera Aviation Museum,museum,24.754052,46.740201
Sultan Garden Centre,garden_centre,24.802727,46.716223
Unnamed,WorkShop,24.687454,46.651664
وادي البطحاء,information,24.666667,46.7
Unnamed,museum,24.835904,46.966278
Unnamed,toilets,24.827959,46.97057
Arts Tower - برج الفنون,artwork,24.761075,46.601763
Unnamed,post_box,24.582317,46.866354
Junk Souq,marketplace,24.601235,46.731192
سجن الملز,prison,24.683475,46.737658
Unnamed,greengrocer,24.749929,46.82184
Unnamed,gift,24.750348,46.822837
Unnamed,doityourself,24.751372,46.822624
Malaz Zoo Fountain,fountain,24.677043,46.737301
Chicco,toys,24.685428,46.689628
Unnamed,yes,24.587544,46.667847
Unnamed,farm,24.596332,46.745251
Al Karama pastry,pastry,24.669521,46.731969
Baby Mango,beverages,24.670583,46.731277
غرناطة للرياضة,sports,24.667128,46.731053
Marks & Spencer,department_store,24.744681,46.679796
Unnamed,taxi,24.690376,46.766829
تفتيش الخرج,checkpoint,24.453652,46.988647
Unnamed,fountain,24.858717,46.718475
Unnamed,fountain,24.858569,46.718506
Unnamed,fountain,24.858403,46.71853
Unnamed,information,24.850609,46.73159
Unnamed,information,24.84924,46.731043
Unnamed,information,24.845706,46.731032
Unnamed,fountain,24.846767,46.725948
Unnamed,fountain,24.846776,46.726029
Unnamed,fountain,24.846695,46.726043
Unnamed,fountain,24.846686,46.72596
Unnamed,fountain,24.84673,46.725992
Unnamed,information,24.838029,46.727551
Unnamed,information,24.836309,46.727274
Arizona Ranch Resort,artwork,24.813216,46.729704
Unnamed,information,24.878496,46.723404
Unnamed,artwork,24.818917,46.705167
Unnamed,toilets,24.75083,46.725746
Unnamed,toilets,24.751945,46.725595
Unnamed,toilets,24.751871,46.725584
Unnamed,toilets,24.751949,46.725947
Reception,information,24.750568,46.725868
Reception,information,24.751975,46.726084
Press Room,information,24.750972,46.725521
Business Center,information,24.750954,46.72566
Unnamed,artwork,24.871692,46.562969
Unnamed,information,24.854758,46.551251
Unnamed,information,24.885971,46.535402
Unnamed,artwork,24.939408,46.471176
Unnamed,artwork,24.939267,46.471616
Unnamed,information,24.845892,46.551029
International Energy Forum,association,24.671309,46.626891
قصر الثقافة,yes,24.680207,46.623214
Reception,information,24.688532,46.618812
Unnamed,yes,24.688529,46.61876
Changing Rooms,toilets,24.688344,46.620026
Games Hall,yes,24.688034,46.619119
Accomodation Reception,information,24.688889,46.619806
Banquet Reception,information,24.689105,46.619457
Unnamed,shelter,24.88293,46.91451
Unnamed,marketplace,24.753064,46.837469
Unnamed,laundry,24.682347,46.899286
Deanship Bldg,administrative,24.755521,46.854676
NGCEBHP,educational_institution,24.755759,46.85432
Postgraduate Training Center,educational_institution,24.75527,46.854809
Admin Bldg,administrative,24.754342,46.852736
Main Lecture Hall,educational_institution,24.754326,46.853467
Conference Center,educational_institution,24.754644,46.853229
Unnamed,bus_station,24.74824,46.858426
Unnamed,information,25.015061,46.591821
Unnamed,shelter,24.618962,46.772359
Unnamed,shelter,24.618408,46.771495
Unnamed,shelter,24.617911,46.771037
Unnamed,shelter,24.618339,46.773072
Unnamed,vending_machine,24.551999,46.483952
Unnamed,vending_machine,24.551831,46.484391
Unnamed,artwork,24.788757,46.42548
Unnamed,information,24.577338,46.690378
Unnamed,information,24.577754,46.690279
مؤسسة النظم الثمانية للاتصالات وتقنية المعلومات,it,24.803205,46.782488
Unnamed,marketplace,24.784049,46.714155
سباركيز,theme_park,24.767092,46.717614
Unnamed,deli,24.768101,46.715627
Unnamed,department_store,24.768578,46.71567
Unnamed,department_store,24.766854,46.7164
Unnamed,beauty,24.767614,46.716346
Unnamed,hairdresser,24.804952,46.780816
Unnamed,laundry,24.802912,46.781803
Unnamed,laundry,24.80773,46.780293
Unnamed,laundry,24.807891,46.779362
Unnamed,hairdresser,24.801427,46.778121
Unnamed,hairdresser,24.801405,46.778146
Unnamed,toys,24.800153,46.783199
Unnamed,hairdresser,24.800679,46.782928
Unnamed,toys,24.814155,46.776153
Unnamed,laundry,24.808604,46.778964
Unnamed,department_store,24.804343,46.781921
بنشر,tyres,24.772837,46.574632
Unnamed,bowling_alley,24.793128,46.805461
شركة الزاهد للتراكتورات والمعدات الثقيلة,outdoor,24.631725,46.762867
شركة الزاهد للتراكتورات والمعدات الثقيلة المحدودة,outdoor,24.877031,46.947435
حلاق عصمان,hairdresser,24.732297,46.848553
BAJA,confectionery,24.759727,46.669659
صرافة الأهلي,mobile_phone,24.731521,46.848714
مجمع النيزك للاتصالات,mobile_phone,24.726956,46.852129
ريناد لاحتفالات,events_venue,24.801477,46.74468
Unnamed,hairdresser,24.648471,46.706573
Unnamed,juice,24.648518,46.70656
Unnamed,information,24.649119,46.70666
Unnamed,hairdresser,24.649326,46.70636
Unnamed,laundry,24.64937,46.706348
Unnamed,hairdresser,24.649395,46.706342
Unnamed,hairdresser,24.649423,46.706335
Unnamed,information,24.649458,46.7072
Unnamed,hairdresser,24.649613,46.706267
Unnamed,hairdresser,24.649661,46.706253
Unnamed,laundry,24.650001,46.706453
Unnamed,butcher,24.650154,46.706411
Unnamed,seafood,24.650456,46.709282
Unnamed,seafood,24.650639,46.709253
سمك الشرقية الطازج,seafood,24.650773,46.709298
Unnamed,greengrocer,24.650129,46.709359
ساحل جدة,seafood,24.650851,46.709274
اسماك الوشم,seafood,24.650948,46.709253
Unnamed,information,24.651491,46.706741
سهل,yes,24.65185,46.706062
ثمار الرحمانية,butcher,24.639505,46.708348
نظارات المدينة,optician,24.638268,46.710219
دواجن,butcher,24.64053,46.708349
Unnamed,laundry,24.640602,46.708351
Unnamed,gift,24.639634,46.708348
Unnamed,hairdresser,24.640659,46.708352
الحناكي للمكسرات,confectionery,24.638475,46.710182
ايس كريم,confectionery,24.639556,46.708348
K.K.I.A Camp,hostel,24.920227,46.683699
Unnamed,shelter,24.819229,46.771131
Unnamed,fountain,24.625758,46.68042
قاعة درة المملكة للاحتفالات,artwork,24.810654,46.806322
Unnamed,department_store,24.7672,46.715796
Unnamed,optician,24.768598,46.716086
Unnamed,beauty,24.767974,46.716011
Unnamed,beauty,24.7666,46.715335
Unnamed,beauty,24.766966,46.715947
Unnamed,weighbridge,24.625516,46.861919
