object_id,parcel_id,parcel_name,mainlanduse_code,mainlanduse_name,subtype_code,subtype_name,detailslanduse,is_apartment,parcel_type,residential_units,commercial_units,floors,area_sqm,district_id,street_name,postal_code,is_built,is_licensed,building_status,latitude,longitude
32448872,3198156,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,459.46903234,00100001033,,,,,,24.797415959800002,46.669968437599984
32448873,14471728,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,500.06237329,00100001148,,,,,,24.8191391652,46.64013923320001
32448874,14471771,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,570.03721768,00100001083,,,,,,24.713478891000012,46.6663519426
32448875,14471808,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,312.59756606,00100001045,,,,,,24.743341057800013,46.694217538999986
32448876,14471847,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,779.99780177,00100001134,,,,,,24.756113115200016,46.724297762200024
32448877,14471851,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),100,0,2,779.96175085,00100001134,,,,,,24.756015104000006,46.72406418920002
32448878,14471852,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,649.99816815,00100001134,,,,,,24.75634280800001,46.72418217220002
32448879,14471858,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),1,0,2,625.05092841,00100001037,,,,,,24.753332969999995,46.7061822772
32448880,14471859,حديقة,300000,خدمات عامة (Public Services),306000,حديقة عامة (Public Park),306011,False,غير شقق (Non-Apartment),0,0,,1575.06488998,00100001037,,,,,,24.752970468599994,46.706430972199996
32448881,14471874,ممر مشاة,400000,مرافق عامة (Public Facilities),405000,نقل (Transportation),405053,False,غير شقق (Non-Apartment),,,,500.02632236,00100001134,,,,,,24.763951679833326,46.72273252416667
32448882,14471799,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,625.05092841,00100001032,,,,,,24.737115170800006,46.672897889399984
32448883,14471801,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,600.06763776,00100001032,,,,,,24.737645498399992,46.6726321478
32448884,14471804,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,500.06237329,00100001032,,,,,,24.7373742518,46.6724962806
32448885,14471843,حديقة,300000,خدمات عامة (Public Services),306000,حديقة عامة (Public Park),306011,False,غير شقق (Non-Apartment),0,0,,1440.12627969,00100001037,,,,,,24.749903469999992,46.70221036079998
32448886,14471727,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,500.06237329,00100001148,,,,,,24.818934162000005,46.6402426976
32448887,14471770,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,400.34551621,00100001083,,,,,,24.71270963950001,46.66637731983332
32448888,14471774,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,570.10931953,00100001083,,,,,,24.713054383999996,46.666237897400016
32448889,14471781,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,690.08679615,00100001083,,,,,,24.71265625959999,46.666697217
32448890,14471844,مواقف سيارات,400000,مرافق عامة (Public Facilities),405000,نقل (Transportation),405055,False,غير شقق (Non-Apartment),0,0,,1035.0941433,00100001037,,,,,,24.749986014599983,46.70240818679999
32448891,14471855,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,780.06990362,00100001134,,,,,,24.755819080800006,46.7235970448
32448892,14471778,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,1,570.00116675,00100001083,,,,,,24.713366563600005,46.66608213679999
32448893,14471784,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,690.12284708,00100001083,,,,,,24.713691887200003,46.6659198178
32448894,14471806,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,625.01487749,00100001032,,,,,,24.737021247799998,46.672673167999996
32448895,14471845,حديقة,300000,خدمات عامة (Public Services),306000,حديقة عامة (Public Park),306011,False,غير شقق (Non-Apartment),0,0,,6600.31140425,00100001134,,,,,,24.758384943400007,46.72271159200001
32448896,14471856,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,780.0338527,00100001134,,,,,,24.75591709240001,46.723830616800015
