Name,Subtype,Latitude,Longitude
Unnamed,parking,24.672992,46.702944
Unnamed,parking_space,24.707107,46.674746
Unnamed,parking,24.941478,46.649317
Unnamed,parking,24.938606,46.647249
Unnamed,parking,24.939034,46.648081
Unnamed,parking,24.940816,46.648879
Unnamed,parking,24.648064,46.731175
Unnamed,parking_entrance,24.956496,46.702364
Unnamed,parking_entrance,24.956434,46.702399
Unnamed,parking_entrance,24.960504,46.699835
Unnamed,parking_entrance,24.96077,46.699683
Unnamed,parking_entrance,24.960836,46.699641
Unnamed,parking_entrance,24.961068,46.699483
Unnamed,parking_entrance,24.956197,46.702581
Unnamed,parking_entrance,24.956764,46.702211
Unnamed,parking,24.70116,46.691435
Aqaria Parking,parking,24.705455,46.683864
Khurais Plaza,parking,24.737144,46.797158
Unnamed,parking,24.70631,46.688036
Unnamed,parking,24.701046,46.680326
Unnamed,parking,24.696972,46.702868
Unnamed,parking,24.69432,46.669737
Unnamed,parking,24.690704,46.668632
Unnamed,parking,24.6989,46.687601
Unnamed,parking,24.701395,46.691903
Unnamed,parking,24.666322,46.708343
Unnamed,parking,24.689698,46.716376
Unnamed,parking,24.677191,46.722952
Unnamed,parking,24.66041,46.720479
Unnamed,parking,24.682356,46.688432
Unnamed,parking,24.735221,46.663821
Unnamed,parking,24.745226,46.658283
Unnamed,parking,24.754436,46.654057
Unnamed,parking,24.764928,46.747341
Unnamed,parking,24.741484,46.767223
Unnamed,parking,24.700246,46.679353
Unnamed,parking,24.701435,46.676778
Al Sadhan Parking,parking,24.727826,46.785675
Upper parking,parking,24.724152,46.774914
Basement parking,parking,24.724162,46.775902
Unnamed,parking,24.598135,46.74584
Unnamed,parking,24.585279,46.68355
Unnamed,parking,24.577566,46.86173
Unnamed,parking,24.577771,46.860324
Unnamed,parking,24.581976,46.866548
Unnamed,parking,24.675928,46.675961
Unnamed,parking,24.675947,46.677216
Unnamed,parking,24.600806,46.72527
Unnamed,parking,24.630566,46.715117
Unnamed,parking,24.778898,46.733488
Unnamed,parking,24.783594,46.728662
Unnamed,parking,24.683496,46.77607
Unnamed,parking,24.783734,46.731398
Unnamed,parking,24.658628,46.784196
Unnamed,parking,24.747276,46.855706
Unnamed,parking,24.751672,46.856055
Unnamed,parking,24.751928,46.85891
Unnamed,parking,24.753334,46.858742
Unnamed,parking_entrance,24.715303,46.615897
Unnamed,parking_entrance,24.715305,46.615692
Unnamed,parking_entrance,24.715296,46.616834
Unnamed,parking,24.678921,46.686236
Unnamed,parking,24.966086,46.796338
Unnamed,parking,24.966475,46.797336
Unnamed,parking,24.96702,46.795136
Unnamed,parking,24.959788,46.794981
Unnamed,parking,24.965405,46.791253
Unnamed,parking,24.740454,46.890658
Unnamed,parking,24.74222,46.890516
Unnamed,parking,24.741538,46.891699
Unnamed,parking,24.740676,46.896487
Unnamed,parking,24.56236,46.645689
Unnamed,parking,24.766583,46.871755
Unnamed,parking,24.571566,46.66482
Unnamed,parking_entrance,24.701958,46.779504
Unnamed,parking_entrance,24.700146,46.78085
Unnamed,parking,24.70162,46.779394
Unnamed,parking,24.701062,46.78017
Unnamed,parking,24.787133,46.726122
Unnamed,parking,24.963439,46.669632
Unnamed,parking_entrance,24.815125,46.706595
Unnamed,parking_entrance,24.815228,46.706555
Unnamed,parking_entrance,24.810221,46.708466
Unnamed,parking_entrance,24.810461,46.708311
Unnamed,parking_entrance,24.811805,46.710935
Unnamed,parking,24.628686,46.708036
Unnamed,parking,24.735504,46.733878
Unnamed,parking,24.889043,46.500973
Unnamed,parking,24.86921,46.570975
Unnamed,parking,24.868187,46.57009
Unnamed,parking,24.800278,46.62807
Unnamed,parking,24.80093,46.627767
Unnamed,parking,24.801627,46.630057
Unnamed,parking,24.648502,46.648553
Unnamed,parking,24.676438,46.61736
Unnamed,parking,24.676471,46.618027
Unnamed,parking,24.676978,46.613564
Unnamed,parking,24.676689,46.613979
Unnamed,parking,24.67716,46.614528
Unnamed,parking,24.888938,46.917987
Unnamed,parking,24.867878,46.885024
Unnamed,parking,24.729311,46.904391
Unnamed,parking,24.736145,46.88726
Unnamed,parking,24.793626,46.805479
Unnamed,parking,24.792582,46.804938
Unnamed,parking,24.704355,46.903599
Unnamed,parking,24.703897,46.857543
Unnamed,parking,24.682544,46.899119
Unnamed,parking,24.752749,46.86901
Unnamed,parking,24.610507,46.781143
Unnamed,parking,24.579352,46.864251
Unnamed,parking,24.579101,46.845924
Unnamed,parking,24.514526,46.865493
Unnamed,parking,24.525996,46.871006
Unnamed,parking,24.527297,46.437338
Unnamed,parking,24.527223,46.436538
Unnamed,parking,24.527587,46.437357
Unnamed,parking,24.52732,46.437134
Unnamed,parking,24.527182,46.43686
Unnamed,parking,24.526966,46.437109
Unnamed,parking,24.61293,46.756554
Unnamed,parking,24.697278,46.602751
Unnamed,parking,24.692007,46.597271
Unnamed,parking,24.691625,46.595588
Unnamed,parking,24.689003,46.585435
Unnamed,parking,24.68863,46.583713
Unnamed,parking,24.419964,46.814463
Unnamed,parking,24.418164,46.813257
Unnamed,parking,24.79425,46.755127
Unnamed,parking,24.802018,46.755176
Unnamed,parking,24.795451,46.78731
Unnamed,parking,24.69157,46.820159
Unnamed,parking,24.6936,46.828731
Unnamed,parking,24.679669,46.829573
Unnamed,parking,24.680822,46.828981
Unnamed,parking,24.79063,46.730508
Unnamed,parking,24.78401,46.686204
Unnamed,parking,24.603625,46.705265
Unnamed,parking,24.518398,46.518987
Unnamed,parking,24.988314,46.520168
Unnamed,parking_entrance,24.715292,46.617398
Unnamed,parking,24.972267,46.613203
Unnamed,parking,24.581413,46.559087
Unnamed,parking,24.581015,46.557006
Unnamed,parking,24.580294,46.556925
Unnamed,parking,24.974342,46.730919
Unnamed,parking,24.422885,46.866088
Unnamed,parking,24.424069,46.867258
Unnamed,parking,24.8575,46.766189
Unnamed,parking,24.79975,46.86249
Unnamed,parking,24.800104,46.814063
Unnamed,parking,24.799041,46.814988
Unnamed,parking,24.759797,46.869699
Unnamed,parking,24.725739,46.700034
Unnamed,parking,24.725118,46.701222
Unnamed,parking_entrance,24.679115,46.622554
Unnamed,parking,24.617801,46.708269
Unnamed,parking,24.802249,46.62701
Unnamed,parking,24.647814,46.692648
Unnamed,parking,24.657262,46.638208
Unnamed,parking,24.658137,46.637534
Unnamed,parking,24.755156,46.869461
Unnamed,parking,24.755414,46.870584
Unnamed,parking,24.75539,46.871491
Unnamed,parking,24.755345,46.872811
Unnamed,parking,24.753585,46.870607
Unnamed,parking,24.753595,46.871464
Unnamed,parking,24.753971,46.870584
Unnamed,parking,24.753953,46.871491
Unnamed,parking,24.753027,46.87231
Unnamed,parking,24.753006,46.871646
Unnamed,parking,24.75301,46.872955
Unnamed,parking,24.75302,46.870873
Unnamed,parking,24.754725,46.873436
Unnamed,parking,24.672682,46.867417
Unnamed,parking,24.665672,46.714709
Unnamed,parking,24.660891,46.708371
Unnamed,parking,24.650679,46.73265
Unnamed,parking,24.65052,46.731368
Unnamed,parking,24.64981,46.730382
Unnamed,parking,24.64891,46.731243
Unnamed,parking,24.599246,46.742558
Unnamed,parking,24.600517,46.736341
