place_id,name,lat,lon,address,types,rating
ChIJWQPcHprQwxURTMD7WoSTmKo,Al-Tazaj,24.5548875,46.5097818,"نجم الدين الأيوبي الفرعي،،, الرياض","restaurant,food,point_of_interest,establishment",3.9
ChIJ00scxjkYLz4RymVDzzKFTeY,بيتزا طعم المذاق بيتزا و باستا وعصيرات. سابقا / بيتزا. الأصايل,24.5634764,46.51706969999999,"Ahmad Ibn Alkhattab, Riyadh","meal_delivery,restaurant,food,point_of_interest,establishment",4
ChIJdwt-GEYYLz4RWTNhSG8wkKY,Casa Pasta,24.5679414,46.5447847,"طويق بلازا, Riyadh","restaurant,food,point_of_interest,establishment",4.3
ChIJb9UH80kYLz4RJqnzQSULJtA,Maestro Pizza,24.5680244,46.54483940000001,"سليمان بن عبدالملك بن مروان،, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4.1
ChIJPaTOitcZLz4R7h1zsaTYwgY,Herfy,24.5535259,46.5644569,"Najm Al Din Al Ayoubi, HH37+CQ8, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJ36uZEWIXLz4RRk-S_FsrUfk,Kudu - Najm Al Din Al Ayyubi,24.5531347,46.5684861,"Najm Al Din Al Ayoubi, Riyadh","restaurant,meal_delivery,meal_takeaway,food,point_of_interest,establishment",3.9
ChIJnc-nrmEXLz4RUMgr8yKoUfo,KFC,24.5527572,46.5713944,"Najm Al Din Al Ayoubi, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJixiMlU8YLz4RS2_koKLja7Q,Herfy,24.5730097,46.5464219,"حي, شارع الذهبي, Riyadh","restaurant,food,point_of_interest,establishment",3.6
ChIJGdh6yU8YLz4RCPRUB-msDMo,Domino's Pizza دومينوز بيتزا,24.5730066,46.5467046,"St, 3425 Al Ikhlas, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",3.8
ChIJy7ZeYwA9Lz4RvwDRtXB5xN4,فوال ومطبق جاغوري,24.4989243,46.5035717,"8607 Jabal Ajyad Road, RKMA3581، 3581, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJmUP8qiI9Lz4R4BJOnQZUjCc,ممتاز فوال,24.499128,46.503975,"Namar street, Riyadh","restaurant,food,point_of_interest,establishment",4
ChIJt_ZWHgA9Lz4Rd-OzGCS-LpA,مطعم الريان الشمالي البخاري,24.4990168,46.50426329999999,"8590 حي, RKMB3623، 3623 جبل اجياد, Riyadh","restaurant,food,point_of_interest,establishment",3.6
ChIJIbu7UQA9Lz4Rzod0tr3ID_w,مطعم پاکستانی,24.4997634,46.49384289999999,"5359 شارع وادي بيشة, حي, RKMC8720, 8720, الرياض","restaurant,food,point_of_interest,establishment",5
ChIJjdqj-0E9Lz4Rqr0BCoByUHM,فوال ريناد,24.5000079,46.4935384,"شارع أجياد, GF2V+2C3, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJE_34aQA9Lz4RjkyO27ViyHQ,ملحمه,24.5041389,46.4910278,"5735 Jabal Ajyad Road, Riyadh","restaurant,food,point_of_interest,establishment",
ChIJd_xsmrk9Lz4RvMn7p0Ls9Ug,مطعم قمة الذهبي,24.49911170000001,46.51787849999999,"شارع وادي فاطمة, Riyadh","restaurant,food,point_of_interest,establishment",4.4
ChIJ_d0st7M9Lz4RhsuSZ65n1OQ,مطعم امواج الحرير البخاري,24.48743869999999,46.5120803,"4088 حي, RKMF7866، 7866 وادى فاطمه, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJe5qLDQA9Lz4RW77Af2QDbvs,شعبيات,24.5081372,46.48191949999999,"6262 Jabal Ajyad Road, 4420, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJmdMKJrAXLz4RnKO3eKFkmz4,مطعم شعبيات الريف,24.50814909999999,46.48188020000001,"6451 Jabal Ajyad Road, 3190, RKMD3190, Riyadh","restaurant,food,point_of_interest,establishment",4
ChIJRT6foNcXLz4Rx8s1hxr_Vjw,مطعم سهول بعدان للاكلات الشعبية,24.5047633,46.52066199999999,"2518 شارع وادي فاطمة, Riyadh","restaurant,food,point_of_interest,establishment",4
ChIJszkGSdQTLz4RrJQgNxyQbcs,Herfy,24.4964041,46.62825859999999,"Dirab Branch Road, FJWH+H86, Riyadh","restaurant,food,point_of_interest,establishment",3.4
ChIJ2RHlz8URLz4RRLwznsQzuJ0,KFC,24.5358164,46.6566777,"Dirab Road, Riyadh","restaurant,food,point_of_interest,establishment",3.5
ChIJU299o8URLz4R6fNYs6s5Ip0,McDonald's,24.537533,46.657906,Riyadh,"restaurant,food,point_of_interest,establishment",3.8
ChIJqZZAm8URLz4RMjwVpLNWwXE,Subway,24.537733,46.658158,"Block #6502, 4499 Dirab Branch Road, Riyadh","restaurant,food,point_of_interest,establishment",3.3
ChIJAWr4nMURLz4RKVMhXTNhIb8,Maestro Pizza,24.5375771,46.6582803,"6482 طريق ديراب الفرعي, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4
ChIJ3TVZlkoQLz4RhPWk2pXTlVQ,baskin robbins,24.5464541,46.6501654,"Al Mashtal, GMW2+H3M, Riyadh","restaurant,food,point_of_interest,store,establishment",3.8
ChIJo_EMoZwQLz4RGk3dOIOaMkE,Burger King - Exit 28,24.5683966,46.6214388,"Opposite Hyundai, Western Ring Rd, Between Exit 27 & 28, الرياض","restaurant,food,point_of_interest,establishment",4
ChIJ80BfjEoQLz4Ri0-cUxiOxKU,فوال الطائف - Fawal Taif,24.5469755,46.65004190000001,"Al Mashtal, Riyadh","restaurant,food,point_of_interest,establishment",3.8
