Name,Subtype,Latitude,Longitude
Unnamed,place_of_worship,24.940014,46.647205
Unnamed,place_of_worship,24.627143,46.713808
Unnamed,place_of_worship,24.62905,46.713401
Unnamed,place_of_worship,24.629471,46.714848
Al Manar Mosque,place_of_worship,24.730271,46.794992
Al Rajhi Mosque,place_of_worship,24.707146,46.687128
Mosque,place_of_worship,24.719374,46.676739
Al Ray Mosque,place_of_worship,24.696894,46.686764
مسجد جامع,place_of_worship,24.665285,46.734341
Unnamed,place_of_worship,24.656285,46.737023
Al Rawabi Mosque,place_of_worship,24.699547,46.782971
Al Rayan Mosque,place_of_worship,24.702422,46.777349
Unnamed,place_of_worship,24.696876,46.781405
Al Rayan Mosque,place_of_worship,24.701506,46.774055
Unnamed,place_of_worship,24.708971,46.787141
جامع القدس,place_of_worship,24.698376,46.785885
Unnamed,place_of_worship,24.739067,46.768295
Unnamed,place_of_worship,24.732606,46.770967
Unnamed,place_of_worship,24.586839,46.680843
Unnamed,place_of_worship,24.58634,46.682975
Unnamed,place_of_worship,24.588058,46.677483
Al Hudaithy Mosque,place_of_worship,24.76015,46.737675
Unnamed,place_of_worship,24.779867,46.741902
Unnamed,place_of_worship,24.781085,46.744767
Unnamed,place_of_worship,24.693652,46.722075
Unnamed,place_of_worship,24.744695,46.580807
Unnamed,place_of_worship,24.84011,46.961128
Unnamed,place_of_worship,24.752783,46.812005
Unnamed,place_of_worship,24.548097,46.690092
Unnamed,place_of_worship,24.5559,46.693905
Unnamed,place_of_worship,24.555205,46.696315
Unnamed,place_of_worship,24.545714,46.703613
Unnamed,place_of_worship,24.554572,46.703915
Unnamed,place_of_worship,24.551603,46.706479
Unnamed,place_of_worship,24.563944,46.706615
Unnamed,place_of_worship,24.560414,46.687673
Unnamed,place_of_worship,24.790155,46.697196
Unnamed,place_of_worship,24.604052,46.709983
Unnamed,place_of_worship,24.603358,46.702258
ال خالد,place_of_worship,24.583896,46.69032
العوده,place_of_worship,24.582347,46.699377
Unnamed,place_of_worship,24.700139,46.781132
جامع عبد الله المبيريك,place_of_worship,24.701043,46.786831
Unnamed,place_of_worship,24.695214,46.789725
Unnamed,place_of_worship,24.703941,46.782396
ابي هريرة,place_of_worship,24.699114,46.789847
Masjed,place_of_worship,24.572715,46.844476
Unnamed,place_of_worship,24.572295,46.84062
مسجد عمر بن الخطاب,place_of_worship,24.568714,46.844922
Unnamed,place_of_worship,24.571759,46.846569
Unnamed,place_of_worship,24.572803,46.849128
Unnamed,place_of_worship,24.574593,46.844611
Unnamed,place_of_worship,24.577125,46.845474
Unnamed,place_of_worship,24.56931,46.84136
Unnamed,place_of_worship,24.566738,46.849439
Unnamed,place_of_worship,24.564743,46.851836
Unnamed,place_of_worship,24.56326,46.847883
Unnamed,place_of_worship,24.561601,46.850946
Unnamed,place_of_worship,24.564958,46.845592
Unnamed,place_of_worship,24.568553,46.836972
Unnamed,place_of_worship,24.563321,46.852714
مسجد أبو بكر الصديق,place_of_worship,24.5708,46.851136
Unnamed,place_of_worship,24.73224,46.739601
Unnamed,place_of_worship,24.725859,46.744553
Unnamed,place_of_worship,24.725507,46.740199
