Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
تمیمي,shop,supermarket,24.7368857,46.6839908,,,,,,
AlSadhan,shop,supermarket,24.7542175,46.770169,,,,,,
بنده الحمراء,shop,supermarket,24.7680961,46.7575916,,,,,,
Jarir Bookstore,shop,books,24.7017967,46.6807661,,,,www.jarirbookstore.com,,
Al Yemni Service Center,shop,car_repair,24.708353,46.7107249,,,,,,
Red Cap,shop,car_parts,24.7085688,46.7075894,,,,,,
jazeera supermarket,shop,supermarket,24.705956,46.6883297,اسواق الجزيرة,,,,,
Al Sadhan Hypermarket,shop,supermarket,24.7076873,46.6899131,,Mousa Bin Nusair Street,,,,
Carrefour,shop,supermarket,24.713113,46.6727167,,,,,,Carrefour
بنده,shop,supermarket,24.7198624,46.6904451,بنده,,,,,بنده
Unnamed,shop,supermarket,24.7254766,46.7965374,,,,,,
Unnamed,shop,supermarket,24.7262803,46.7970166,,,,,,
Unnamed,shop,supermarket,24.7341154,46.7945513,,,,,,
Unnamed,shop,supermarket,24.7293015,46.79037,,,,,,
Carrefour Hypermarket,shop,supermarket,24.7238199,46.7752209,,,,,,
SACO Store,shop,convenience,24.7295516,46.7840286,,,,,,
Meed,shop,supermarket,24.7305781,46.788629,,,,,,
Unnamed,shop,supermarket,24.7374188,46.7828032,,,,,,
Unnamed,shop,supermarket,24.7240122,46.7976158,,,,,,
Unnamed,shop,car_repair,24.691398,46.718688,,,,,,
Unnamed,shop,supermarket,24.691485,46.718335,,,,,,
Unnamed,shop,dry_cleaning,24.727668,46.792185,,,,,,
Unnamed,shop,supermarket,24.7230289,46.6744426,,,,,,
Halawani Market,shop,supermarket,24.7136242,46.6762344,,,,,,
Unnamed,shop,supermarket,24.710792,46.693629,,,,,,
Blue Belt,shop,audio_video,24.716211,46.681908,,,,,,
Unnamed,shop,supermarket,24.7184632,46.680691,,,,,,
Meed,shop,supermarket,24.7162022,46.6808198,,,,,,
Al Tamimi - Safeway,shop,supermarket,24.6975568,46.7019555,,,,,,
Unnamed,shop,supermarket,24.6869706,46.6932438,,,,,,
Meed,shop,supermarket,24.7126351,46.6979108,,,,,,
Unnamed,shop,supermarket,24.7023309,46.6915705,,,,,,
Unnamed,shop,supermarket,24.6876218,46.6879227,,,,,,
Unnamed,shop,supermarket,24.6668954,46.7011728,,,,,,
ميد,shop,supermarket,24.6681238,46.7002823,,,,,,
Unnamed,shop,supermarket,24.6562091,46.7354085,,,,,,
Unnamed,shop,bicycle,24.6570867,46.7357089,,,,,,
Unnamed,shop,greengrocer,24.658165,46.744734,,,,,,
Al Hamrani Nissan,shop,car,24.687777,46.733421,,,,,,
Meed,shop,supermarket,24.747742,46.797649,,,,,,
Unnamed,shop,supermarket,24.7297099,46.7906026,,,,,,
Caravan,shop,supermarket,24.7010256,46.6763062,,,,,,
Unnamed,shop,dry_cleaning,24.723403,46.797962,,,,,,
Unnamed,shop,supermarket,24.723666,46.797282,,,,,,
