Name,Subtype,Latitude,Longitude
تمیمي,supermarket,24.736886,46.683991
AlSadhan,supermarket,24.754217,46.770169
بنده الحمراء,supermarket,24.768096,46.757592
Jarir Bookstore,books,24.701797,46.680766
Red Cap,car_parts,24.708569,46.707589
jazeera supermarket,supermarket,24.705956,46.68833
Al Sadhan Hypermarket,supermarket,24.707687,46.689913
Carrefour,supermarket,24.713113,46.672717
بنده,supermarket,24.719862,46.690445
Unnamed,supermarket,24.725477,46.796537
Unnamed,supermarket,24.72628,46.797017
Unnamed,supermarket,24.734115,46.794551
Unnamed,supermarket,24.729301,46.79037
Carrefour Hypermarket,supermarket,24.72382,46.775221
SACO Store,convenience,24.729552,46.784029
Meed,supermarket,24.730578,46.788629
Unnamed,supermarket,24.737419,46.782803
Unnamed,supermarket,24.724012,46.797616
Unnamed,supermarket,24.691485,46.718335
Unnamed,supermarket,24.723029,46.674443
Halawani Market,supermarket,24.713624,46.676234
Unnamed,supermarket,24.710792,46.693629
Blue Belt,audio_video,24.716211,46.681908
Unnamed,supermarket,24.718463,46.680691
Meed,supermarket,24.716202,46.68082
Al Tamimi - Safeway,supermarket,24.697557,46.701955
Unnamed,supermarket,24.686971,46.693244
Meed,supermarket,24.712635,46.697911
Unnamed,supermarket,24.702331,46.69157
Unnamed,supermarket,24.687622,46.687923
Unnamed,supermarket,24.666895,46.701173
ميد,supermarket,24.668124,46.700282
Unnamed,supermarket,24.656209,46.735408
Unnamed,bicycle,24.657087,46.735709
Meed,supermarket,24.747742,46.797649
Unnamed,supermarket,24.72971,46.790603
Caravan,supermarket,24.701026,46.676306
Unnamed,supermarket,24.723666,46.797282
Unnamed,hardware,24.725196,46.79665
السدحان هايبر ماركت,supermarket,24.728235,46.784903
LG showroom,electronics,24.716637,46.674015
Black Fashion,clothes,24.703367,46.700859
Unnamed,jewelry,24.703884,46.680806
Unnamed,shoes,24.695652,46.684486
Unnamed,supermarket,24.690291,46.688166
Unnamed,books,24.702514,46.67931
Unnamed,convenience,24.705936,46.688215
Unnamed,shoes,24.70598,46.687093
Olayan,car_parts,24.724281,46.778225
Drive 7,car_parts,24.725121,46.779614
Unnamed,supermarket,24.700834,46.692722
Sony,electronics,24.737599,46.797531
سنتر بوينت,clothes,24.734549,46.793239
Unnamed,jewelry,24.737852,46.798244
Unnamed,shoes,24.737877,46.797933
Ahmad Abdul Wahad Store,electronics,24.737492,46.797429
Hyper Panda,convenience,24.737706,46.798008
Unnamed,furniture,24.725359,46.793856
Unnamed,clothes,24.737906,46.798094
SACO World,convenience,24.730478,46.785537
Jarir Bookstore,books,24.722195,46.775273
Bakala Wafa,convenience,24.690705,46.65269
هايبرماركت كارفور,supermarket,24.781764,46.731968
Unnamed,supermarket,24.688311,46.64292
Commissary,supermarket,24.58224,46.865743
Unnamed,convenience,24.582386,46.866064
ردتاغ,clothes,24.750874,46.82199
Unnamed,books,24.750357,46.822194
سوبرماركت الفانوس,supermarket,24.732204,46.764704
Jarir Bookstore,books,24.744794,46.679445
بنده النسيم,supermarket,24.742056,46.807698
بنده اشبيليا,supermarket,24.807883,46.80726
Davide,electronics,24.597414,46.744976
كارفور,supermarket,24.562941,46.64548
Casio dealer,electronics,24.684256,46.725376
الحربي,supermarket,24.668882,46.732409
اسواق ساره,supermarket,24.5838,46.690129
اتصالات 24,supermarket,24.583586,46.689651
الروزنه النسائي,supermarket,24.585049,46.696174
Steps,shoes,24.733418,46.665557
العثيم مول,mall,24.685747,46.774851
بساتين الفصيم,supermarket,24.757096,46.662979
أسواق عبد الله العثيم,supermarket,24.758255,46.663542
أسواق بلشرف,supermarket,24.764164,46.714097
Simply Market,supermarket,24.569056,46.838061
Unnamed,convenience,24.682154,46.899574
Al Rajhi Mall بنده الروابي,supermarket,24.680464,46.783551
danube,supermarket,24.693744,46.670741
العثيم,supermarket,24.629622,46.718226
بزل للوسائل التعليمية,supermarket,24.781318,46.685028
الدانوب,supermarket,24.811955,46.770555
درة العقيق,supermarket,24.805694,46.781301
Unnamed,supermarket,24.808615,46.77879
Unnamed,supermarket,24.813981,46.776162
اسواق العثيم,supermarket,24.819684,46.772492
Unnamed,supermarket,24.824738,46.770679
Unnamed,hardware,24.825342,46.77039
Unnamed,clothes,24.766868,46.71726
