trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1196250,24.696808,46.705399,2016-01-31 20:50:48,2016-01-31 20:57:32,1.97,404,25,Yukon,Sedan,male,60,56.9,17.8
1196231,,,2016-01-31 20:18:10,2016-01-31 23:14:04,13.4,0,,Yukon,,male,1503,55.1,3.0
1196207,,,2016-01-31 19:07:37,2016-01-31 19:21:14,4.68,0,,Yukon,,female,142,87.5,20.6
1196201,,,2016-01-31 18:46:31,2016-01-31 19:35:42,22.99,0,,Yukon,,female,588,143.3,27.0
1196125,,,2016-01-31 17:00:44,2016-01-31 17:31:08,23.52,0,,Yukon,,N/A,384,157.0,45.1
1195860,,,2016-01-31 11:04:12,2016-01-31 11:27:09,22.7,0,,Yukon,,female,292,159.8,51.8
1195832,,,2016-01-31 09:59:48,2016-01-31 10:12:29,6.4,0,,Taurus,,female,131,64.5,30.3
1195827,,,2016-01-31 09:31:58,2016-01-31 10:14:31,21.88,0,,Yukon,,female,507,132.8,28.4
1195823,,,2016-01-31 09:21:06,2016-01-31 09:35:22,6.22,0,,Taurus,,male,170,74.9,26.2
1195810,,,2016-01-31 08:41:40,2016-01-31 08:49:42,3.64,0,,Yukon,,N/A,115,112.9,27.2
1195790,,,2016-01-31 08:25:14,2016-01-31 08:45:35,11.37,0,,Taurus,,female,223,137.8,33.4
1195761,,,2016-01-31 06:30:13,2016-01-31 06:57:49,35.43,0,,Yukon,,N/A,331,151.8,74.2
1195679,,,2016-01-31 01:11:33,2016-01-31 01:30:52,14.33,0,,Yukon,,N/A,230,150.7,44.5
1195670,,,2016-01-31 03:54:43,2016-01-31 05:18:26,27.22,0,,Yukon,,female,983,131.0,19.3
1195779,,,2016-01-31 07:15:05,2016-01-31 07:28:34,6.71,0,,Taurus,,female,161,82.6,28.9
1196041,,,2016-01-31 15:04:08,2016-01-31 15:41:04,16.37,0,,Yukon,,female,442,107.4,26.0
1195749,,,2016-01-31 05:53:40,2016-01-31 05:59:06,2.22,0,,Yukon,,female,64,68.0,24.8
1195715,,,2016-01-31 04:39:55,2016-01-31 05:21:28,22.49,0,,Yukon,,female,511,172.0,30.8
1196247,,,2016-01-31 20:38:51,2016-01-31 21:09:38,24.85,0,,Expedition ,,female,369,151.3,46.3
1196241,,,2016-01-31 20:28:24,2016-01-31 21:44:32,50.53,0,,Taurus,,N/A,913,117.7,39.7
1196233,,,2016-01-31 20:19:39,2016-01-31 20:37:56,8.4,0,,Camry,,female,239,144.5,26.5
1196222,,,2016-01-31 19:55:57,2016-01-31 20:04:47,4.39,0,,Camry,,female,85,79.4,30.3
1196215,,,2016-01-31 19:20:47,2016-01-31 19:46:02,17.05,0,,Innova,,N/A,322,535.2,39.4
1196214,,,2016-01-31 19:30:08,2016-01-31 19:45:54,5.5,0,,Expedition ,,female,208,128.1,20.9
1196205,,,2016-01-31 19:14:38,2016-01-31 19:45:52,18.28,0,,Prado,,female,349,117.2,35.1
1196203,,,2016-01-31 18:54:05,2016-01-31 19:01:14,4.41,0,,Sonata,,male,105,99.2,9.0
1196200a,,,2016-01-31 18:45:58,2016-01-31 18:48:37.743842,1.0566876092472315,0,,SONATA,,female,34,49.1,23.1
1196200b,,,2016-01-31 19:26:37.724138,2016-01-31 19:35:06,3.337235240925927,0,,SONATA,,female,104,79.5,23.9
1196198,,,2016-01-31 18:42:57,2016-01-31 18:55:57,4.56,0,,Cadillac,,female,155,65.2,21.2
1196193,,,2016-01-31 18:37:14,2016-01-31 18:45:33,1.32,0,,Prado,,N/A,91,1724962.6,37920.2
1196190,,,2016-01-31 18:16:02,2016-01-31 18:26:26,7.78,0,,Innova,,female,124,116.9,40.3
1196188,,,2016-01-31 18:28:25,2016-01-31 18:53:18,18.3,0,,Accrode,,female,296,109.1,43.0
1196186,,,2016-01-31 18:23:12,2016-01-31 18:55:23,8.22,0,,Elentra,,female,385,72.8,15.4
1196181,,,2016-01-31 18:27:00,2016-01-31 18:58:41,27.57,0,,Innova,,N/A,379,144.9,47.8
1196180,,,2016-01-31 18:10:59,2016-01-31 18:15:11,1.32,0,,CAMARE,,male,49,60.9,19.0
1196179,,,2016-01-31 17:56:55,2016-01-31 18:20:54,5.91,0,,Fortuner ,,female,257,64.6,22.0
1196175,,,2016-01-31 17:57:24,2016-01-31 18:11:51,5.54,0,,Sonata,,male,152,65.0,23.1
1196168,,,2016-01-31 17:53:38,2016-01-31 18:15:41,12.84,0,,Innova,,female,263,134.2,23.8
1196170a,,,2016-01-31 17:48:59,2016-01-31 18:03:55.849406,4.473164396405009,0,,Prado,,N/A,108,74.7,17.8
1196170b,,,2016-01-31 19:10:08.808454,2016-01-31 19:19:47.150594,4.297937342784421,0,,Prado,,N/A,70,81.3,26.4
1196170c,,,2016-01-31 21:14:45.347424,2016-01-31 21:20:29,1.0919008700477617,0,,Prado,,N/A,40,28.0,11.7
1196163,,,2016-01-31 17:42:54,2016-01-31 18:01:28,10.49,0,,Accrode,,female,222,113.5,33.4
1196161,,,2016-01-31 17:14:59,2016-01-31 17:54:36,13.75,0,,Innova,,female,474,111.0,19.6
1196160,,,2016-01-31 17:28:00,2016-01-31 17:47:34,15.41,0,,Fortuner,,N/A,183,125.2,24.4
1196148,,,2016-01-31 17:12:22,2016-01-31 17:19:21,1.68,0,,SONATA,,N/A,83,48.5,14.5
1196145,,,2016-01-31 16:56:23,2016-01-31 17:54:08,16.72,0,,Innova,,female,635,147.3,14.2
1196128,,,2016-01-31 16:49:30,2016-01-31 17:14:53,15.35,0,,Camry,,female,289,151.8,34.1
1196110,,,2016-01-31 16:53:43,2016-01-31 17:11:00,16.77,0,,Innova,,female,198,159.2,36.4
1196100,,,2016-01-31 16:28:15,2016-01-31 16:31:41,1.3,0,,Camry,,female,29,130.2,16.0
1196098,,,2016-01-31 16:18:26,2016-01-31 16:57:09,21.24,0,,Azeera,,female,461,106.6,27.1
1196091a,,,2016-01-31 16:14:56,2016-01-31 16:32:22.901587,10.396545530966792,0,,Innova,,male,215,94.1,35.6
1196091b,,,2016-01-31 17:14:36.990476,2016-01-31 17:31:59,11.41948382268098,0,,Innova,,male,212,97.1,37.0
1196074,,,2016-01-31 15:52:41,2016-01-31 16:09:08,11.18,0,,Innova,,female,216,145.2,25.1
1196071,,,2016-01-31 15:45:53,2016-01-31 16:01:18,11.43,0,,Azeera,,female,164,780.4,43.2
1196066,,,2016-01-31 15:43:44,2016-01-31 15:58:21,3.69,0,,GMC,,N/A,174,63.3,15.3
1196065,,,2016-01-31 15:39:08,2016-01-31 15:48:44,6.48,0,,Santafe,,female,114,157.3,25.2
1196061a,,,2016-01-31 15:29:42,2016-01-31 15:45:33.514286,5.930403064271197,0,,Fortuner,,N/A,102,102.1,26.3
1196061b,,,2016-01-31 16:50:20.984416,2016-01-31 17:07:39,8.777195498991825,0,,Fortuner,,N/A,288,848.0,18.2
1196056,,,2016-01-31 15:24:32,2016-01-31 16:04:37,10.78,0,,Fortuner,,female,311,112.9,12.5
1196054,,,2016-01-31 15:21:10,2016-01-31 16:00:52,9.86,0,,Fortuner,,female,495,75.2,15.0
1196047,,,2016-01-31 15:14:47,2016-01-31 15:57:58,24.93,0,,INNOVA,,female,535,146.5,33.2
1196037,,,2016-01-31 14:41:19,2016-01-31 14:56:22,6.75,0,,Innova,,female,156,92.4,23.7
1196033,,,2016-01-31 14:17:26,2016-01-31 14:21:15,0.81,0,,Innova,,female,47,56.4,12.8
1196019a,,,2016-01-31 14:18:54,2016-01-31 14:42:14.527357,9.860112468007785,0,,Fortuner,,female,201,65.7,25.2
1196019b,,,2016-01-31 15:40:07.835201,2016-01-31 17:15:57,53.72847609020661,0,,Fortuner,,female,820,139.0,33.7
1196009,,,2016-01-31 14:02:45,2016-01-31 14:06:19,0.0,0,,Taurus,,male,42,0.6,0.0
1196006,,,2016-01-31 14:05:33,2016-01-31 14:41:00,28.79,0,,Lexus,,female,444,148.3,48.5
1196002,,,2016-01-31 13:54:57,2016-01-31 14:18:20,10.1,0,,Camry,,female,279,141.9,25.9
1196003,,,2016-01-31 14:02:36,2016-01-31 14:29:30,15.4,0,,Fortuner,,female,312,135.8,33.6
1195999,,,2016-01-31 13:58:31,2016-01-31 14:21:03,5.05,0,,Sportage (KIA),,female,249,43.9,13.5
1195996,,,2016-01-31 14:08:04,2016-01-31 14:20:03,3.85,0,,Lexus,,female,163,73.2,19.4
1195992,,,2016-01-31 14:06:18,2016-01-31 15:52:30,37.81,0,,Sonata,,N/A,1274,729.6,21.7
1195993,,,2016-01-31 13:35:53,2016-01-31 13:37:19,0.0,0,,Taurus,,male,16,0.0,0.0
1195987,,,2016-01-31 13:54:46,2016-01-31 14:11:40,6.15,0,,prado,,female,184,176.3,15.0
1195977,,,2016-01-31 13:48:30,2016-01-31 13:58:14,1.07,0,,santafe,,female,96,41.5,6.9
1195979,,,2016-01-31 13:33:41,2016-01-31 14:10:15,28.33,0,,Innova,,female,418,148.9,45.4
1195972,,,2016-01-31 13:35:13,2016-01-31 13:53:10,3.29,0,,Accrode,,N/A,215,101.1,11.0
1195970,,,2016-01-31 13:32:18,2016-01-31 14:07:22,34.85,0,,Sonata,,male,419,148.8,59.2
1195967,,,2016-01-31 13:16:26,2016-01-31 13:48:38,29.32,0,,Innova,,N/A,386,154.8,54.7
1195965,,,2016-01-31 13:08:10,2016-01-31 13:39:50,10.32,0,,Fortuner,,female,379,96.2,9.6
1195959,,,2016-01-31 13:10:36,2016-01-31 13:51:59,20.97,0,,Elentra,,female,475,148.1,28.3
1195958,,,2016-01-31 13:14:25,2016-01-31 13:54:50,15.76,0,,Azeera,,female,477,149.5,23.7
1195950,,,2016-01-31 12:56:54,2016-01-31 13:02:22,4.98,0,,Innova,,female,84,97.2,42.2
1195949,,,2016-01-31 13:08:02,2016-01-31 14:01:36,21.93,0,,camry,,N/A,634,113.7,23.7
1195943,,,2016-01-31 12:49:38,2016-01-31 13:03:33,6.66,0,,FORTUNER,,female,166,103.0,28.9
1195942,,,2016-01-31 12:57:18,2016-01-31 13:15:04,9.23,0,,Prado ,,N/A,212,157.8,31.3
1195936,,,2016-01-31 12:46:38,2016-01-31 13:02:38,7.87,0,,santafe,,female,191,85.4,27.8
1195928,,,2016-01-31 12:20:51,2016-01-31 12:35:40,10.34,0,,Fortuner,,female,176,115.6,42.1
1195917,,,2016-01-31 12:21:57,2016-01-31 12:49:28,15.81,0,,Taurus,,female,339,120.9,34.0
1195915,,,2016-01-31 11:56:59,2016-01-31 12:00:11,0.0,0,,Taurus,,male,17,3.8,0.8
1195906,,,2016-01-31 11:46:27,2016-01-31 12:19:27,7.96,0,,Innova,,female,414,69.1,14.6
1195899,,,2016-01-31 11:31:54,2016-01-31 12:04:45,25.03,0,,Camry,,female,338,152.9,40.4
