Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Crowne Plaza Riyadh Palace,tourism,hotel,24.6646109,46.7117319,,Prince Abdul Rahman Bin Abdul Aziz St.,+966 114-054-444,https://www.ihg.com/crowneplaza/hotels/us/en/riyadh/ruhrp/hoteldetail,,IHG
Four Seasons Hotel,tourism,hotel,24.711037,46.6733604,,,,,,
Sulaimaniah Hotel,tourism,hotel,24.7114349,46.6950791,,,,,,
Abha Palace,tourism,hotel,24.6913718,46.718978,,,,,,
Al Mutlaq Hotel,tourism,hotel,24.7000812,46.7181402,,,,,,
Unnamed,tourism,hotel,24.69056,46.724299,,,,,,
Boudl Furnished Apartments,tourism,hotel,24.6800004,46.692879,,,,,,
Unnamed,tourism,hotel,24.6794233,46.6931047,,,,,,
Unnamed,tourism,motel,24.7096248,46.6914546,,,,,,
الرفيعة للوحدات السكنية,tourism,motel,24.7298755,46.7904803,,,,,,
Sakr al Jazeera Aviation Museum,tourism,museum,24.754052,46.7402015,,,,,,
Madareem Crown Hotel,tourism,hotel,24.8013802,46.7167757,,,,,,
فندق موفنبيك قاسم,tourism,hotel,24.6393,46.6864,فندق موفنبيك قاسم,,,,,
وادي البطحاء,tourism,information,24.666667,46.7,وادي البطحاء,,,,,
فندق مريوت رياض,tourism,hotel,24.647,46.714,فندق مريوت رياض,,,,,
Unnamed,tourism,museum,24.8359038,46.966278,,,,,,
Arts Tower - برج الفنون,tourism,artwork,24.7610753,46.6017635,,,,https://sportsboulevard.sa,,
Alwaha Palace,tourism,hotel,24.680951,46.6892488,,,,,,
Almuthana,tourism,hotel,24.6929408,46.6826316,,,,,,
"Tulip Inn, Olaya House",tourism,hotel,24.6850832,46.6888007,,,,,,
Neeyaara Hotel,tourism,hotel,24.6635542,46.7302511,,,,,,
"Intercontinental Hotel, Riyadh",tourism,hotel,24.6671024,46.6913095,,,,,,InterContinental
Novotel Suite Riyadh Olaya,tourism,hotel,24.6844763,46.6900921,,,,http://www.suitenovotel.com/gb/hotel-9048-suite-novotel-riyadh-olaya,,Novotel
Rest Inn Suites,tourism,hotel,24.6913424,46.7034161,,,,http://www.rest-inn.com/,,
فندق هولدي ان الازدهار,tourism,hotel,24.7870357,46.7117383,,,,,,
فندق هولدي ان الازدهار,tourism,hotel,24.7877545,46.7137384,,,,,,
Royal Hotel,tourism,hotel,24.734302,46.6650513,,Olaya Street,,,,
Marriott Courtyard Riyadh Diplomatic Quarter,tourism,hotel,24.6663655,46.6234488,,,,,,
Unnamed,tourism,information,24.8506087,46.7315896,,,,,,
Unnamed,tourism,information,24.8492399,46.7310432,,,,,,
Unnamed,tourism,information,24.8457056,46.7310321,,,,,,
Unnamed,tourism,information,24.8380291,46.7275514,,,,,,
Unnamed,tourism,information,24.8363086,46.7272743,,,,,,
