Unnamed: 0.1,Unnamed: 0,location,clientindex,region_code,typeofplace,speedallowed,constantdevice,constantplace,geolatitude,geolongitude,geoformat,city_name_arabic,city_name_english,nic_code,Streat_Name_Arabic,Streat_Name_English,Direction,Province_arabic,Province_english,address09,Bus_Speed,Car_Speed,Truck_Speed,address13,address14,address15,ingestion_date,number_of_lanes
0,42900,RUHSM001,CL01,R1,CCTV,,,,24.74018333333333,46.62716666666667,,الرياض,Riyadh,1,طريق الامير تركي الاول باتجاه الجنوب,Prince Turki road towards the south,S,,,,,,,,,80001.0,2025-02-12 11:47:27,3.0
1,42902,RUHSM009,CL01,R1,CCTV,,,,24.720816666666668,46.60588333333333,,الرياض,Riyadh,1,طريق الملك خالد بالقرب من جامعه الملك سعود,King Khaled Rd,N,طريق الملك خالد بالقرب من جامعه الملك سعود,King Khaled Rd,,,,,,,80009.0,2025-02-12 11:47:27,6.0
2,42904,RUHSM012,CL01,R1,CCTV,,,,24.64835,46.7946,,الرياض,Riyadh,1,الدائري الشرقي قبل مخرج 17,East Ring Rd,N,,,,,,,,,80012.0,2025-01-27 11:20:42,5.0
3,42910,RUHSM051,CL01,R1,CCTV,,,,24.55818333333333,46.67666666666667,,الرياض,Riyadh,1,طريق ديراب,Dirab Rd,E,طريق ديراب,Dirab Rd,,,,,,,80051.0,2025-01-27 11:20:43,4.0
4,42912,RUHSM077,CL01,R1,CCTV,,,,24.810866666666666,46.734633333333335,,الرياض,Riyadh,1,طريق سعيد بن زيد,Said Ibn Zayd Rd,N,طريق سعيد بن زيد,Said Ibn Zayd Rd,,,,,,,80077.0,2025-02-12 11:47:27,3.0
5,42913,RUHSM098,CL01,R1,CCTV,,,,24.81823333333333,46.84611666666667,,الرياض,Riyadh,1,طريق الجنادرية,AL Janadriyah Rd,N,طريق الجنادرية,AL Janadriyah Rd,,,,,,,80098.0,2025-02-12 11:47:27,4.0
6,42914,RUHSM100,CL01,R1,CCTV,,,,24.568716666666667,46.88985,,الرياض,Riyadh,1,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,S,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,,,,,,,80100.0,2025-02-12 11:47:27,3.0
7,42915,RUHSM117,CL01,R1,CCTV,,,,24.53763333333333,46.69106666666666,,الرياض,Riyadh,1,طريق الامام مسلم,Al Imam Muslim,S,طريق الامام مسلم,Al Imam Muslim,,,,,,,80117.0,2025-02-12 11:47:27,3.0
8,42917,RUHSM129,CL01,R1,CCTV,,,,24.68768333333333,46.71105,,الرياض,Riyadh,1,طريق مكة المكرمة,Makkah Al Mukarramah Rd,E,طريق مكة المكرمة,Makkah Al Mukarramah Rd,,,,,,,80129.0,2025-01-27 11:20:46,4.0
9,42919,RUHSM144,CL01,R1,CCTV,,,,24.5636,46.71765,,الرياض,Riyadh,1,طريق المروج,Al Muruj Rd,E,طريق المروج,Al Muruj Rd,,,,,,,80144.0,2025-01-27 11:20:46,5.0
10,42920,RUHSM145,CL01,R1,CCTV,,,,24.567166666666665,46.89223333333333,,الرياض,Riyadh,1,طريق الدائري الشرقي,Eastern Ring Road,W,طريق الدائري الشرقي,Eastern Ring Road,,,,,,,80145.0,2025-01-27 11:20:46,3.0
11,42922,RUHSM179,CL01,R1,CCTV,,,,25.0158,46.76663333333333,,الرياض,Riyadh,1,طريق الجنادرية,Al Janadriyah Road,S,طريق الجنادرية,Al Janadriyah Road,,,,,,,80179.0,2025-02-12 11:47:27,2.0
12,42923,RUHSM182,CL01,R1,CCTV,,,,24.64333333333333,46.83383333333333,,الرياض,Riyadh,1,لطريق الدائري الجنوبي,Southern Ring Rd,S,لطريق الدائري الجنوبي,Southern Ring Rd,,,,,,,80182.0,2025-01-27 11:20:46,5.0
13,42925,RUHSM212,CL01,R1,CCTV,,,,24.67225,46.82975,,الرياض,Riyadh,1,ابن ماجة,Ibn Majah,N,ابن ماجة,Ibn Majah,,,,,,,80212.0,2025-02-12 11:47:27,3.0
14,42926,RUHSM213,CL01,R1,CCTV,,,,24.67225,46.82975,,الرياض,Riyadh,1,ابن ماجة,Ibn Majah,S,ابن ماجة,Ibn Majah,,,,,,,80213.0,2025-01-27 11:20:46,3.0
15,42927,RUHSM218,CL01,R1,CCTV,,,,24.709816666666665,46.8452,,الرياض,Riyadh,1,طريق طلحة بن عبيدة,Talhah Ibn Obaidullah Rd,W,طريق طلحة بن عبيدة,Talhah Ibn Obaidullah Rd,,,,,,,80218.0,2024-12-08 14:06:27,4.0
16,42929,RUHSM246,CL01,R1,CCTV,,,,24.56063333333333,46.548633333333335,,الرياض,Riyadh,1,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,S,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,,,,,,,80246.0,2025-02-12 11:47:27,3.0
17,42930,RUHSM247,CL01,R1,CCTV,,,,24.56063333333333,46.548633333333335,,الرياض,Riyadh,1,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,N,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,,,,,,,80247.0,2024-12-08 14:06:28,3.0
18,42931,RUHSM252,CL01,R1,CCTV,,,,24.6505,46.78478333333334,,الرياض,Riyadh,1,"طريق المدينة المنورة, الفيصلية",Al Madinah Al Munawwarah Rd,W,"طريق المدينة المنورة, الفيصلية",Al Madinah Al Munawwarah Rd,,,,,,,80252.0,2024-12-08 14:06:27,3.0
19,42933,RUHSM258,CL01,R1,CCTV,,,,24.541716666666662,46.69608333333333,,الرياض,Riyadh,1,شارع الخليل بن أحمد,Al Khalil Ibn Ahmad,S,شارع الخليل بن أحمد,Al Khalil Ibn Ahmad,,,,,,,80258.0,2025-01-27 11:20:42,3.0
20,42935,RUHSM267,CL01,R1,CCTV,,,,24.884533333333334,46.72058333333333,,الرياض,Riyadh,1,طريق المطار,Airport Road,N,طريق المطار,Airport Road,,,,,,,80267.0,2025-02-12 11:47:27,3.0
21,42937,RUHSM304,CL01,R1,CCTV,,,,24.70195,46.64861666666667,,الرياض,Riyadh,1,طريق العروبة,Al Urubah Rd,E,طريق العروبة,Al Urubah Rd,,,,,,,80304.0,2024-12-08 14:06:30,5.0
22,42938,RUHSM312,CL01,R1,CCTV,,,,25.02113333333333,46.613166666666665,,الرياض,Riyadh,1,طريق بنبان المطار,Banban Airport Rd,E,طريق بنبان المطار,Banban Airport Rd,,,,,,,80312.0,2025-01-27 11:20:48,3.0
23,42939,RUHSM336,CL01,R1,CCTV,,,,24.906816666666668,46.9778,,الرياض,Riyadh,1,طريق خريص,Khurais Rd,W,طريق خريص,Khurais Rd,,,,,,,80336.0,2024-12-08 14:06:33,3.0
24,42942,RUHSM381,CL01,R1,CCTV,,,,24.841366666666666,46.80618333333334,,الرياض,Riyadh,1,شارع وادي الساحل,Al Sahel Valley St,S,شارع وادي الساحل,Al Sahel Valley St,,,,,,,80381.0,2025-02-12 11:47:28,6.0
25,42947,RUHSM432,CL01,R1,CCTV,,,,24.890686,46.807975,,الرياض,Riyadh,1,طريق الثمامة,Ath Thumamah Rd,N,طريق الثمامة,Ath Thumamah Rd,,,,,,,,2025-02-12 11:47:28,3.0
26,42948,RUHSM456,CL01,R1,CCTV,,,,24.55193333333333,46.6119,,الرياض,Riyadh,1,طريق نجم الدين الايوبي الفرعي,Najm Al Din Al Ayoubi,W,طريق نجم الدين الايوبي الفرعي,Najm Al Din Al Ayoubi,,,,,,,,2025-02-12 11:47:28,3.0
27,42950,RUHSM531,CL01,R1,CCTV,,,,24.607167,46.659944,,الرياض,Riyadh,1,طريق معاوية بن ابي سفيان,Muawiyah Ibn Abi Sufyan Road,S,طريق معاوية بن ابي سفيان,Muawiyah Ibn Abi Sufyan Road,,,,,,,,2025-01-27 11:20:47,3.0
28,42951,RUHSM555,CL01,R1,CCTV,,,,24.871935,46.660699,,الرياض,Riyadh,1,طريق عثمان بن عفان,Uthman Ibn Affan Rd,N,طريق عثمان بن عفان,Uthman Ibn Affan Rd,,,,,,,,2025-02-12 11:47:27,4.0
29,42952,RUHTE315,CL01,R1,CCTV,,,,24.6132,46.82175,,الرياض,Riyadh,1,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,S,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,,,,,,,84315.0,2024-12-08 14:06:33,3.0
30,42953,RUHTE337,CL01,R1,CCTV,,,,24.905416666666667,46.57405,,الرياض,Riyadh,1,طريق الملك فهد,King Fahd Rd,S,طريق الملك فهد,King Fahd Rd,,,,,,,84337.0,2024-12-08 14:06:33,3.0
31,45960,RUHSM015,CL01,R1,CCTV,,,,24.543866666666663,46.872483333333335,,الرياض,Riyadh,1,طريق الخرج القديم باتجاه الجنوب,Al Kharj Rd,S,,,,,,,,,80015.0,2024-12-08 14:06:28,5.0
